Date,Open,High,Low,Close,Adjusted_close,Volume
1950-01-31,199.39,201.98,196.81,201.79,201.79,0
1951-01-31,201.89,249.58,197.46,248.83,248.83,0
1952-01-31,250.76,276.37,242.64,270.69,270.69,0
1953-01-31,271.68,293.79,256.35,289.77,289.77,0
1954-01-31,290.03,292.85,255.49,292.39,292.39,0
1955-01-31,291.84,412.47,289.54,408.83,408.83,0
1956-01-31,408.83,490.92,387.5,470.74,470.74,0
1957-01-31,470.74,524.37,460.41,479.16,479.16,0
1958-01-31,479.16,523.11,416.15,450.02,450.02,0
1959-01-31,450.02,601.74,434.04,593.96,593.96,0
1960-01-31,593.96,688.21,571.73,622.62,622.62,0
1961-01-31,622.62,663.64,564.23,648.2,648.2,0
1962-01-31,648.2,741.3,632.81,700.0,700.0,0
1963-01-31,700.0,727.14,524.55,682.85,682.85,0
1964-01-31,682.85,791.63,656.66,785.34,785.34,0
1965-01-31,785.34,907.79,777.99,902.86,902.86,0
1966-01-31,902.86,1000.55,832.74,983.51,983.51,0
1967-01-31,983.51,1001.11,735.74,849.89,849.89,0
1968-01-31,849.89,951.57,827.95,855.47,855.47,0
1969-01-31,855.47,994.65,817.61,946.05,946.05,0
1970-01-31,946.05,974.92,739.11,744.06,744.06,0
1971-01-31,744.06,873.84,627.46,868.5,868.5,0
1972-01-31,868.5,958.12,790.67,902.17,902.17,0
1973-01-31,902.17,1067.2,894.34,999.02,999.02,0
1974-01-31,999.02,1019.94,783.56,855.55,855.55,0
1975-01-31,855.55,904.02,570.01,703.69,703.69,0
1976-01-31,703.69,985.99,695.24,975.28,975.28,0
1977-01-31,975.28,1026.26,917.89,954.37,954.37,0
1978-01-31,954.37,971.58,759.44,769.92,769.92,0
1979-01-31,769.92,917.27,736.75,839.22,839.22,0
1980-01-31,839.22,904.86,792.24,875.85,875.85,0
1981-01-31,875.84,1013.14,729.95,947.27,947.27,0
1982-01-31,947.09,1030.98,807.45,871.1,871.1,0
1983-01-31,866.34,1100.07,769.98,1075.7,1075.7,0
1984-01-31,1076.88,1291.87,1051.78,1220.58,1220.58,0
1985-01-31,1220.79,1300.02,1082.05,1286.77,1286.77,0
1986-01-31,1285.56,1577.29,1240.72,1570.99,1570.99,0
1987-01-31,1571.1,2210.07,1568.81,2158.04,2158.04,0
1988-01-31,2157.2,2736.61,1616.21,1958.22,1958.22,27443200
1989-01-31,1958.39,2344.82,1886.27,2342.32,2342.32,934358300
1990-01-31,2344.82,2822.95,2237.32,2590.54,2590.54,915111500
1991-01-31,2590.32,3010.64,2354.21,2736.39,2736.39,1015066100
1992-01-31,2737.38,3299.19,2706.44,3223.39,3223.39,1167647500
1993-01-31,3219.81,3422.28,3095.79,3310.03,3310.03,134682800
1994-01-31,3315.16,3985.96,3266.8,3978.36,3978.36,19699100
1995-01-31,3976.67,3982.02,3552.18,3843.86,3843.86,1391900400
1996-01-31,3850.25,5408.67,3831.41,5395.3,5395.3,1436894000
1997-01-31,5387.35,6906.22,5182.32,6813.08,6813.08,3703955400
1998-01-31,6813.86,8299.49,6356.37,7906.5,7906.5,7092315300
1999-01-31,7909.99,9647.96,7400.3,9358.82,9358.82,8745811000
2000-01-31,9359.6,11750.28,9099.04,10940.54,10940.54,14049420600
2001-01-31,10937.74,11425.45,9654.64,10887.36,10887.36,53551078800
2002-01-31,10884.82,11350.05,8062.34,9920.0,9920.0,58644272100
2003-01-31,9923.04,10673.1,7197.49,8053.81,8053.81,66653094100
2004-01-31,8053.74,10705.18,7416.64,10488.07,10488.07,55024234776
2005-01-31,10487.78,10868.07,9708.4,10489.94,10489.94,56192064909
2006-01-31,10489.72,11047.76,10000.46,10864.86,10864.86,64567919591
2007-01-31,10862.14,12657.02,10683.32,12621.69,12621.69,66494534124
2008-01-31,12617.2,14198.1,11634.82,12650.36,12650.36,63818160655
2009-01-31,12638.17,13136.69,7449.38,8000.86,8000.86,68783173765
2010-01-31,8000.62,10729.89,6469.95,10067.33,10067.33,68699552681
2011-01-31,10068.99,12020.52,9614.32,11891.93,11891.93,50065023154
2012-01-31,11892.5,12876.0,10404.49,12632.91,12632.91,45202072041
2013-01-31,12632.76,13969.99,12035.09,13860.58,13860.58,32621218005
2014-01-31,13860.58,16588.25,13784.01,15698.85,15698.85,29188676262
2015-01-31,15697.69,18103.45,15340.69,17164.95,17164.95,22813023392
2016-01-31,17169.99,18351.36,15370.33,16466.3,16466.3,28204528038
2017-01-31,16453.63,20125.58,15503.01,19864.09,19864.09,33175881142
2018-01-31,19923.81,26616.71,19831.09,26149.39,26149.39,80473919617
2019-01-31,26083.04,26951.81,21712.53,24999.67,24999.67,88274448450
2020-01-31,25025.31,29373.62,24680.57,28256.03,28256.03,68537963649
2021-01-31,28319.65,31272.22,18213.65,29982.62,29982.62,109010625186
2022-01-31,30054.73,36952.65,30014.97,35131.86,35131.86,87239373961
2023-01-31,35151.47,35824.28,28660.94,34086.04,34086.04,90730449705
2024-01-31,34039.6,34334.7,31624.87,32044.31,32044.31,8940240691
