Date,Open,High,Low,Close,Adjusted_close,Volume
1986-03-31,27.9936,29.7504,25.504,27.504,0.0596,1855756686
1987-03-31,27.2448,99.0016,26.0064,96.7552,0.2098,10979423625
1988-03-31,90.9952,128.2464,37.2544,56.5024,0.245,23787085328
1989-03-31,55.2544,70.5024,45.2544,49.8784,0.2163,18224812018
1990-03-31,50.2528,117.0016,47.5008,110.752,0.4802,18780191271
1991-03-31,111.5008,121.9968,50.752,106.1248,0.9204,19157780647
1992-03-31,106.752,133.2512,60.4992,118.4992,1.5415,15273801154
1993-03-31,117.2512,129.2512,65.5008,92.5008,1.8049,15620457525
1994-03-31,92.5008,98.0,70.3744,84.7504,1.6537,16060326400
1995-03-31,82.5008,99.2496,46.8752,71.1248,2.7757,16541051200
1996-03-31,71.0,109.2504,68.7504,103.1248,4.0245,21132587216
1997-03-31,103.1408,159.5,76.3752,91.6876,7.1563,17210552800
1998-03-31,90.1252,160.0624,78.875,89.5,13.9712,16064727584
1999-03-31,89.8126,180.375,81.875,89.625,27.9814,15667767232
2000-03-31,91.25,119.9375,75.5,106.25,33.1718,15068693422
2001-03-31,94.4375,96.5,40.25,54.6875,17.0737,21053961516
2002-03-31,54.8125,76.15,47.5,60.31,18.8291,17035880210
2003-03-31,59.83,60.4,22.55,24.21,15.1607,20279277125
2004-03-31,24.46,30.0,23.5999,24.93,15.6992,15943691752
2005-03-31,24.95,30.2,23.82,24.17,17.0615,17342097953
2006-03-31,24.26,28.38,23.94,27.21,19.4478,16254358660
2007-03-31,27.67,31.48,21.4599,27.87,20.2093,16808126284
2008-03-31,27.89,37.5,26.87,28.38,20.8667,17433997820
2009-03-31,28.83,32.1,14.87,18.37,13.7967,20232574044
2010-03-31,18.23,31.5,18.18,29.2875,22.4634,14632211132
2011-03-31,29.35,31.58,22.73,25.39,19.904,16138617328
2012-03-31,25.53,32.95,23.65,32.255,25.9748,14788014213
2013-03-31,32.22,32.89,26.26,28.605,23.7227,11474263313
2014-03-31,28.64,41.5,28.11,40.99,34.9954,11911998692
2015-03-31,41.15,50.045,38.51,40.655,35.6463,8385727258
2016-03-31,40.6,56.85,39.72,55.23,49.7471,9044341428
2017-03-31,55.05,66.19,48.035,65.86,60.882,6861235175
2018-03-31,65.81,97.24,64.85,91.27,86.1383,6258238472
2019-03-31,90.47,120.82,87.51,117.94,113.1876,7651060491
2020-03-31,118.95,190.7,118.1,157.71,153.3576,7505558884
2021-03-31,153.0,246.13,150.36,235.77,231.5931,8333684202
2022-03-31,238.47,349.67,238.0501,308.31,305.3148,7071363656
2023-03-31,309.37,315.11,213.431,248.59,248.59,6940313716
