Date,Open,High,Low,Close,Adjusted_close,Volume
1950-01-02,199.39,200.91,198.97,200.52,200.52,0
1950-01-03,198.89,198.89,198.89,198.89,198.89,0
1950-01-04,200.2,200.2,200.2,200.2,200.2,0
1950-01-05,200.57,200.57,200.57,200.57,200.57,0
1950-01-06,200.96,200.96,200.96,200.96,200.96,0
1950-01-07,201.94,201.94,201.94,201.94,201.94,0
1950-01-09,201.98,201.98,201.98,201.98,201.98,0
1950-01-10,201.17,201.17,201.17,201.17,201.17,0
1950-01-11,201.61,201.61,201.61,201.61,201.61,0
1950-01-12,197.93,197.93,197.93,197.93,197.93,0
1950-01-13,196.81,196.81,196.81,196.81,196.81,0
1950-01-14,196.92,196.92,196.92,196.92,196.92,0
1950-01-16,197.17,197.17,197.17,197.17,197.17,0
1950-01-17,198.78,198.78,198.78,198.78,198.78,0
1950-01-18,199.5,199.5,199.5,199.5,199.5,0
1950-01-19,199.8,199.8,199.8,199.8,199.8,0
1950-01-20,200.13,200.13,200.13,200.13,200.13,0
1950-01-21,200.97,200.97,200.97,200.97,200.97,0
1950-01-23,200.42,200.42,200.42,200.42,200.42,0
1950-01-24,199.62,199.62,199.62,199.62,199.62,0
1950-01-25,198.39,198.39,198.39,198.39,198.39,0
1950-01-26,198.53,198.53,198.53,198.53,198.53,0
1950-01-27,199.08,199.08,199.08,199.08,199.08,0
1950-01-28,200.08,200.08,200.08,200.08,200.08,0
1950-01-30,201.39,201.39,201.39,201.39,201.39,0
1950-01-31,201.79,201.79,201.79,201.79,201.79,0
1950-02-01,201.89,201.89,201.89,201.89,201.89,0
1950-02-02,204.11,204.11,204.11,204.11,204.11,0
1950-02-03,204.53,204.53,204.53,204.53,204.53,0
1950-02-04,205.03,205.03,205.03,205.03,205.03,0
1950-02-06,204.59,204.59,204.59,204.59,204.59,0
1950-02-07,203.53,203.53,203.53,203.53,203.53,0
1950-02-08,202.71,202.71,202.71,202.71,202.71,0
1950-02-09,203.8,203.8,203.8,203.8,203.8,0
1950-02-10,203.49,203.49,203.49,203.49,203.49,0
1950-02-11,203.36,203.36,203.36,203.36,203.36,0
1950-02-13,203.8,204.87,202.69,203.49,203.49,0
1950-02-14,202.02,202.02,202.02,202.02,202.02,0
1950-02-15,201.93,201.93,201.93,201.93,201.93,0
1950-02-16,201.69,201.69,201.69,201.69,201.69,0
1950-02-17,203.17,203.17,203.17,203.17,203.17,0
1950-02-18,203.97,203.97,203.97,203.97,203.97,0
1950-02-20,203.47,203.47,203.47,203.47,203.47,0
1950-02-21,203.35,203.35,203.35,203.35,203.35,0
1950-02-22,203.47,203.93,202.55,203.35,203.35,0
1950-02-23,203.32,203.32,203.32,203.32,203.32,0
1950-02-24,204.15,204.15,204.15,204.15,204.15,0
1950-02-25,204.15,204.15,204.15,204.15,204.15,0
1950-02-27,204.33,204.33,204.33,204.33,204.33,0
1950-02-28,203.44,203.44,203.44,203.44,203.44,0
1950-03-01,203.62,203.62,203.62,203.62,203.62,0
1950-03-02,203.54,203.54,203.54,203.54,203.54,0
1950-03-03,204.48,204.48,204.48,204.48,204.48,0
1950-03-04,204.71,204.71,204.71,204.71,204.71,0
1950-03-06,204.88,204.88,204.88,204.88,204.88,0
1950-03-07,203.69,203.69,203.69,203.69,203.69,0
1950-03-08,203.71,203.71,203.71,203.71,203.71,0
1950-03-09,202.33,202.33,202.33,202.33,202.33,0
1950-03-10,202.44,202.44,202.44,202.44,202.44,0
1950-03-11,202.96,202.96,202.96,202.96,202.96,0
1950-03-13,203.09,203.09,203.09,203.09,203.09,0
1950-03-14,204.7,204.7,204.7,204.7,204.7,0
1950-03-15,207.46,207.46,207.46,207.46,207.46,0
1950-03-16,207.89,207.89,207.89,207.89,207.89,0
1950-03-17,207.57,207.57,207.57,207.57,207.57,0
1950-03-18,208.09,208.09,208.09,208.09,208.09,0
1950-03-20,207.78,207.78,207.78,207.78,207.78,0
1950-03-21,208.27,208.27,208.27,208.27,208.27,0
1950-03-22,209.31,209.31,209.31,209.31,209.31,0
1950-03-23,209.62,209.62,209.62,209.62,209.62,0
1950-03-24,209.78,209.78,209.78,209.78,209.78,0
1950-03-25,210.62,210.62,210.62,210.62,210.62,0
1950-03-27,209.1,209.1,209.1,209.1,209.1,0
1950-03-28,209.5,209.5,209.5,209.5,209.5,0
1950-03-29,208.4,208.4,208.4,208.4,208.4,0
1950-03-30,206.43,206.43,206.43,206.43,206.43,0
1950-03-31,206.05,206.05,206.05,206.05,206.05,0
1950-04-01,206.37,206.37,206.37,206.37,206.37,0
1950-04-03,208.44,208.44,208.44,208.44,208.44,0
1950-04-04,209.05,209.05,209.05,209.05,209.05,0
1950-04-05,210.34,210.34,210.34,210.34,210.34,0
1950-04-06,212.1,212.1,212.1,212.1,212.1,0
1950-04-07,210.34,212.68,210.26,212.1,212.1,0
1950-04-08,212.55,212.55,212.55,212.55,212.55,0
1950-04-10,212.29,212.29,212.29,212.29,212.29,0
1950-04-11,211.47,211.47,211.47,211.47,211.47,0
1950-04-12,213.94,213.94,213.94,213.94,213.94,0
1950-04-13,214.13,214.13,214.13,214.13,214.13,0
1950-04-14,215.31,215.31,215.31,215.31,215.31,0
1950-04-15,214.48,214.48,214.48,214.48,214.48,0
1950-04-17,214.41,214.41,214.41,214.41,214.41,0
1950-04-18,215.05,215.05,215.05,215.05,215.05,0
1950-04-19,215.21,215.21,215.21,215.21,215.21,0
1950-04-20,213.72,213.72,213.72,213.72,213.72,0
1950-04-21,214.14,214.14,214.14,214.14,214.14,0
1950-04-22,213.9,213.9,213.9,213.9,213.9,0
1950-04-24,212.58,212.58,212.58,212.58,212.58,0
1950-04-25,212.55,212.55,212.55,212.55,212.55,0
1950-04-26,211.72,211.72,211.72,211.72,211.72,0
1950-04-27,212.44,212.44,212.44,212.44,212.44,0
1950-04-28,213.56,213.56,213.56,213.56,213.56,0
1950-04-29,214.33,214.33,214.33,214.33,214.33,0
1950-05-01,215.81,215.81,215.81,215.81,215.81,0
1950-05-02,214.87,214.87,214.87,214.87,214.87,0
1950-05-03,216.26,216.26,216.26,216.26,216.26,0
1950-05-04,214.87,214.87,214.87,214.87,214.87,0
1950-05-05,215.72,215.72,215.72,215.72,215.72,0
1950-05-06,217.03,217.03,217.03,217.03,217.03,0
1950-05-08,216.71,216.71,216.71,216.71,216.71,0
1950-05-09,217.4,217.4,217.4,217.4,217.4,0
1950-05-10,218.64,218.64,218.64,218.64,218.64,0
1950-05-11,218.72,218.72,218.72,218.72,218.72,0
1950-05-12,217.61,217.61,217.61,217.61,217.61,0
1950-05-13,217.78,217.78,217.78,217.78,217.78,0
1950-05-15,218.04,218.04,218.04,218.04,218.04,0
1950-05-16,219.7,219.7,219.7,219.7,219.7,0
1950-05-17,220.6,220.6,220.6,220.6,220.6,0
1950-05-18,220.63,220.63,220.63,220.63,220.63,0
1950-05-19,222.11,222.11,222.11,222.11,222.11,0
1950-05-20,222.41,222.41,222.41,222.41,222.41,0
1950-05-22,221.55,221.55,221.55,221.55,221.55,0
1950-05-23,222.47,222.47,222.47,222.47,222.47,0
1950-05-24,222.57,222.57,222.57,222.57,222.57,0
1950-05-25,222.44,222.44,222.44,222.44,222.44,0
1950-05-26,221.93,221.93,221.93,221.93,221.93,0
1950-05-27,221.71,221.71,221.71,221.71,221.71,0
1950-05-29,222.47,222.47,222.47,222.47,222.47,0
1950-05-30,221.93,223.11,221.16,222.47,222.47,0
1950-05-31,223.42,223.42,223.42,223.42,223.42,0
1950-06-01,223.23,223.23,223.23,223.23,223.23,0
1950-06-02,223.71,223.71,223.71,223.71,223.71,0
1950-06-05,221.76,221.76,221.76,221.76,221.76,0
1950-06-06,223.46,223.46,223.46,223.46,223.46,0
1950-06-07,223.68,223.68,223.68,223.68,223.68,0
1950-06-08,225.52,225.52,225.52,225.52,225.52,0
1950-06-09,226.86,226.86,226.86,226.86,226.86,0
1950-06-12,228.38,228.38,228.38,228.38,228.38,0
1950-06-13,226.44,226.44,226.44,226.44,226.44,0
1950-06-14,223.32,223.32,223.32,223.32,223.32,0
1950-06-15,222.46,222.46,222.46,222.46,222.46,0
1950-06-16,222.71,222.71,222.71,222.71,222.71,0
1950-06-19,222.09,222.09,222.09,222.09,222.09,0
1950-06-20,220.72,220.72,220.72,220.72,220.72,0
1950-06-21,222.53,222.53,222.53,222.53,222.53,0
1950-06-22,224.51,224.51,224.51,224.51,224.51,0
1950-06-23,224.35,224.35,224.35,224.35,224.35,0
1950-06-26,213.91,213.91,213.91,213.91,213.91,0
1950-06-27,212.22,212.22,212.22,212.22,212.22,0
1950-06-28,214.68,214.68,214.68,214.68,214.68,0
1950-06-29,206.72,206.72,206.72,206.72,206.72,0
1950-06-30,209.11,209.11,209.11,209.11,209.11,0
1950-07-03,208.35,208.35,208.35,208.35,208.35,0
1950-07-04,209.11,209.48,205.92,208.35,208.35,0
1950-07-05,210.03,210.03,210.03,210.03,210.03,0
1950-07-06,210.85,210.85,210.85,210.85,210.85,0
1950-07-07,208.59,208.59,208.59,208.59,208.59,0
1950-07-10,208.09,208.09,208.09,208.09,208.09,0
1950-07-11,204.6,204.6,204.6,204.6,204.6,0
1950-07-12,199.09,199.09,199.09,199.09,199.09,0
1950-07-13,197.46,197.46,197.46,197.46,197.46,0
1950-07-14,199.83,199.83,199.83,199.83,199.83,0
1950-07-17,197.63,197.63,197.63,197.63,197.63,0
1950-07-18,201.88,201.88,201.88,201.88,201.88,0
1950-07-19,205.13,205.13,205.13,205.13,205.13,0
1950-07-20,207.73,207.73,207.73,207.73,207.73,0
1950-07-21,207.65,207.65,207.65,207.65,207.65,0
1950-07-24,206.95,206.95,206.95,206.95,206.95,0
1950-07-25,203.83,203.83,203.83,203.83,203.83,0
1950-07-26,204.39,204.39,204.39,204.39,204.39,0
1950-07-27,206.37,206.37,206.37,206.37,206.37,0
1950-07-28,208.21,208.21,208.21,208.21,208.21,0
1950-07-31,209.4,209.4,209.4,209.4,209.4,0
1950-08-01,211.87,211.87,211.87,211.87,211.87,0
1950-08-02,211.26,211.26,211.26,211.26,211.26,0
1950-08-03,211.26,211.26,211.26,211.26,211.26,0
1950-08-04,212.66,212.66,212.66,212.66,212.66,0
1950-08-07,215.82,215.82,215.82,215.82,215.82,0
1950-08-08,215.44,215.44,215.44,215.44,215.44,0
1950-08-09,216.97,216.97,216.97,216.97,216.97,0
1950-08-10,216.64,216.64,216.64,216.64,216.64,0
1950-08-11,215.03,215.03,215.03,215.03,215.03,0
1950-08-14,215.31,215.31,215.31,215.31,215.31,0
1950-08-15,215.31,215.31,215.31,215.31,215.31,0
1950-08-16,215.78,215.78,215.78,215.78,215.78,0
1950-08-17,217.76,217.76,217.76,217.76,217.76,0
1950-08-18,219.23,219.23,219.23,219.23,219.23,0
1950-08-21,220.21,220.21,220.21,220.21,220.21,0
1950-08-22,219.79,219.79,219.79,219.79,219.79,0
1950-08-23,221.51,221.51,221.51,221.51,221.51,0
1950-08-24,221.13,221.13,221.13,221.13,221.13,0
1950-08-25,218.1,218.1,218.1,218.1,218.1,0
1950-08-28,218.55,218.55,218.55,218.55,218.55,0
1950-08-29,218.29,218.29,218.29,218.29,218.29,0
1950-08-30,217.05,217.05,217.05,217.05,217.05,0
1950-08-31,216.87,216.87,216.87,216.87,216.87,0
1950-09-01,218.42,218.42,218.42,218.42,218.42,0
1950-09-04,217.12,219,217.12,218.42,218.42,0
1950-09-05,220.02,220.02,220.02,220.02,220.02,0
1950-09-06,218.2,218.2,218.2,218.2,218.2,0
1950-09-07,218.33,218.33,218.33,218.33,218.33,0
1950-09-08,220.03,220.03,220.03,220.03,220.03,0
1950-09-11,218.1,218.1,218.1,218.1,218.1,0
1950-09-12,220.81,220.81,220.81,220.81,220.81,0
1950-09-13,223.42,223.42,223.42,223.42,223.42,0
1950-09-14,224.48,224.48,224.48,224.48,224.48,0
1950-09-15,225.85,225.85,225.85,225.85,225.85,0
1950-09-18,226.78,226.78,226.78,226.78,226.78,0
1950-09-19,225.78,225.78,225.78,225.78,225.78,0
1950-09-20,224.33,224.33,224.33,224.33,224.33,0
1950-09-21,226.01,226.01,226.01,226.01,226.01,0
1950-09-22,226.64,226.64,226.64,226.64,226.64,0
1950-09-25,226.06,226.06,226.06,226.06,226.06,0
1950-09-26,222.84,222.84,222.84,222.84,222.84,0
1950-09-27,225.74,225.74,225.74,225.74,225.74,0
1950-09-28,225.93,225.93,225.93,225.93,225.93,0
1950-09-29,226.36,226.36,226.36,226.36,226.36,0
1950-10-02,228.94,228.94,228.94,228.94,228.94,0
1950-10-03,228.89,228.89,228.89,228.89,228.89,0
1950-10-04,231.15,231.15,231.15,231.15,231.15,0
1950-10-05,229.85,229.85,229.85,229.85,229.85,0
1950-10-06,231.74,231.74,231.74,231.74,231.74,0
1950-10-07,231.81,231.81,231.81,231.81,231.81,0
1950-10-09,230.02,230.02,230.02,230.02,230.02,0
1950-10-10,227.6,227.6,227.6,227.6,227.6,0
1950-10-11,228.97,228.97,228.97,228.97,228.97,0
1950-10-12,227.6,229.92,226.59,228.97,228.97,0
1950-10-13,228.54,228.54,228.54,228.54,228.54,0
1950-10-14,227.63,227.63,227.63,227.63,227.63,0
1950-10-16,227.5,227.5,227.5,227.5,227.5,0
1950-10-17,229.22,229.22,229.22,229.22,229.22,0
1950-10-18,230.6,230.6,230.6,230.6,230.6,0
1950-10-19,230.83,230.83,230.83,230.83,230.83,0
1950-10-20,230.33,230.33,230.33,230.33,230.33,0
1950-10-21,230.88,230.88,230.88,230.88,230.88,0
1950-10-23,230.62,230.62,230.62,230.62,230.62,0
1950-10-24,231.39,231.39,231.39,231.39,231.39,0
1950-10-25,231.49,231.49,231.49,231.49,231.49,0
1950-10-26,226.65,226.65,226.65,226.65,226.65,0
1950-10-27,228.28,228.28,228.28,228.28,228.28,0
1950-10-28,228.56,228.56,228.56,228.56,228.56,0
1950-10-30,226.42,226.42,226.42,226.42,226.42,0
1950-10-31,225.01,225.01,225.01,225.01,225.01,0
1950-11-01,225.69,225.69,225.69,225.69,225.69,0
1950-11-02,227.25,227.25,227.25,227.25,227.25,0
1950-11-03,228.1,228.1,228.1,228.1,228.1,0
1950-11-04,227.42,227.42,227.42,227.42,227.42,0
1950-11-06,222.52,222.52,222.52,222.52,222.52,0
1950-11-07,224.91,224.91,220.59,222.52,222.52,0
1950-11-08,224.25,224.25,224.25,224.25,224.25,0
1950-11-09,227.17,227.17,227.17,227.17,227.17,0
1950-11-10,229.29,229.29,229.29,229.29,229.29,0
1950-11-13,229.44,229.44,229.44,229.44,229.44,0
1950-11-14,229.54,229.54,229.54,229.54,229.54,0
1950-11-15,229.52,229.52,229.52,229.52,229.52,0
1950-11-16,228.94,228.94,228.94,228.94,228.94,0
1950-11-17,230.27,230.27,230.27,230.27,230.27,0
1950-11-18,231.64,231.64,231.64,231.64,231.64,0
1950-11-20,231.53,231.53,231.53,231.53,231.53,0
1950-11-21,231.16,231.16,231.16,231.16,231.16,0
1950-11-22,233.81,233.81,233.81,233.81,233.81,0
1950-11-23,231.16,234.26,230.37,233.81,233.81,0
1950-11-24,235.47,235.47,235.47,235.47,235.47,0
1950-11-25,235.06,235.06,235.06,235.06,235.06,0
1950-11-27,234.96,234.96,234.96,234.96,234.96,0
1950-11-28,228.61,228.61,228.61,228.61,228.61,0
1950-11-29,226.42,226.42,226.42,226.42,226.42,0
1950-11-30,227.6,227.6,227.6,227.6,227.6,0
1950-12-01,228.89,228.89,228.89,228.89,228.89,0
1950-12-02,227.55,227.55,227.55,227.55,227.55,0
1950-12-04,222.33,222.33,222.33,222.33,222.33,0
1950-12-05,225.44,225.44,225.44,225.44,225.44,0
1950-12-06,226.16,226.16,226.16,226.16,226.16,0
1950-12-07,225.94,225.94,225.94,225.94,225.94,0
1950-12-08,226.74,226.74,226.74,226.74,226.74,0
1950-12-09,227.3,227.3,227.3,227.3,227.3,0
1950-12-11,229.19,229.19,229.19,229.19,229.19,0
1950-12-12,229.27,229.27,229.27,229.27,229.27,0
1950-12-13,228.82,228.82,228.82,228.82,228.82,0
1950-12-14,225.89,225.89,225.89,225.89,225.89,0
1950-12-15,224.7,224.7,224.7,224.7,224.7,0
1950-12-16,228.34,228.34,228.34,228.34,228.34,0
1950-12-18,231.01,231.01,231.01,231.01,231.01,0
1950-12-19,231.54,231.54,231.54,231.54,231.54,0
1950-12-20,231.2,231.2,231.2,231.2,231.2,0
1950-12-21,230.43,230.43,230.43,230.43,230.43,0
1950-12-22,231.54,231.54,231.54,231.54,231.54,0
1950-12-25,230.43,232.94,229.65,231.54,231.54,0
1950-12-26,229.65,229.65,229.65,229.65,229.65,0
1950-12-27,234.21,234.21,234.21,234.21,234.21,0
1950-12-28,235.34,235.34,235.34,235.34,235.34,0
1950-12-29,235.42,235.42,235.42,235.42,235.42,0
1950-12-30,235.41,235.41,235.41,235.41,235.41,0
1951-01-01,235.34,236.52,233.63,235.42,235.42,0
1951-01-02,239.92,239.92,239.92,239.92,239.92,0
1951-01-03,238.99,238.99,238.99,238.99,238.99,0
1951-01-04,240.86,240.86,240.86,240.86,240.86,0
1951-01-05,240.96,240.96,240.96,240.96,240.96,0
1951-01-06,240.68,240.68,240.68,240.68,240.68,0
1951-01-08,242.29,242.29,242.29,242.29,242.29,0
1951-01-09,243.5,243.5,243.5,243.5,243.5,0
1951-01-10,240.4,240.4,240.4,240.4,240.4,0
1951-01-11,244.72,244.72,244.72,244.72,244.72,0
1951-01-12,243.81,243.81,243.81,243.81,243.81,0
1951-01-13,243.61,243.61,243.61,243.61,243.61,0
1951-01-15,245.02,245.02,245.02,245.02,245.02,0
1951-01-16,246.65,246.65,246.65,246.65,246.65,0
1951-01-17,248.01,248.01,248.01,248.01,248.01,0
1951-01-18,247.39,247.39,247.39,247.39,247.39,0
1951-01-19,246.76,246.76,246.76,246.76,246.76,0
1951-01-20,246.91,246.91,246.91,246.91,246.91,0
1951-01-22,244.33,244.33,244.33,244.33,244.33,0
1951-01-23,245.3,245.3,245.3,245.3,245.3,0
1951-01-24,244.36,244.36,244.36,244.36,244.36,0
1951-01-25,242.22,242.22,242.22,242.22,242.22,0
1951-01-26,244.51,244.51,244.51,244.51,244.51,0
1951-01-27,247.36,247.36,247.36,247.36,247.36,0
1951-01-29,248.64,248.64,248.64,248.64,248.64,0
1951-01-30,249.58,249.58,249.58,249.58,249.58,0
1951-01-31,248.83,248.83,248.83,248.83,248.83,0
1951-02-01,250.76,250.76,250.76,250.76,250.76,0
1951-02-02,252.78,252.78,252.78,252.78,252.78,0
1951-02-03,253.92,253.92,253.92,253.92,253.92,0
1951-02-05,255.17,255.17,255.17,255.17,255.17,0
1951-02-06,254.62,254.62,254.62,254.62,254.62,0
1951-02-07,252.7,252.7,252.7,252.7,252.7,0
1951-02-08,253.34,253.34,253.34,253.34,253.34,0
1951-02-09,254.24,254.24,254.24,254.24,254.24,0
1951-02-10,254.8,254.8,254.8,254.8,254.8,0
1951-02-12,253.34,255.58,253.08,254.24,254.24,0
