Date,Open,High,Low,Close,Adjusted_close,Volume
1979-12-27,1.5074,1.5074,1.5074,1.5074,1.5074,0
1979-12-28,1.5076,1.5076,1.5076,1.5076,1.5076,0
1979-12-31,1.5081,1.5081,1.5081,1.5081,1.5081,0
1980-01-02,1.5149,1.5149,1.5149,1.5149,1.5149,0
1980-01-03,1.5177,1.5177,1.5177,1.5177,1.5177,0
1980-01-04,1.5129,1.5129,1.5129,1.5129,1.5129,0
1980-01-07,1.5168,1.5168,1.5168,1.5168,1.5168,0
1980-01-08,1.5108,1.5108,1.5108,1.5108,1.5108,0
1980-01-09,1.5161,1.5161,1.5161,1.5161,1.5161,0
1980-01-10,1.5133,1.5133,1.5133,1.5133,1.5133,0
1980-01-11,1.5108,1.5108,1.5108,1.5108,1.5108,0
1980-01-14,1.511,1.511,1.511,1.511,1.511,0
1980-01-15,1.5047,1.5047,1.5047,1.5047,1.5047,0
1980-01-16,1.5074,1.5074,1.5074,1.5074,1.5074,0
1980-01-17,1.5074,1.5074,1.5074,1.5074,1.5074,0
1980-01-18,1.5083,1.5083,1.5083,1.5083,1.5083,0
1980-01-21,1.5053,1.5053,1.5053,1.5053,1.5053,0
1980-01-22,1.5006,1.5006,1.5006,1.5006,1.5006,0
1980-01-23,1.5035,1.5035,1.5035,1.5035,1.5035,0
1980-01-24,1.5026,1.5026,1.5026,1.5026,1.5026,0
1980-01-25,1.5004,1.5004,1.5004,1.5004,1.5004,0
1980-01-28,1.4993,1.4993,1.4993,1.4993,1.4993,0
1980-01-29,1.4979,1.4979,1.4979,1.4979,1.4979,0
1980-01-30,1.4986,1.4986,1.4986,1.4986,1.4986,0
1980-01-31,1.4945,1.4945,1.4945,1.4945,1.4945,0
1980-02-01,1.4919,1.4919,1.4919,1.4919,1.4919,0
1980-02-04,1.4923,1.4923,1.4923,1.4923,1.4923,0
1980-02-05,1.4952,1.4952,1.4952,1.4952,1.4952,0
1980-02-06,1.4993,1.4993,1.4993,1.4993,1.4993,0
1980-02-07,1.4977,1.4977,1.4977,1.4977,1.4977,0
1980-02-08,1.4948,1.4948,1.4948,1.4948,1.4948,0
1980-02-11,1.4979,1.4979,1.4979,1.4979,1.4979,0
1980-02-12,1.4966,1.4966,1.4966,1.4966,1.4966,0
1980-02-13,1.5004,1.5004,1.5004,1.5004,1.5004,0
1980-02-14,1.5011,1.5011,1.5011,1.5011,1.5011,0
1980-02-15,1.497,1.497,1.497,1.497,1.497,0
1980-02-18,1.4957,1.4957,1.4957,1.4957,1.4957,0
1980-02-19,1.4899,1.4899,1.4899,1.4899,1.4899,0
1980-02-20,1.491,1.491,1.491,1.491,1.491,0
1980-02-21,1.4903,1.4903,1.4903,1.4903,1.4903,0
1980-02-22,1.4813,1.4813,1.4813,1.4813,1.4813,0
1980-02-25,1.4791,1.4791,1.4791,1.4791,1.4791,0
1980-02-26,1.4791,1.4791,1.4791,1.4791,1.4791,0
1980-02-27,1.4782,1.4782,1.4782,1.4782,1.4782,0
1980-02-28,1.4799,1.4799,1.4799,1.4799,1.4799,0
1980-02-29,1.4689,1.4689,1.4689,1.4689,1.4689,0
1980-03-03,1.4628,1.4628,1.4628,1.4628,1.4628,0
1980-03-04,1.4588,1.4588,1.4588,1.4588,1.4588,0
1980-03-05,1.4596,1.4596,1.4596,1.4596,1.4596,0
1980-03-06,1.451,1.451,1.451,1.451,1.451,0
1980-03-07,1.4507,1.4507,1.4507,1.4507,1.4507,0
1980-03-10,1.444,1.444,1.444,1.444,1.444,0
1980-03-11,1.4422,1.4422,1.4422,1.4422,1.4422,0
1980-03-12,1.4436,1.4436,1.4436,1.4436,1.4436,0
1980-03-13,1.4341,1.4341,1.4341,1.4341,1.4341,0
1980-03-14,1.4219,1.4219,1.4219,1.4219,1.4219,0
1980-03-17,1.3935,1.3935,1.3935,1.3935,1.3935,0
1980-03-18,1.3933,1.3933,1.3933,1.3933,1.3933,0
1980-03-19,1.3959,1.3959,1.3959,1.3959,1.3959,0
1980-03-20,1.4008,1.4008,1.4008,1.4008,1.4008,0
1980-03-21,1.393,1.393,1.393,1.393,1.393,0
1980-03-24,1.3856,1.3856,1.3856,1.3856,1.3856,0
1980-03-25,1.3818,1.3818,1.3818,1.3818,1.3818,0
1980-03-26,1.3845,1.3845,1.3845,1.3845,1.3845,0
1980-03-27,1.3663,1.3663,1.3663,1.3663,1.3663,0
1980-03-28,1.362,1.362,1.362,1.362,1.362,0
