Date,Open,High,Low,Close,Adjusted_close,Volume
1984-01-03,997.5,1001.4,997.5,997.5,997.5,0
1984-01-04,998.6,999.5,993.3,998.6,998.6,0
1984-01-05,1015.8,1015.8,1007.1,1015.8,1015.8,0
1984-01-06,1029,1029.3,1019,1029,1029,0
1984-01-09,1034.6,1035.4,1030.6,1034.6,1034.6,0
1984-01-10,1034.3,1034.9,1029.9,1034.3,1034.3,0
1984-01-11,1023.4,1033.6,1021.4,1023.4,1023.4,0
1984-01-12,1031.3,1031.3,1020.2,1031.3,1031.3,0
1984-01-13,1042.7,1042.7,1033.1,1042.7,1042.7,0
1984-01-16,1046,1046,1039.1,1046,1046,0
1984-01-17,1041.9,1044.4,1036.2,1041.9,1041.9,0
1984-01-18,1058.7,1058.7,1044.4,1058.7,1058.7,0
1984-01-19,1057.8,1060.2,1053.9,1057.8,1057.8,0
1984-01-20,1059,1060.6,1056.2,1059,1059,0
1984-01-23,1046.8,1059,1046.3,1046.8,1046.8,0
1984-01-24,1055.2,1055.2,1039.9,1055.2,1055.2,0
1984-01-25,1073.5,1073.5,1058.2,1073.5,1073.5,0
1984-01-26,1072.1,1074.8,1069,1072.1,1072.1,0
1984-01-27,1075.9,1075.9,1065,1075.9,1075.9,0
1984-01-30,1068.6,1082,1068.6,1068.6,1068.6,0
1984-01-31,1063,1063.5,1058,1063,1063,0
1984-02-01,1060.3,1062.6,1060.3,1060.3,1060.3,0
1984-02-02,1050.8,1055,1046,1050.8,1050.8,0
1984-02-03,1059.8,1060.2,1054.4,1059.8,1059.8,0
1984-02-06,1038.2,1054.2,1038.2,1038.2,1038.2,0
1984-02-07,1021.7,1026.7,1019.2,1021.7,1021.7,0
1984-02-08,1029.7,1034.5,1026.7,1029.7,1029.7,0
1984-02-09,1016.9,1016.9,1010,1016.9,1016.9,0
1984-02-10,1018,1020.7,1012.3,1018,1018,0
1984-02-13,1018.3,1023,1018.3,1018.3,1018.3,0
1984-02-14,1027,1027,1015.4,1027,1027,0
1984-02-15,1033,1036.8,1031.7,1033,1033,0
1984-02-16,1035,1035.6,1030.4,1035,1035,0
1984-02-17,1039,1039,1035,1039,1039,0
1984-02-20,1035.4,1038.7,1034.2,1035.4,1035.4,0
1984-02-21,1044.4,1044.7,1038.4,1044.4,1044.4,0
1984-02-22,1043,1045.5,1040.7,1043,1043,0
1984-02-23,1031.7,1042.1,1031.7,1031.7,1031.7,0
1984-02-24,1036.9,1036.9,1030.8,1036.9,1036.9,0
1984-02-27,1041.3,1044.3,1038.8,1041.3,1041.3,0
1984-02-28,1039.2,1039.2,1039.2,1039.2,1039.2,0
1984-02-29,1040.3,1040.6,1031.2,1040.3,1040.3,0
1984-03-01,1046.1,1047.1,1042.1,1046.1,1046.1,0
1984-03-02,1060.7,1060.7,1048.8,1060.7,1060.7,0
1984-03-05,1053.7,1053.7,1053.7,1053.7,1053.7,0
1984-03-06,1064.5,1064.8,1050.9,1064.5,1064.5,0
1984-03-07,1055.6,1063.1,1055.6,1055.6,1055.6,0
1984-03-08,1055.8,1056,1050.9,1055.8,1055.8,0
1984-03-09,1060.1,1060.4,1056.3,1060.1,1060.1,0
1984-03-12,1063.6,1065.2,1058.6,1063.6,1063.6,0
1984-03-13,1082.5,1082.7,1067.5,1082.5,1082.5,0
1984-03-14,1087.7,1088.1,1079.9,1087.7,1087.7,0
1984-03-15,1101.1,1101.1,1082.6,1101.1,1101.1,0
1984-03-16,1128.5,1131.3,1115.8,1128.5,1128.5,0
1984-03-19,1109.7,1125.9,1109.7,1109.7,1109.7,0
1984-03-20,1123.3,1125.1,1110,1123.3,1123.3,0
1984-03-21,1130.7,1130.8,1126.1,1130.7,1130.7,0
1984-03-22,1117.2,1125.4,1117,1117.2,1117.2,0
1984-03-23,1121.3,1121.3,1109.3,1121.3,1121.3,0
1984-03-26,1119.7,1119.9,1110.7,1119.7,1119.7,0
1984-03-27,1101.9,1117.3,1099.9,1101.9,1101.9,0
1984-03-28,1103.6,1110.1,1101.9,1103.6,1103.6,0
1984-03-29,1113.6,1116.5,1109.3,1113.6,1113.6,0
1984-03-30,1112.5,1114.4,1110.1,1112.5,1112.5,0
1984-04-02,1108.1,1115.9,1108.1,1108.1,1108.1,0
1984-04-03,1095.4,1101.5,1095.4,1095.4,1095.4,0
1984-04-04,1093.6,1095.1,1093.4,1093.6,1093.6,0
1984-04-05,1102.2,1104.4,1097.8,1102.2,1102.2,0
1984-04-06,1096.3,1096.3,1090,1096.3,1096.3,0
1984-04-09,1096.7,1096.7,1092.4,1096.7,1096.7,0
1984-04-10,1105.4,1106.6,1097.9,1105.4,1105.4,0
1984-04-11,1110.6,1111.7,1108.3,1110.6,1110.6,0
1984-04-12,1117,1117.6,1109.7,1117,1117,0
1984-04-13,1129.1,1132,1127.8,1129.1,1129.1,0
1984-04-16,1105.9,1122.9,1105.6,1105.9,1105.9,0
1984-04-17,1110.2,1112.9,1104.8,1110.2,1110.2,0
1984-04-18,1116.2,1116.9,1114.2,1116.2,1116.2,0
1984-04-19,1108.4,1114.6,1108.4,1108.4,1108.4,0
1984-04-24,1105.4,1105.6,1102.8,1105.4,1105.4,0
1984-04-25,1119.8,1121,1112.4,1119.8,1119.8,0
1984-04-26,1130.9,1131.5,1124.7,1130.9,1130.9,0
1984-04-27,1138.2,1138.2,1138.2,1138.2,1138.2,0
1984-04-30,1138.3,1138.3,1134.9,1138.3,1138.3,0
1984-05-01,1136.8,1137.2,1133.1,1136.8,1136.8,0
1984-05-02,1140.1,1140.1,1133.6,1140.1,1140.1,0
1984-05-03,1141.46,1142.8,1137.4,1141.46,1141.46,0
1984-05-04,1134,1135.8,1133.5,1134,1134,0
1984-05-08,1117.6,1126.9,1115.9,1117.6,1117.6,0
1984-05-09,1109.9,1120.5,1109.7,1109.9,1109.9,0
1984-05-10,1094.4,1101.3,1093.5,1094.4,1094.4,0
1984-05-11,1078.7,1089,1075.8,1078.7,1078.7,0
1984-05-14,1082.4,1083,1073.3,1082.4,1082.4,0
1984-05-15,1094.6,1095,1083.6,1094.6,1094.6,0
1984-05-16,1104.5,1104.6,1101.8,1104.5,1104.5,0
1984-05-17,1113,1120.3,1113,1113,1113,0
1984-05-18,1104.9,1108.8,1104.9,1104.9,1104.9,0
1984-05-21,1108.7,1108.7,1105.9,1108.7,1108.7,0
1984-05-22,1084.6,1105.7,1084.5,1084.6,1084.6,0
1984-05-23,1075.4,1089.3,1072,1075.4,1075.4,0
1984-05-24,1051.6,1074.6,1051.6,1051.6,1051.6,0
1984-05-25,1055.5,1057.1,1042.9,1055.5,1055.5,0
1984-05-29,1056.1,1062.1,1055.9,1056.1,1056.1,0
1984-05-30,1026.6,1052.3,1026.2,1026.6,1026.6,0
1984-05-31,1021,1037.8,1008.2,1021,1021,0
1984-06-01,1055.8,1055.8,1026.8,1055.8,1055.8,0
1984-06-04,1078,1078,1067.4,1078,1078,0
1984-06-05,1077.8,1079.9,1069.5,1077.8,1077.8,0
1984-06-06,1087.9,1088.2,1080,1087.9,1087.9,0
1984-06-07,1072,1090.5,1072,1072,1072,0
1984-06-08,1068.6,1072.8,1062.3,1068.6,1068.6,0
1984-06-11,1075.9,1076.5,1072.7,1075.9,1075.9,0
1984-06-12,1067.1,1067.9,1062.3,1067.1,1067.1,0
1984-06-13,1064.7,1065.1,1060.8,1064.7,1064.7,0
1984-06-14,1043.8,1055.6,1043.8,1043.8,1043.8,0
1984-06-15,1040.1,1040.1,1027.6,1040.1,1040.1,0
1984-06-18,1042.6,1043.2,1035,1042.6,1042.6,0
1984-06-19,1056,1059.3,1054.1,1056,1056,0
1984-06-20,1035.6,1055.4,1033.4,1035.6,1035.6,0
1984-06-21,1041.6,1047.1,1040.6,1041.6,1041.6,0
1984-06-22,1033.1,1040.2,1029.8,1033.1,1033.1,0
1984-06-25,1033.1,1035.2,1032.4,1033.1,1033.1,0
1984-06-26,1024.3,1024.3,1024.3,1024.3,1024.3,0
1984-06-27,1038.3,1038.7,1024.3,1038.3,1038.3,0
1984-06-28,1029.3,1038.9,1029.3,1029.3,1029.3,0
1984-06-29,1041.4,1041.4,1029,1041.4,1041.4,0
1984-07-02,1047.6,1047.6,1041.3,1047.6,1047.6,0
1984-07-03,1050.2,1050.2,1045.1,1050.2,1050.2,0
1984-07-04,1063.3,1065.1,1053.2,1063.3,1063.3,0
1984-07-05,1062.4,1062.4,1062.4,1062.4,1062.4,0
1984-07-06,1042.3,1060.7,1042.3,1042.3,1042.3,0
1984-07-09,1033.5,1040.9,1027.8,1033.5,1033.5,0
1984-07-10,1014.4,1030.4,1014.4,1014.4,1014.4,0
1984-07-11,1001.7,1001.7,995.6,1001.7,1001.7,0
1984-07-12,991.4,999.2,978.7,991.4,991.4,0
1984-07-13,995.8,998.6,987.8,995.8,995.8,0
1984-07-16,1003,1004.1,992.2,1003,1003,0
1984-07-17,1007.8,1008.2,1003.8,1007.8,1007.8,0
1984-07-18,1009,1010.2,1006.8,1009,1009,0
1984-07-19,1003,1003,996.9,1003,1003,0
1984-07-20,1009.8,1012.4,1008.1,1009.8,1009.8,0
1984-07-23,986.9,1008.3,985.8,986.9,986.9,0
1984-07-24,989.6,991.1,983.4,989.6,989.6,0
1984-07-25,996.2,996.2,983.8,996.2,996.2,0
1984-07-26,999.1,1007,999.1,999.1,999.1,0
1984-07-27,995.6,999.9,988.1,995.6,995.6,0
1984-07-30,996.5,997.3,993,996.5,996.5,0
1984-07-31,1010.1,1010.1,995.2,1010.1,1010.1,0
1984-08-01,1018.1,1018.1,1006.2,1018.1,1018.1,0
1984-08-02,1039.1,1039.2,1029.4,1039.1,1039.1,0
1984-08-03,1065,1065,1054.1,1065,1065,0
1984-08-06,1061.4,1071.1,1057.2,1061.4,1061.4,0
1984-08-07,1068.7,1070.2,1054,1068.7,1068.7,0
1984-08-08,1080.7,1083,1073.7,1080.7,1080.7,0
1984-08-09,1070.4,1077.2,1067.8,1070.4,1070.4,0
1984-08-10,1095.7,1095.9,1080.7,1095.7,1095.7,0
1984-08-13,1084.1,1089.5,1084,1084.1,1084.1,0
1984-08-14,1091.8,1092.3,1084.3,1091.8,1091.8,0
1984-08-15,1082.9,1092.7,1082.1,1082.9,1082.9,0
1984-08-16,1075.6,1075.6,1069.1,1075.6,1075.6,0
1984-08-17,1078,1078,1074.9,1078,1078,0
1984-08-20,1074.4,1076,1071.3,1074.4,1074.4,0
1984-08-21,1082.4,1083.8,1077.2,1082.4,1082.4,0
1984-08-22,1090.2,1093.9,1089.4,1090.2,1090.2,0
1984-08-23,1081.1,1081.9,1079.7,1081.1,1081.1,0
1984-08-24,1087.2,1087.8,1081.3,1087.2,1087.2,0
1984-08-28,1082.3,1085.5,1079.4,1082.3,1082.3,0
1984-08-29,1096,1096,1084.5,1096,1096,0
1984-08-30,1101.9,1102,1093.1,1101.9,1101.9,0
1984-08-31,1103.9,1104.6,1100.2,1103.9,1103.9,0
1984-09-03,1105.3,1106.4,1105.2,1105.3,1105.3,0
1984-09-04,1083.7,1100,1083.7,1083.7,1083.7,0
1984-09-05,1082.6,1082.9,1076.9,1082.6,1082.6,0
1984-09-06,1095.3,1095.3,1085,1095.3,1095.3,0
1984-09-07,1099.3,1101.7,1097.3,1099.3,1099.3,0
1984-09-10,1091.6,1096.5,1091.6,1091.6,1091.6,0
1984-09-11,1103.1,1103.1,1091.8,1103.1,1103.1,0
1984-09-12,1103.5,1103.5,1101.3,1103.5,1103.5,0
1984-09-13,1105.3,1107.4,1104.8,1105.3,1105.3,0
1984-09-14,1109.6,1112.9,1107.9,1109.6,1109.6,0
1984-09-17,1110.5,1111.5,1104.1,1110.5,1110.5,0
1984-09-18,1109.9,1112.6,1109.3,1109.9,1109.9,0
1984-09-19,1125.2,1125.2,1109.8,1125.2,1125.2,0
1984-09-20,1129.3,1136.6,1125.4,1129.3,1129.3,0
1984-09-21,1127,1129.7,1125.2,1127,1127,0
1984-09-24,1122.1,1129.1,1121.5,1122.1,1122.1,0
1984-09-25,1124.9,1125.8,1121.1,1124.9,1124.9,0
1984-09-26,1135.5,1135.5,1127.1,1135.5,1135.5,0
1984-09-27,1144.1,1144.4,1136.6,1144.1,1144.1,0
1984-09-28,1140.3,1146,1139.3,1140.3,1140.3,0
1984-10-01,1127.7,1137.5,1127.7,1127.7,1127.7,0
1984-10-02,1119.2,1119.2,1111.8,1119.2,1119.2,0
1984-10-03,1122.1,1127.6,1121.4,1122.1,1122.1,0
1984-10-04,1127.5,1127.5,1118.8,1127.5,1127.5,0
1984-10-05,1135.2,1137.4,1134.1,1135.2,1135.2,0
1984-10-08,1139,1141.3,1137.1,1139,1139,0
1984-10-09,1136.6,1142.4,1136.5,1136.6,1136.6,0
1984-10-10,1136.5,1138.9,1133.6,1136.5,1136.5,0
1984-10-11,1141.3,1141.7,1136.2,1141.3,1141.3,0
1984-10-12,1143.7,1143.7,1137.7,1143.7,1143.7,0
1984-10-15,1146,1147.3,1143.3,1146,1146,0
1984-10-16,1124.3,1128.9,1123.7,1124.3,1124.3,0
1984-10-17,1099.8,1118.4,1099.4,1099.8,1099.8,0
1984-10-18,1088.9,1093.4,1079,1088.9,1088.9,0
1984-10-19,1111.3,1113,1098.6,1111.3,1111.3,0
1984-10-22,1115.4,1115.7,1110.8,1115.4,1115.4,0
1984-10-23,1128.3,1128.5,1116.4,1128.3,1128.3,0
1984-10-24,1125.4,1133.6,1123.1,1125.4,1125.4,0
1984-10-25,1130.1,1131.3,1127,1130.1,1130.1,0
1984-10-26,1130.5,1130.5,1127.2,1130.5,1130.5,0
1984-10-29,1136.1,1136.1,1126.8,1136.1,1136.1,0
1984-10-30,1145.2,1145.6,1137.5,1145.2,1145.2,0
1984-10-31,1151,1155.3,1151,1151,1151,0
1984-11-01,1158.4,1158.4,1147.7,1158.4,1158.4,0
1984-11-02,1168.6,1171.5,1165.2,1168.6,1168.6,0
1984-11-05,1163.1,1167.9,1162.8,1163.1,1163.1,0
1984-11-06,1161.4,1167.7,1156.8,1161.4,1161.4,0
1984-11-07,1157.3,1161.8,1154.2,1157.3,1157.3,0
1984-11-08,1158.3,1159.4,1149.1,1158.3,1158.3,0
1984-11-09,1164.2,1164.2,1155.1,1164.2,1164.2,0
1984-11-12,1175.1,1176.2,1165.2,1175.1,1175.1,0
1984-11-13,1183.7,1186.1,1175.2,1183.7,1183.7,0
1984-11-14,1181.5,1182.4,1175.6,1181.5,1181.5,0
1984-11-15,1164.9,1179.5,1164.7,1164.9,1164.9,0
1984-11-16,1173.5,1174.6,1164.4,1173.5,1173.5,0
1984-11-19,1167.4,1167.5,1162.9,1167.4,1167.4,0
1984-11-20,1159.1,1164.4,1157.7,1159.1,1159.1,0
1984-11-21,1166.8,1168.1,1162.8,1166.8,1166.8,0
1984-11-22,1158.2,1170,1158.2,1158.2,1158.2,0
1984-11-23,1158.8,1158.8,1153.1,1158.8,1158.8,0
1984-11-26,1172.3,1172.3,1163.8,1172.3,1172.3,0
1984-11-27,1178,1179.1,1167.3,1178,1178,0
1984-11-28,1187.5,1187.5,1182.8,1187.5,1187.5,0
1984-11-29,1187.9,1188,1181.2,1187.9,1187.9,0
1984-11-30,1181.3,1186.5,1178.7,1181.3,1181.3,0
1984-12-03,1191.7,1191.8,1187.9,1191.7,1191.7,0
1984-12-04,1183.8,1194.7,1183.8,1183.8,1183.8,0
1984-12-05,1182.9,1183.4,1176,1182.9,1182.9,0
1984-12-06,1175.8,1175.8,1169.9,1175.8,1175.8,0
1984-12-07,1190.1,1190.1,1179.1,1190.1,1190.1,0
1984-12-10,1197.9,1199.7,1190.5,1197.9,1197.9,0
1984-12-11,1198.6,1202.9,1198.6,1198.6,1198.6,0
1984-12-12,1190.7,1197.8,1190.7,1190.7,1190.7,0
1984-12-13,1196.7,1196.9,1188.9,1196.7,1196.7,0
1984-12-14,1204.8,1207.9,1202.3,1204.8,1204.8,0
1984-12-17,1212.5,1217.6,1212.2,1212.5,1212.5,0
1984-12-18,1216.2,1216.2,1212.6,1216.2,1216.2,0
1984-12-19,1220.6,1223.6,1219.1,1220.6,1220.6,0
1984-12-20,1207.2,1214,1207,1207.2,1207.2,0
1984-12-21,1204.7,1204.9,1201.8,1204.7,1204.7,0
1984-12-24,1205.2,1205.6,1205.2,1205.2,1205.2,0
1984-12-27,1210.9,1210.9,1206.6,1210.9,1210.9,0
1984-12-28,1225.6,1225.6,1210.8,1225.6,1225.6,0
1984-12-31,1232.2,1232.3,1228.5,1232.2,1232.2,0
1985-01-02,1220,1230.4,1220,1220,1220,0
1985-01-03,1206.1,1208.2,1199.6,1206.1,1206.1,0
1985-01-04,1214.6,1215.7,1204.7,1214.6,1214.6,0
1985-01-07,1229,1229,1212.6,1229,1229,0
1985-01-08,1243.5,1243.5,1233.2,1243.5,1243.5,0
1985-01-09,1259.2,1259.2,1247.1,1259.2,1259.2,0
1985-01-10,1261,1263.9,1252.9,1261,1261,0
1985-01-11,1248.6,1265.3,1240.9,1248.6,1248.6,0
1985-01-14,1220.5,1233.4,1220.5,1220.5,1220.5,0
1985-01-15,1233.2,1233.2,1223.5,1233.2,1233.2,0
1985-01-16,1254.1,1254.1,1237.8,1254.1,1254.1,0
1985-01-17,1260.4,1262.7,1256.7,1260.4,1260.4,0
1985-01-18,1277.9,1278,1261.6,1277.9,1277.9,0
1985-01-21,1279,1280.9,1276.1,1279,1279,0
1985-01-22,1305.7,1306.4,1292.1,1305.7,1305.7,0
1985-01-23,1283.7,1286.3,1280.3,1283.7,1283.7,0
1985-01-24,1274.7,1284.8,1262.5,1274.7,1274.7,0
1985-01-25,1288,1288,1274,1288,1288,0
1985-01-28,1265.8,1273.5,1241.7,1265.8,1265.8,0
1985-01-29,1249.3,1257,1240.5,1249.3,1249.3,0
1985-01-30,1277.3,1278.7,1265.8,1277.3,1277.3,0
1985-01-31,1280.8,1281,1272.2,1280.8,1280.8,0
1985-02-01,1272.6,1277.3,1272.6,1272.6,1272.6,0
1985-02-04,1268.2,1268.2,1257.1,1268.2,1268.2,0
1985-02-05,1289.1,1289.2,1276.3,1289.1,1289.1,0
1985-02-06,1289.5,1290.7,1280.5,1289.5,1289.5,0
1985-02-07,1296.3,1296.3,1285,1296.3,1296.3,0
1985-02-08,1295.3,1300.3,1288.5,1295.3,1295.3,0
1985-02-11,1297.5,1299.7,1288.7,1297.5,1297.5,0
1985-02-12,1273,1290,1272.8,1273,1273,0
1985-02-13,1282,1282,1271.7,1282,1282,0
1985-02-14,1289.8,1294.7,1288.4,1289.8,1289.8,0
1985-02-15,1281.5,1286.7,1280.4,1281.5,1281.5,0
1985-02-18,1268.7,1278.7,1268.3,1268.7,1268.7,0
1985-02-19,1275.9,1276,1266.9,1275.9,1275.9,0
1985-02-20,1275.8,1281.9,1275.6,1275.8,1275.8,0
1985-02-21,1279.1,1279.1,1269.3,1279.1,1279.1,0
1985-02-22,1268.9,1274.6,1262.6,1268.9,1268.9,0
1985-02-25,1259.4,1266.5,1258.2,1259.4,1259.4,0
1985-02-26,1259.5,1266.2,1259.3,1259.5,1259.5,0
1985-02-27,1258.8,1261.8,1256.3,1258.8,1258.8,0
1985-02-28,1259.7,1261.9,1257.7,1259.7,1259.7,0
1985-03-01,1250.8,1257.6,1247.7,1250.8,1250.8,0
1985-03-04,1265.7,1265.7,1261.5,1265.7,1265.7,0
1985-03-05,1274.9,1275.7,1261.9,1274.9,1274.9,0
1985-03-06,1285.4,1287.1,1277.2,1285.4,1285.4,0
1985-03-07,1285.8,1288.1,1284.4,1285.8,1285.8,0
1985-03-08,1288.6,1288.6,1283.3,1288.6,1288.6,0
1985-03-11,1290.8,1290.8,1287.2,1290.8,1290.8,0
1985-03-12,1300,1303.9,1298.6,1300,1300,0
1985-03-13,1295.2,1300.9,1295.2,1295.2,1295.2,0
1985-03-14,1299.7,1299.7,1293.3,1299.7,1299.7,0
1985-03-15,1309.9,1309.9,1301.4,1309.9,1309.9,0
1985-03-18,1300.3,1308.2,1300.1,1300.3,1300.3,0
1985-03-19,1304.5,1304.7,1298.4,1304.5,1304.5,0
1985-03-20,1307.2,1307.3,1301.5,1307.2,1307.2,0
1985-03-21,1300.7,1309.2,1300.7,1300.7,1300.7,0
1985-03-22,1302.9,1302.9,1295,1302.9,1302.9,0
1985-03-25,1297.8,1298,1296.1,1297.8,1297.8,0
1985-03-26,1290.4,1294.9,1290.1,1290.4,1290.4,0
1985-03-27,1288,1290.9,1288,1288,1288,0
1985-03-28,1287.1,1287.3,1285.3,1287.1,1287.1,0
1985-03-29,1277,1284.8,1276.1,1277,1277,0
1985-04-01,1278.3,1279.3,1275.8,1278.3,1278.3,0
1985-04-02,1286.8,1286.9,1280.6,1286.8,1286.8,0
1985-04-03,1274.8,1283.5,1274,1274.8,1274.8,0
1985-04-04,1278.5,1278.5,1273,1278.5,1278.5,0
1985-04-09,1270.2,1276.3,1268.8,1270.2,1270.2,0
1985-04-10,1273.1,1275.1,1270.9,1273.1,1273.1,0
1985-04-11,1269.3,1273.6,1267.8,1269.3,1269.3,0
1985-04-12,1275.8,1275.8,1266.5,1275.8,1275.8,0
1985-04-15,1288.5,1288.9,1282.1,1288.5,1288.5,0
1985-04-16,1290.8,1293,1288.4,1290.8,1290.8,0
1985-04-17,1304,1304.1,1290.9,1304,1304,0
1985-04-18,1305.5,1313,1305.4,1305.5,1305.5,0
1985-04-19,1299.7,1302.9,1299.5,1299.7,1299.7,0
1985-04-22,1294.9,1299.8,1294.9,1294.9,1294.9,0
1985-04-23,1284.9,1287.2,1282.7,1284.9,1284.9,0
1985-04-24,1285.7,1285.8,1282.8,1285.7,1285.7,0
1985-04-25,1289.5,1289.8,1286,1289.5,1289.5,0
1985-04-26,1295.3,1296.6,1292.9,1295.3,1295.3,0
1985-04-29,1292.9,1293.4,1290.1,1292.9,1292.9,0
1985-04-30,1291,1292.2,1284.1,1291,1291,0
1985-05-01,1301.5,1301.5,1293.7,1301.5,1301.5,0
1985-05-02,1309.1,1310,1300.1,1309.1,1309.1,0
1985-05-03,1310.9,1311.6,1309.1,1310.9,1310.9,0
1985-05-07,1305.5,1315.3,1305.5,1305.5,1305.5,0
1985-05-08,1307.9,1312,1304.7,1307.9,1307.9,0
1985-05-09,1306.3,1308.9,1304.1,1306.3,1306.3,0
1985-05-10,1315.8,1315.8,1308.1,1315.8,1315.8,0
1985-05-13,1333,1333,1317,1333,1333,0
1985-05-14,1326.5,1335.7,1322.7,1326.5,1326.5,0
1985-05-15,1342.4,1342.4,1327.4,1342.4,1342.4,0
1985-05-16,1344.2,1344.8,1336.1,1344.2,1344.2,0
1985-05-17,1327.4,1335.9,1327.1,1327.4,1327.4,0
1985-05-20,1330.8,1330.8,1321.1,1330.8,1330.8,0
1985-05-21,1334.1,1337.8,1330.7,1334.1,1334.1,0
1985-05-22,1333.8,1337.3,1332.7,1333.8,1333.8,0
1985-05-23,1325.3,1332.1,1325.3,1325.3,1325.3,0
1985-05-24,1313.8,1323.5,1308.3,1313.8,1313.8,0
1985-05-28,1317.4,1319,1313.9,1317.4,1317.4,0
1985-05-29,1312,1317.4,1305.9,1312,1312,0
1985-05-30,1314.7,1315.8,1311.1,1314.7,1314.7,0
1985-05-31,1313,1315.8,1309.6,1313,1313,0
1985-06-03,1324.6,1325,1315,1324.6,1324.6,0
1985-06-04,1336.6,1336.7,1324.5,1336.6,1336.6,0
1985-06-05,1335.9,1336.2,1331.3,1335.9,1335.9,0
1985-06-06,1322,1333.6,1322,1322,1322,0
1985-06-07,1310.6,1323.1,1305,1310.6,1310.6,0
1985-06-10,1299.6,1311.1,1298,1299.6,1299.6,0
1985-06-11,1308.1,1308.9,1301.4,1308.1,1308.1,0
1985-06-12,1291.4,1307.6,1291.1,1291.4,1291.4,0
1985-06-13,1278.9,1284.7,1278.9,1278.9,1278.9,0
1985-06-14,1275.5,1275.5,1266.2,1275.5,1275.5,0
1985-06-17,1284.4,1285.3,1278.5,1284.4,1284.4,0
1985-06-18,1284,1287.9,1283.4,1284,1284,0
1985-06-19,1284.1,1287.7,1282.5,1284.1,1284.1,0
1985-06-20,1276.3,1281.7,1269.8,1276.3,1276.3,0
1985-06-21,1262,1274.3,1261.6,1262,1262,0
1985-06-24,1266.6,1270.7,1266.6,1266.6,1266.6,0
1985-06-25,1248.3,1260.9,1236.9,1248.3,1248.3,0
1985-06-26,1236.5,1244.2,1234.3,1236.5,1236.5,0
1985-06-27,1234.3,1237.2,1221.5,1234.3,1234.3,0
1985-06-28,1234.9,1241.9,1228,1234.9,1234.9,0
1985-07-01,1246.8,1246.9,1228.7,1246.8,1246.8,0
1985-07-02,1250.8,1256.9,1250,1250.8,1250.8,0
1985-07-03,1239.3,1249,1236.8,1239.3,1239.3,0
1985-07-04,1249.1,1249.1,1235.6,1249.1,1249.1,0
1985-07-05,1260,1266.8,1258.5,1260,1260,0
1985-07-08,1258.2,1258.4,1254.7,1258.2,1258.2,0
1985-07-09,1239.6,1256.7,1239.5,1239.6,1239.6,0
1985-07-10,1230.4,1233.5,1220.8,1230.4,1230.4,0
1985-07-11,1238.4,1240.7,1234.8,1238.4,1238.4,0
1985-07-12,1230.8,1239.9,1223.8,1230.8,1230.8,0
1985-07-15,1243.6,1243.6,1231.5,1243.6,1243.6,0
1985-07-16,1239.5,1250.8,1239,1239.5,1239.5,0
1985-07-17,1247.3,1248.2,1242.9,1247.3,1247.3,0
1985-07-18,1248.6,1250.4,1245,1248.6,1248.6,0
1985-07-19,1252.5,1252.5,1246.2,1252.5,1252.5,0
1985-07-22,1241.1,1253.7,1239.9,1241.1,1241.1,0
1985-07-23,1233.1,1237.6,1229.1,1233.1,1233.1,0
1985-07-24,1236.2,1237.2,1233.2,1236.2,1236.2,0
1985-07-25,1221.7,1234.9,1221.7,1221.7,1221.7,0
1985-07-26,1239.7,1239.7,1215.4,1239.7,1239.7,0
1985-07-29,1248.9,1249.6,1243.3,1248.9,1248.9,0
1985-07-30,1252.3,1253.9,1247.3,1252.3,1252.3,0
1985-07-31,1261.7,1261.7,1246.8,1261.7,1261.7,0
1985-08-01,1287.2,1288.4,1271.7,1287.2,1287.2,0
1985-08-02,1280.4,1284.6,1280.4,1280.4,1280.4,0
1985-08-05,1271.8,1278.5,1271.3,1271.8,1271.8,0
1985-08-06,1287.5,1287.5,1271,1287.5,1287.5,0
1985-08-07,1286.6,1286.6,1278.7,1286.6,1286.6,0
1985-08-08,1286,1291,1286,1286,1286,0
1985-08-09,1286.3,1286.3,1281.1,1286.3,1286.3,0
1985-08-12,1288.1,1288.1,1281,1288.1,1288.1,0
1985-08-13,1285.1,1290.8,1284.5,1285.1,1285.1,0
