Date,Open,High,Low,Close,Adjusted_close,Volume
1985-09-25,111.175,111.175,111.175,111.175,111.175,0
1985-09-26,110.64,110.64,110.64,110.64,110.64,0
1985-09-27,110.64,110.64,110.64,110.64,110.64,0
1985-09-30,110.62,110.62,110.62,110.62,110.62,0
1985-10-01,112.14,112.14,112.14,112.14,112.14,0
1985-10-02,110.84,110.84,110.84,110.84,110.84,0
1985-10-03,110.87,110.87,110.87,110.87,110.87,0
1985-10-04,110.075,110.87,109.93,110.075,110.075,0
1985-10-07,108.2,110.075,108.2,108.2,108.2,0
1985-10-08,107.16,108.2,106.77,107.16,107.16,0
1985-10-09,108.63,108.96,107.16,108.63,108.63,0
1985-10-10,109.435,109.51,107.81,109.435,109.435,0
1985-10-11,111.05,111.12,109.475,111.05,111.05,0
1985-10-14,113.185,113.27,111.05,113.185,113.185,0
1985-10-15,113.38,113.98,112.79,113.38,113.38,0
1985-10-16,114.315,114.315,113.24,114.315,114.315,0
1985-10-17,114.74,115.34,114.315,114.74,114.74,0
1985-10-18,114.32,114.965,113.83,114.32,114.32,0
1985-10-21,113.68,114.455,113.65,113.68,113.68,0
1985-10-22,114.44,114.89,113.425,114.44,114.44,0
1985-10-23,115.065,115.525,114.44,115.065,115.065,0
1985-10-24,115.485,116.105,115.065,115.485,115.485,0
1985-10-25,113.91,115.545,113.74,113.91,113.91,0
1985-10-28,113.82,113.91,113.205,113.82,113.82,0
1985-10-29,115.4,115.735,113.805,115.4,115.4,0
1985-10-30,115.77,116.125,115.34,115.77,115.77,0
1985-10-31,115.48,116.11,115.155,115.48,115.48,0
1985-11-01,116.275,116.775,115.48,116.275,116.275,0
1985-11-04,116.04,117.075,115.825,116.04,116.04,0
1985-11-05,116.44,116.565,115.88,116.44,116.44,0
1985-11-06,117.38,117.62,116.44,117.38,117.38,0
1985-11-07,117.62,117.965,117.38,117.62,117.62,0
1985-11-08,119.26,119.28,117.62,119.26,119.26,0
1985-11-11,120.4,120.52,119.235,120.4,120.4,0
1985-11-12,121.82,122.01,120.39,121.82,121.82,0
1985-11-13,121.165,121.885,120.92,121.165,121.165,0
1985-11-14,121.835,121.915,120.8,121.835,121.835,0
1985-11-15,122.175,123.075,121.735,122.175,122.175,0
1985-11-18,121.955,122.275,121.76,121.955,121.955,0
1985-11-19,122.57,122.775,121.745,122.57,122.57,0
1985-11-20,122.2,122.795,122.2,122.2,122.2,0
1985-11-21,123.61,123.805,122.2,123.61,123.61,0
1985-11-22,123.97,124.305,123.445,123.97,123.97,0
1985-11-25,123.135,124.11,122.83,123.135,123.135,0
1985-11-26,123.95,124.235,123.115,123.95,123.95,0
1985-11-27,125.77,125.85,123.95,125.77,125.77,0
1985-11-29,126.06,126.435,125.52,126.06,126.06,0
1985-12-02,125.185,126.23,124.875,125.185,125.185,0
1985-12-03,125.23,125.42,124.72,125.23,125.23,0
1985-12-04,127.94,128.02,125.23,127.94,127.94,0
1985-12-05,128.46,129.855,128.07,128.46,128.46,0
1985-12-06,126.955,128.46,126.775,126.955,126.955,0
1985-12-09,127.485,127.645,126.83,127.485,127.485,0
1985-12-10,127.975,128.525,127.155,127.975,127.975,0
1985-12-11,129.18,129.64,127.975,129.18,129.18,0
1985-12-12,129.765,130.1,129.18,129.765,129.765,0
1985-12-13,132.125,132.17,129.765,132.125,132.125,0
1985-12-16,132.61,133.115,132.06,132.61,132.61,0
1985-12-17,131.535,132.595,131.355,131.535,131.535,0
1985-12-18,131.14,131.975,130.715,131.14,131.14,0
1985-12-19,131.925,132.03,130.91,131.925,131.925,0
1985-12-20,132.26,132.58,131.695,132.26,132.26,0
1985-12-23,130.725,132.26,130.365,130.725,130.725,0
1985-12-24,130.03,130.725,129.305,130.03,130.03,0
1985-12-26,130.345,130.635,129.89,130.345,130.345,0
1985-12-27,131.485,131.59,130.25,131.485,131.485,0
1985-12-30,131.945,132.13,131.245,131.945,131.945,0
1985-12-31,132.295,132.66,131.905,132.295,132.295,0
1986-01-02,131.255,132.325,131.065,131.255,131.255,0
1986-01-03,130.55,131.255,130,130.55,130.55,0
1986-01-06,130.355,130.7,129.845,130.355,130.355,0
1986-01-07,132.79,132.79,130.355,132.79,132.79,0
1986-01-08,131.16,133.885,131.15,131.16,131.16,0
1986-01-09,128.8,131.005,128.055,128.8,128.8,0
1986-01-10,129.565,129.92,128.8,129.565,129.565,0
1986-01-13,129.095,129.565,128.63,129.095,129.095,0
1986-01-14,129.18,129.915,129.03,129.18,129.18,0
1986-01-15,131.535,131.635,129.04,131.535,131.535,0
1986-01-16,133.06,133.06,131.535,133.06,133.06,0
1986-01-17,132.77,133.545,132.62,132.77,132.77,0
1986-01-20,131.605,132.77,131.185,131.605,131.605,0
1986-01-21,131.09,131.935,130.645,131.09,131.09,0
1986-01-22,129.615,131.755,129.615,129.615,129.615,0
1986-01-23,129.27,129.615,128.46,129.27,129.27,0
1986-01-24,130.2,130.54,129.27,130.2,130.2,0
1986-01-27,130.795,130.985,129.795,130.795,130.795,0
1986-01-28,131.99,131.99,130.755,131.99,131.99,0
1986-01-29,133.06,134.13,131.99,133.06,133.06,0
1986-01-30,132.19,133.16,132.085,132.19,132.19,0
1986-01-31,132.925,133.22,132.03,132.925,132.925,0
1986-02-03,134.24,134.425,132.925,134.24,134.24,0
1986-02-04,134.6,135.69,134.24,134.6,134.6,0
1986-02-05,135.715,135.79,134.6,135.715,135.715,0
1986-02-06,136.64,136.94,135.565,136.64,136.64,0
1986-02-07,137.42,137.445,135.76,137.42,137.42,0
1986-02-10,138.125,138.17,137.305,138.125,138.125,0
1986-02-11,138.26,138.61,137.85,138.26,138.26,0
1986-02-12,138.665,138.72,138.055,138.665,138.665,0
