Date,Open,High,Low,Close,Adjusted_close,Volume
2015-08-07,2.83162,3.53661,0.629191,1.35824,1.35824,40375231
2015-09-01,1.35348,1.39274,0.557062,0.738644,0.738644,19920655
2015-10-01,0.734307,1.34505,0.420897,0.916627,0.916627,19815600
2015-11-01,0.920847,1.10642,0.725665,0.873119,0.873119,25989045
2015-12-01,0.878316,1.04537,0.770488,0.933542,0.933542,14436832
2016-01-01,0.933712,2.83699,0.929835,2.30604,2.30604,99427369
2016-02-01,2.31969,6.64741,2.11631,6.33699,6.33699,350388940
2016-03-01,6.31931,15.2571,6.30885,11.4035,11.4035,911491280
2016-04-01,11.4006,11.8504,7.05898,8.81398,8.81398,503439580
2016-05-01,8.77508,15.0482,8.43236,14.0773,14.0773,866285490
2016-06-01,14.1098,21.5227,9.96364,12.4615,12.4615,1179208430
2016-07-01,12.4381,14.8989,9.57626,11.8759,11.8759,851472180
2016-08-01,11.8948,12.4578,8.20098,11.6724,11.6724,507070300
2016-09-01,11.6705,14.4341,11.2524,13.2248,13.2248,347623070
2016-10-01,13.2032,13.531,9.56327,10.9982,10.9982,311770270
2016-11-01,10.9578,11.2454,7.87573,8.58754,8.58754,263548890
2016-12-01,8.60162,8.86133,5.97887,7.9691,7.9691,388060700
2017-01-01,7.98231,11.8909,7.98231,10.7275,10.7275,521748480
2017-02-01,10.7413,16.0594,10.5519,15.8172,15.8172,467166760
2017-03-01,15.8472,55.1147,15.5589,50.0373,50.0373,4324810300
2017-04-01,50.0337,79.0212,40.9011,79.0212,79.0212,3154319700
2017-05-01,79.3216,236.965,73.0866,230.669,230.669,14679954800
2017-06-01,230.886,414.756,214.48,294.916,294.916,34410801000
2017-07-01,293.353,295.509,133.723,203.871,203.871,31034420000
2017-08-01,204.688,388.748,204.688,383.042,383.042,33197514000
2017-09-01,383.467,390.044,195.035,301.465,301.465,24310300000
2017-10-01,301.547,349.345,277.575,305.879,305.879,13427329000
2017-11-01,305.762,522.307,281.172,447.114,447.114,31904820000
2017-12-01,445.209,881.944,414.411,756.733,756.733,79862277000
2018-01-01,755.757,1432.88,742.004,1118.31,1118.31,163610220000
2018-02-01,1119.37,1161.35,574.419,855.199,855.199,83393440000
2018-03-01,856.012,880.302,368.633,396.457,396.457,53716180000
2018-04-01,397.254,708.875,363.805,669.924,669.924,60669919000
2018-05-01,670.463,835.057,512.552,577.645,577.645,81752720000
2018-06-01,578.672,624.513,407.83,455.242,455.242,55080030000
2018-07-01,455.242,513.433,423.085,433.77655845,433.77655845,52395543892
