Date,Open,High,Low,Close,Adjusted_close,Volume
2010-07-17,0.04951,0.04951,0.04951,0.04951,0.04951,0
2010-07-19,0.08584,0.08584,0.0505,0.05454,0.05454,0
2010-07-26,0.0505,0.0699,0.0505,0.06785,0.06785,0
2010-08-02,0.0611,0.0623,0.057,0.059,0.059,0
2010-08-09,0.0609,0.071,0.0609,0.067,0.067,0
2010-08-16,0.06529,0.07,0.06529,0.0664,0.0664,0
2010-08-23,0.066,0.066,0.064,0.0641,0.0641,0
2010-08-30,0.064,0.06497,0.06,0.06238,0.06238,0
2010-09-06,0.0616,0.06366,0.061,0.06366,0.06366,0
2010-09-13,0.0615,0.06219,0.059,0.061,0.061,0
2010-09-20,0.0627,0.0627,0.06202,0.06202,0.06202,0
2010-09-27,0.062,0.0622,0.0614,0.0614,0.0614,0
2010-10-04,0.06111,0.0938,0.06111,0.0938,0.0938,0
2010-10-11,0.0965,0.105,0.0949,0.101,0.101,0
2010-10-18,0.102,0.107,0.097,0.1055,0.1055,0
2010-10-25,0.115,0.1989,0.115,0.1989,0.1989,0
2010-11-01,0.1925,0.39,0.1925,0.39,0.39,0
2010-11-08,0.34,0.34,0.21,0.276,0.276,0
2010-11-15,0.279,0.283,0.223,0.283,0.283,0
2010-11-22,0.2767,0.2879,0.2767,0.283,0.283,0
2010-11-29,0.27,0.27,0.205,0.205,0.205,0
2010-12-06,0.19,0.2388,0.19,0.228,0.228,0
2010-12-13,0.22,0.25,0.22,0.241,0.241,0
2010-12-20,0.2401,0.267,0.24,0.2499,0.2499,0
2010-12-27,0.265,0.3,0.265,0.3,0.3,0
2011-01-03,0.3,0.3229,0.295,0.3229,0.3229,0
2011-01-10,0.323,0.4,0.3176,0.386,0.386,0
2011-01-17,0.3868,0.4443,0.313,0.4443,0.4443,0
2011-01-24,0.4424,0.446,0.41,0.439,0.439,0
2011-01-31,0.4799,0.92,0.4799,0.92,0.92,0
2011-02-07,0.8997,1.09,0.89,1.08,1.08,0
