Date,Open,High,Low,Close,Adjusted_close,Volume
2015-08-07,2.83162,3.53661,0.629191,0.701897,0.701897,1370687
2015-08-10,0.713989,2.26188,0.636546,1.56603,1.56603,18829863
2015-08-17,1.58119,1.58119,1.08705,1.35259,1.35259,12317090
2015-08-24,1.34559,1.36799,1.06183,1.31927,1.31927,6410411
2015-08-31,1.32138,1.39615,1.20101,1.29583,1.29583,5227614
2015-09-07,1.2959,1.30548,0.902832,0.936003,0.936003,5305604
2015-09-14,0.940566,1.04554,0.831132,0.938445,0.938445,4337932
2015-09-21,0.941496,0.957326,0.709328,0.720839,0.720839,3641877
2015-09-28,0.723715,0.746722,0.557062,0.668379,0.668379,3937033
2015-10-05,0.666784,0.692296,0.591971,0.634963,0.634963,1655633
2015-10-12,0.634515,0.657789,0.483974,0.517734,0.517734,2452738
2015-10-19,0.517621,0.688192,0.420897,0.616039,0.616039,3934132
2015-10-26,0.619743,1.34505,0.597098,1.05567,1.05567,11279785
2015-11-02,1.05797,1.09979,0.725665,1.02747,1.02747,10118383
2015-11-09,1.03253,1.10642,0.729775,0.906368,0.906368,6312640
2015-11-16,0.906166,1.03295,0.891971,0.968018,0.968018,4333501
2015-11-23,0.967493,0.969057,0.80436,0.878614,0.878614,3851169
2015-11-30,0.879951,0.895054,0.785086,0.8355,0.8355,3401201
2015-12-07,0.836322,1.04537,0.770488,0.952884,0.952884,4411088
2015-12-14,0.95662,1.02884,0.888916,0.903885,0.903885,3220072
2015-12-21,0.906065,0.91739,0.838314,0.856365,0.856365,2469962
2015-12-28,0.856356,0.991362,0.832932,0.971905,0.971905,2588146
2016-01-04,0.972045,1.00103,0.929835,0.999231,0.999231,2685100
2016-01-11,0.999216,1.32883,0.999216,1.32747,1.32747,13212881
2016-01-18,1.33231,2.29842,1.30501,2.1412,2.1412,29881840
2016-01-25,2.14764,2.83699,1.99477,2.30604,2.30604,52778350
2016-02-01,2.31969,3.05819,2.11631,2.96434,2.96434,26550440
2016-02-08,2.973,6.58275,2.87537,5.23973,5.23973,141534390
2016-02-15,5.33053,5.88699,3.42088,4.65362,4.65362,85039260
2016-02-22,4.66495,6.64741,4.63525,6.46835,6.46835,89616830
2016-02-29,6.45565,12.274,6.05429,11.3829,11.3829,231262920
2016-03-07,11.4288,15.2571,8.81577,14.475,14.475,227876500
2016-03-14,14.5122,15.013,8.52452,10.3198,10.3198,251119300
2016-03-21,10.3037,12.5016,10.1121,10.4192,10.4192,133690180
2016-03-28,10.4314,12.1785,10.4075,11.6183,11.6183,100826670
2016-04-04,11.6158,11.6158,7.45564,8.93634,8.93634,134086770
2016-04-11,8.94278,9.702,7.06922,9.3091,9.3091,130009260
2016-04-18,9.33273,9.50666,7.66848,8.00135,8.00135,101634200
2016-04-25,8.00777,9.3665,7.05898,8.8465,8.8465,128786880
2016-05-02,8.89424,10.3215,8.85072,9.48293,9.48293,145749800
2016-05-09,9.49404,11.0528,9.2037,9.96235,9.96235,121115590
2016-05-16,9.9687,15.0482,9.9687,14.2861,14.2861,278557400
2016-05-23,14.2798,14.4924,10.3734,12.3504,12.3504,246981700
2016-05-30,12.3253,14.3155,12.2658,13.975,13.975,139978000
2016-06-06,14.0007,15.9,13.7203,15.7437,15.7437,117040330
2016-06-13,15.7723,21.5227,9.96364,12.2342,12.2342,563488600
2016-06-20,12.2369,15.7856,10.5247,13.8502,13.8502,318653300
2016-06-27,13.8082,14.1211,11.5891,11.7202,11.7202,134027670
2016-07-04,11.6961,11.8802,9.57626,10.9476,10.9476,134788740
2016-07-11,10.9411,12.4313,10.2602,11.1587,11.1587,109769460
2016-07-18,11.173,14.8989,10.9483,12.7495,12.7495,307544900
2016-07-25,12.7434,13.857,11.5472,11.8759,11.8759,262556810
2016-08-01,11.8948,12.0137,8.20098,10.9116,10.9116,253685100
2016-08-08,10.9135,12.4578,10.859,11.1948,11.1948,127124350
2016-08-15,11.2017,11.3108,10.7279,11.1792,11.1792,47511960
2016-08-22,11.1851,11.4454,10.898,10.9293,10.9293,52323390
2016-08-29,10.9151,12.5815,10.7898,11.6799,11.6799,80424650
2016-09-05,11.6805,12.2151,11.2524,11.6384,11.6384,51841160
2016-09-12,11.643,12.9873,11.6136,12.4312,12.4312,79487700
2016-09-19,12.436,14.4341,12.4175,13.1009,13.1009,126070450
2016-09-26,13.1696,13.4838,12.7402,13.1997,13.1997,46635430
2016-10-03,13.203,13.531,11.9795,12.0537,12.0537,65485500
2016-10-10,12.0607,12.1609,11.624,11.9516,11.9516,53839360
2016-10-17,11.9556,12.9278,11.8613,12.036,12.036,62371000
2016-10-24,12.0372,12.1007,9.56327,11.1828,11.1828,106269690
2016-10-31,11.2296,11.4985,10.3041,10.8735,10.8735,84364920
2016-11-07,10.9037,10.9567,9.69731,10.1015,10.1015,55447780
2016-11-14,10.0982,10.3266,9.47616,9.57928,9.57928,47825110
2016-11-21,9.58016,10.2388,8.7755,8.99847,8.99847,55631090
2016-11-28,8.99844,9.01168,7.4178,7.44368,7.44368,78698920
2016-12-05,7.41059,8.86133,5.97887,8.19362,8.19362,132858170
2016-12-12,8.19236,8.60633,7.52057,7.86532,7.86532,53698760
2016-12-19,7.86943,7.9436,7.13886,7.17508,7.17508,73889520
2016-12-26,7.1321,8.52741,7.04751,8.17257,8.17257,97320920
2017-01-02,8.17087,11.8909,8.05441,10.2898,10.2898,200115400
2017-01-09,10.3138,10.7838,9.17558,9.90426,9.90426,153865600
2017-01-16,9.88353,10.9778,9.54462,10.7032,10.7032,84074070
2017-01-23,10.7099,10.8447,10.4293,10.484,10.484,49270830
2017-01-30,10.4938,11.5015,10.4665,11.353,11.353,75695840
2017-02-06,11.3539,11.6304,10.6745,11.3992,11.3992,67137630
2017-02-13,11.3836,13.3307,11.1741,12.7585,12.7585,135401570
2017-02-20,12.7652,14.5431,12.2101,14.52,14.52,111476700
2017-02-27,14.5058,20.6674,14.274,19.3023,19.3023,375722100
2017-03-06,19.2823,23.4377,16.3665,23.4377,23.4377,377413700
2017-03-13,23.5049,55.1147,23.5049,44.7401,44.7401,1981191000
2017-03-20,44.8336,54.1448,39.6878,50.5216,50.5216,1087606400
2017-03-27,51.3121,53.869,45.4258,48.7487,48.7487,827088900
2017-04-03,48.8212,48.8212,40.9011,43.267,43.267,825690500
2017-04-10,43.2776,50.9138,42.4154,48.7185,48.7185,516836500
2017-04-17,48.6597,51.0302,47.2605,48.4893,48.4893,397283600
2017-04-24,48.8667,79.0212,48.8667,79.0212,79.0212,1187443200
2017-05-01,79.3216,103.233,73.0866,94.0073,94.0073,1746069000
2017-05-08,93.747,102.548,80.3899,90.7865,90.7865,1173715800
2017-05-15,90.7841,159.026,84.43,157.937,157.937,2231313000
2017-05-22,158.173,228.374,120.443,170.511,170.511,5951759000
2017-05-29,170.135,250.41,164.53,245.332,245.332,6041270000
2017-06-05,245.262,353.011,243.049,340.609,340.609,5567192000
2017-06-12,341.164,414.756,300.7,371.458,371.458,11241696000
2017-06-19,371.864,377.969,284.646,303.248,303.248,6505131000
2017-06-26,302.955,333.104,227.137,287.987,287.987,10845140000
2017-07-03,288.414,291.104,236.551,242.137,242.137,4899763000
2017-07-10,243.011,243.071,133.723,157.363,157.363,7524572000
2017-07-17,159.991,267.986,158.044,225.951,225.951,11206555000
2017-07-24,226.285,227.538,179.647,197.978,197.978,4621586000
2017-07-31,197.405,271.049,193.411,261.567,261.567,6700330000
2017-08-07,261.237,318.716,256.689,298.064,298.064,9588133000
2017-08-14,298.031,311.028,279.327,301.428,301.428,6161637000
2017-08-21,300.476,347.893,297.234,347.893,347.893,7202905000
2017-08-28,350.043,390.044,328.095,347.484,347.484,7458011000
2017-09-04,347.133,347.133,268.285,288.747,288.747,7455921000
2017-09-11,289.745,311.195,195.035,251.749,251.749,6505622000
2017-09-18,252.227,295.768,252.227,282.483,282.483,4249755000
2017-09-25,282.218,308.015,279.773,302.337,302.337,3061099000
2017-10-02,302.482,313.13,288.133,308.608,308.608,2126812000
2017-10-09,308.667,348.596,288.185,336.595,336.595,4167205000
2017-10-16,336.711,349.345,290.636,295.446,295.446,3290827000
2017-10-23,295.096,313.755,277.575,305.088,305.088,2835275000
2017-10-30,304.782,310.548,281.172,296.263,296.263,3560267000
2017-11-06,296.427,329.452,290.767,307.908,307.908,6323098000
2017-11-13,307.025,371.291,307.025,354.386,354.386,6084392000
2017-11-20,354.094,485.192,350.693,471.33,471.33,9316128000
2017-11-27,471.531,522.307,401.243,465.853,465.853,10504047000
2017-12-04,466.054,504.147,414.411,441.721,441.721,12094510000
2017-12-11,440.358,753.121,439.104,719.975,719.975,22369180000
2017-12-18,721.732,881.944,543.762,694.148,694.148,24643380000
2017-12-25,698.87,789.253,685.231,756.733,756.733,17573120000
2018-01-01,755.757,1153.17,742.004,1153.17,1153.17,36890380000
2018-01-08,1158.26,1432.88,1016.05,1366.77,1366.77,48677970000
2018-01-15,1365.21,1390.59,780.922,1049.58,1049.58,39107450000
2018-01-22,1055.35,1257.77,920.54,1246.01,1246.01,27353920000
2018-01-29,1246.7,1256.7,757.98,834.682,834.682,29796040000
2018-02-05,834.958,917.4,574.419,814.66,814.66,26305170000
2018-02-12,817.508,982.933,817.508,923.921,923.921,17505550000
2018-02-19,921.668,965.265,794.791,844.81,844.81,15304740000
2018-02-26,845.278,896.259,840.28,866.678,866.678,13222690000
2018-03-05,866.846,869.92,648.107,723.339,723.339,13237280000
2018-03-12,724.406,742.514,460.088,538.644,538.644,12142640000
2018-03-19,546.626,589.607,512.127,524.287,524.287,11232730000
2018-03-26,524.287,526.379,363.805,379.607,379.607,11200210000
2018-04-02,379.699,418.968,366.911,400.508,400.508,7831139000
2018-04-09,400.857,531.702,390.61,531.702,531.702,12297210000
2018-04-16,532.074,640.767,500.25,621.86,621.86,15427350000
2018-04-23,621.199,708.875,600.212,688.881,688.881,21004190000
2018-04-30,689.761,835.057,637.54,792.311,792.311,22239290000
2018-05-07,793.339,795.758,644.066,733.496,733.496,21184490000
2018-05-14,732.733,742.17,663.809,715.369,715.369,16839130000
2018-05-21,717.193,719.278,557.206,572.668,572.668,15616180000
2018-05-28,573.045,624.513,512.552,618.329,618.329,14385560000
2018-06-04,619.437,623.429,511.889,526.479,526.479,12776340000
2018-06-11,524.857,538.955,459.004,500.448,500.448,12840910000
2018-06-18,499.383,543.717,426.469,457.672,457.672,12666790000
2018-06-25,455.936,470.344,407.83,453.824,453.824,12650220000
2018-07-02,453.824,503.555,447.111,489.068,489.068,11016910000
2018-07-09,489.132,490.954,423.085,449.85,449.85,10315470000
2018-07-16,450.142,513.433,443.886,459.657,459.657,13253730000
2018-07-23,459.439,483.919,449.728,466.832,466.832,12334840000
2018-07-30,466.824,468.053,402.59150421,409.67368017,409.67368017,11485024556
2018-08-06,410.18508209,413.96489936,311.50077011,321.64846925,321.64846925,11317667017
2018-08-13,321.59521485,322.73025852,260.40046629,300.39541206,300.39541206,13220509033
2018-08-20,300.47538112,303.58662417,269.83211065,275.27640124,275.27640124,8907809413
2018-08-27,275.46152546,297.65846308,273.88971897,294.70732636,294.70732636,9714029266
2018-09-03,294.62671171,295.10730819,191.18796357,198.59796496,198.59796496,10794647080
2018-09-10,198.52791434,226.90366363,171.83897466,221.04856668,221.04856668,11761461721
2018-09-17,221.20738769,250.33469165,196.77162811,244.38389891,244.38389891,12714571856
2018-09-24,244.36132153,245.06279188,208.55145342,233.31495871,233.31495871,12360070812
2018-10-01,233.21672643,234.85204572,219.63537478,231.02189661,231.02189661,9133353021
2018-10-08,230.58219587,231.56277906,192.55933738,196.24682473,196.24682473,9215867413
