Date,Open,High,Low,Close,Adjusted_close,Volume
1927-12-30,17.66,17.66,17.66,17.66,17.66,0
1928-01-03,17.76,17.76,17.55,17.66,17.66,0
1928-01-09,17.5,17.58,17.35,17.58,17.58,0
1928-01-16,17.29,17.48,17.26,17.48,17.48,0
1928-01-23,17.64,17.71,17.52,17.69,17.69,0
1928-01-30,17.49,17.63,17.4,17.4,17.4,0
1928-02-06,17.45,17.55,17.44,17.54,17.54,0
1928-02-14,17.44,17.44,17.04,17.04,17.04,0
1928-02-20,16.95,17.18,16.95,17.18,17.18,0
1928-02-27,17.11,17.3,17.11,17.3,17.3,0
1928-03-05,17.57,17.93,17.57,17.93,17.93,0
1928-03-12,18,18.26,17.92,18.26,18.26,0
1928-03-19,18.36,18.78,18.36,18.78,18.78,0
1928-03-26,19.05,19.28,18.89,19.28,19.28,0
1928-04-02,18.91,19.23,18.91,19.23,19.23,0
1928-04-09,19.27,19.73,19.1,19.73,19.73,0
1928-04-16,19.68,19.68,19.34,19.34,19.34,0
1928-04-23,19.15,19.68,19.15,19.68,19.68,0
1928-04-30,19.75,20.24,19.75,20.24,20.24,0
1928-05-07,20.41,20.41,20.21,20.36,20.36,0
1928-05-14,20.44,20.44,19.92,19.92,19.92,0
1928-05-21,19.63,19.9,19.36,19.9,19.9,0
1928-05-28,19.57,20.07,19.57,20.07,20.07,0
1928-06-04,19.8,19.85,19.37,19.37,19.37,0
1928-06-11,18.68,19.05,18.34,18.74,18.74,0
1928-06-18,18.4,18.57,18.34,18.54,18.54,0
1928-06-25,18.47,19.14,18.47,19.14,19.14,0
1928-07-02,18.98,19.48,18.98,19.39,19.39,0
1928-07-09,19.46,19.46,18.81,18.96,18.96,0
1928-07-16,18.7,19.03,18.7,19.03,19.03,0
1928-07-23,19.12,19.42,19.09,19.42,19.42,0
1928-07-30,19.47,19.47,19.33,19.36,19.36,0
1928-08-06,19.58,19.58,19.25,19.25,19.25,0
1928-08-13,19.29,19.64,19.13,19.64,19.64,0
1928-08-20,19.77,20.34,19.77,20.34,20.34,0
1928-08-27,20.38,20.87,20.38,20.87,20.87,0
1928-09-04,20.97,21.09,20.94,21.09,21.09,0
1928-09-10,20.92,21.16,20.92,21.14,21.14,0
1928-09-17,21.33,21.36,21.18,21.36,21.36,0
1928-09-24,21.43,21.43,21.13,21.14,21.14,0
1928-10-01,21.36,21.36,21.19,21.22,21.22,0
1928-10-08,21.11,21.51,21.11,21.51,21.51,0
1928-10-15,21.65,21.96,21.65,21.96,21.96,0
1928-10-22,21.81,21.99,21.65,21.65,21.65,0
1928-10-29,22,22,21.68,21.95,21.95,0
1928-11-05,22.24,22.55,22.24,22.55,22.55,0
1928-11-12,22.84,23.37,22.84,23.37,23.37,0
1928-11-19,23.37,23.7,23.22,23.7,23.7,0
1928-11-26,23.8,24.28,23.8,24.28,24.28,0
1928-12-03,23.85,23.91,22.36,22.36,22.36,0
1928-12-10,22.31,22.74,22.31,22.53,22.53,0
1928-12-17,22.44,23.33,22.44,23.33,23.33,0
1928-12-24,23.54,23.98,23.44,23.98,23.98,0
1928-12-31,24.35,24.86,24.35,24.85,24.85,0
1929-01-07,24.25,24.58,24.17,24.54,24.54,0
1929-01-14,24.59,24.77,24.23,24.77,24.77,0
1929-01-21,24.86,25.48,24.86,25.48,25.48,0
1929-01-28,25.35,25.84,25.35,25.84,25.84,0
1929-02-04,25.64,25.7,24.44,24.44,24.44,0
1929-02-11,24.98,24.98,24.35,24.35,24.35,0
1929-02-18,24.39,24.86,24.38,24.86,24.86,0
