Date,Open,High,Low,Close,Adjusted_close,Volume
1986-03-13,27.9936,29.5072,25.504,29.0016,0.0629,1339948718
1986-03-17,29.5072,29.7504,26.2528,26.7552,0.058,365961577
1986-03-24,26.0064,27.7504,25.7472,27.7504,0.0602,136972792
1986-03-31,27.504,28.4992,27.0016,27.7504,0.0602,100598393
1986-04-07,27.2448,29.248,26.7552,28.7584,0.0623,70070398
1986-04-14,29.0016,30.256,27.9936,29.248,0.0634,96998397
1986-04-21,29.248,35.1232,28.4992,33.7536,0.0732,201772817
1986-04-28,34,34.2432,31.248,31.7536,0.0688,163843190
1986-05-05,31.5072,32.256,31.248,31.7536,0.0688,27763199
1986-05-12,31.9968,33.0048,31.7536,32.256,0.0699,39369597
1986-05-19,31.5072,32.256,31.0048,31.0048,0.0672,31967999
1986-05-27,31.9968,35.4976,31.0048,34.7488,0.0753,107913593
1986-06-02,34,35.008,33.4944,34.2432,0.0743,46598398
1986-06-09,32.7456,34.2432,31.248,31.5072,0.0683,40003198
1986-06-16,31.248,32.256,31.0048,31.3792,0.068,39283197
1986-06-23,31.7536,31.9968,29.5072,29.7504,0.0645,105551993
1986-06-30,30.7456,31.5072,29.5072,31.248,0.0678,176687989
1986-07-07,29.9968,31.248,26.0064,27.9936,0.0607,138729591
1986-07-14,27.6192,29.9968,27.2448,29.7504,0.0645,70416007
1986-07-21,29.7504,31.5072,29.7504,31.248,0.0678,69407996
1986-07-28,30.4992,31.248,27.7504,28.2528,0.0612,80812800
1986-08-04,28.2528,28.4992,27.2448,27.7504,0.0602,40521598
1986-08-11,28.7584,30.7456,28.2528,30.6304,0.0664,51062398
1986-08-18,30.256,30.7456,29.0016,29.5072,0.064,109238394
1986-08-25,29.5072,29.5072,27.9936,28.4992,0.0618,51667196
1986-09-02,27.7504,30.4992,26.2528,30.4992,0.0661,89308792
1986-09-08,30.256,31.5072,28.2528,28.2528,0.0612,117993596
1986-09-15,28.7584,30.256,27.7504,29.7504,0.0645,43257599
1986-09-22,29.5072,30.256,28.7584,29.0016,0.0629,22723200
1986-09-29,28.2528,29.0016,27.504,28.2528,0.0612,81244796
1986-10-06,30.4992,35.2512,29.0016,34.5024,0.0748,434044773
1986-10-13,33.2512,36.2464,33.2512,36,0.0781,249839990
1986-10-20,36.2464,38.1312,35.2512,37.4976,0.0813,382319977
1986-10-27,38.752,40.2496,37.7568,38.752,0.084,429638402
1986-11-03,39.5008,45.504,38.9952,44.2528,0.0959,258595184
1986-11-10,42.496,44.2528,41.2576,42.496,0.0921,123667192
1986-11-17,42.7552,47.248,40.5088,46.7584,0.1014,321955185
1986-11-24,50.5024,51.2512,45.2448,49.7536,0.1079,349747207
1986-12-01,48.7456,49.9968,48.256,49.0048,0.1062,254246384
1986-12-08,48.4992,49.5072,47.248,47.248,0.1024,103276796
1986-12-15,45.9936,49.0048,45.2448,48.4992,0.1052,220694387
1986-12-22,49.0048,49.7536,48.4992,49.248,0.1068,52847995
1986-12-29,47.248,49.7536,46.7584,47.7504,0.1035,103103993
1987-01-05,50.5024,58.2496,47.5072,58.0032,0.1257,274723183
1987-01-12,61.7472,64.7584,57.5008,61.7472,0.1339,457027201
1987-01-19,63.9936,77.5008,60.496,67.9968,0.1474,726393556
1987-01-26,68.7456,73.2544,65.7504,73.1232,0.1585,490780799
1987-02-02,72.9952,74.5056,68.5024,68.7456,0.1491,226252785
1987-02-09,68.256,77.7472,66.7456,76.0032,0.1648,422150374
1987-02-17,76.5088,77.7472,67.0048,67.9968,0.1474,604972764
1987-02-23,72.2464,79.504,66.4992,76.752,0.1664,508895998
1987-03-02,74.5056,85.248,73.4976,83.248,0.1805,450547201
1987-03-09,81.7504,86.5024,81.0016,82.7584,0.1794,331689580
1987-03-16,82.2528,91.2544,79.7472,90.2464,0.1957,363427207
1987-03-23,89.6256,93.744,87.4944,91.7568,0.1989,325180809
1987-03-30,96.7552,100.2528,88.5024,99.7504,0.2163,886463946
1987-04-06,99.2448,99.9936,94.0032,95.632,0.2073,393839977
1987-04-13,92.5056,100.4992,90.9952,98.496,0.2136,421689575
1987-04-20,95.7472,99.504,93.744,99.0016,0.2146,389663977
1987-04-27,99.0016,108.9952,97.2448,105.0048,0.2276,375235178
1987-05-04,107.008,128.2464,104.5024,126.5056,0.2743,739065555
1987-05-11,123.0048,126.5056,117.0016,119.248,0.2585,493804799
1987-05-18,115.2448,119.248,107.2512,108.2464,0.2347,637228760
1987-05-26,109.4976,118.2528,108,115.2448,0.2499,284687982
1987-06-01,112.9984,115.2448,107.008,109.2544,0.2369,183167989
1987-06-08,109.7568,110.0032,97.2448,98.2528,0.213,778521552
1987-06-15,98.2528,106.2432,96.2496,104.5024,0.2266,366825579
1987-06-22,103.7536,106,100.4992,104.7456,0.2271,336873580
1987-06-29,104.256,104.7456,98.7552,99.9936,0.2168,142790392
1987-07-06,97.504,101.0016,88.5024,96.9984,0.2103,624988761
1987-07-13,99.2448,105.7536,96.0064,102.256,0.2217,422006375
1987-07-20,99.504,101.9968,94.0032,98.496,0.2136,338169579
1987-07-27,99.7504,101.7504,92.0032,94.0032,0.2038,349833579
1987-08-03,91.7568,104.5024,91.2544,103.5072,0.2244,786182353
1987-08-10,103.5072,104.5024,99.9936,103.5072,0.2244,298828782
1987-08-17,104.256,108.2464,100.4992,107.008,0.232,280540783
1987-08-24,111.744,121.248,105.4944,120.256,0.2607,585043165
1987-08-31,118.7584,120.256,111.744,112.0032,0.2428,375868806
1987-09-08,111.5008,116.496,108.2464,116.2528,0.252,256262384
1987-09-14,119.248,119.9968,113.7472,114.9984,0.2493,292320011
1987-09-21,53.5072,65.0016,53.0016,62.0032,0.2688,476164771
1987-09-28,64.0032,72.7488,61.7472,72.4992,0.3144,497505570
1987-10-05,78.9984,79.2544,69.504,71.7504,0.3111,705815957
1987-10-12,71.5072,74.752,64.2528,64.752,0.2808,665827159
1987-10-19,45.2544,63.5008,42.9984,48.2496,0.2092,1056023964
1987-10-26,45.0016,52.2528,37.2544,49.7536,0.2157,870753548
1987-11-02,50.2528,51.2512,43.7472,47.5008,0.206,453052772
1987-11-09,47.0016,52,45.5008,48.2496,0.2092,390038390
1987-11-16,47.7504,49.7536,44.752,47.5008,0.206,375595177
1987-11-23,47.7504,49.0048,45.0016,45.2544,0.1962,167342390
1987-11-30,44.752,45.7504,40.0032,42,0.1821,557236767
1987-12-07,43.2544,49.504,42.2496,48.0064,0.2081,460036772
1987-12-14,50.7552,54.7488,47.7504,52,0.2255,459374372
