Date,Open,High,Low,Close,Adjusted_close,Volume
1997-09-10,933.75,934.25,900.5,924,924,14838
1997-09-15,924.75,963.25,919.5,960.5,960.5,11599
1997-09-22,960.25,972,945.5,953.25,953.25,63115
1997-09-29,953.25,985.5,950.25,975.5,975.5,63849
1997-10-06,976.75,992.25,925.05,925.05,925.05,53258
1997-10-13,976.75,981.75,931.5,948.75,948.75,52123
1997-10-20,948.5,980.5,941.5,944,944,61123
1997-10-27,942.5,944,844,924,924,77249
1997-11-03,923.75,956,916.5,931.25,931.25,56288
1997-11-10,930,940.5,902.5,919.25,919.25,56337
1997-11-17,932,971,915.25,969.6,969.6,52521
1997-11-24,968.5,969,944.75,955,955,27403
1997-12-01,955.5,989,955,986.6,986.6,58943
1997-12-08,986.5,989.75,946.75,955.5,955.5,36640
1997-12-15,956,975.5,935,957.5,957.5,18878
1997-12-22,956.75,968.25,941.5,946,946,21212
1997-12-29,945.5,984.75,941.25,984.75,984.75,22839
1998-01-05,984.25,992.75,925.5,929.5,929.5,71326
1998-01-12,929,972.75,914.5,968.5,968.5,67975
1998-01-20,968.5,986,955,964.5,964.5,56170
1998-01-26,961,999,953.5,987.75,987.75,68610
1998-02-02,988,1019.25,987.75,1009.5,1009.5,64049
1998-02-09,1019,1031.5,1010.25,1022.25,1022.25,53910
1998-02-17,1022.5,1038,1017.5,1037.5,1037.5,44169
1998-02-23,1037.25,1055,1030.25,1050.5,1050.5,55839
1998-03-02,1049.25,1058,1032,1057.2,1057.2,66787
1998-03-09,1054,1080,1051,1069.5,1069.5,40069
1998-03-16,1069.25,1113.75,1065.25,1101.75,1101.75,17215
1998-03-23,1110.5,1125.25,1098.75,1107.5,1107.5,65614
1998-03-30,1106.25,1137.5,1100.25,1131,1131,63327
1998-04-06,1134.5,1142.5,1105,1111.75,1111.75,52562
1998-04-13,1119,1131.5,1105.75,1115.5,1115.5,67273
1998-04-20,1130.5,1140,1109,1126.5,1126.5,68397
1998-04-27,1112,1130.25,1081.5,1119.25,1119.25,79065
1998-05-04,1129.5,1137,1096,1098.25,1098.25,76874
1998-05-11,1115.5,1129.25,1106.5,1112.5,1112.5,74700
1998-05-18,1110.5,1128.75,1100.5,1114,1114,65788
1998-05-26,1112.5,1120.75,1075,1090.75,1090.75,62187
1998-06-01,1090,1118,1077.25,1117.5,1117.5,84610
1998-06-08,1117.25,1127.75,1081,1100.5,1100.5,48369
1998-06-15,1101.5,1115.5,1071.5,1107.75,1107.75,3735
1998-06-22,1110.5,1154.5,1107.75,1147.5,1147.5,81005
1998-06-29,1147.75,1159.5,1141,1158,1158,54557
1998-07-06,1158.25,1177.75,1155.75,1167.5,1167.5,80277
1998-07-13,1170.25,1197,1164,1193.75,1193.75,73187
1998-07-20,1193.75,1199.75,1135.25,1147.5,1147.5,100428
1998-07-27,1146,1155,1116.25,1146,1146,102438
1998-08-03,1122.25,1128.25,1060,1092.5,1092.5,112803
1998-08-10,1093.5,1098,1058,1062.25,1062.25,87432
1998-08-17,1063.25,1113,1048,1094.5,1094.5,104620
1998-08-24,1086.75,1111,1020,1031,1031,120983
1998-08-31,1030.75,1041,935,976,976,121501
1998-09-08,977.5,1029,958,969.5,969.5,48997
1998-09-14,1017,1049.5,1010.5,1021,1021,3979
1998-09-21,1030,1080.75,999.5,1051,1051,84294
1998-09-28,1050.25,1072,978.5,1013,1013,122303
1998-10-05,1011.75,1019,929.25,991.5,991.5,147034
1998-10-12,991.5,1085,986.5,1066.2,1066.2,98573
1998-10-19,1066,1093,1058.5,1074.1,1074.1,103252
1998-10-26,1072,1110.25,1065,1105.2,1105.2,109740
1998-11-02,1105,1148.75,1101.75,1148,1148,121873
1998-11-09,1146.5,1149.25,1118.25,1133.3,1133.3,112566
1998-11-16,1134.75,1167.75,1129.75,1167.5,1167.5,103041
1998-11-23,1167.5,1198,1167.5,1194.2,1194.2,62860
1998-11-30,1195.25,1197.5,1149.5,1180.2,1180.2,155997
1998-12-07,1180.75,1195.5,1154,1163.4,1163.4,86627
1998-12-14,1161,1183,1135.5,1180.28,1180.28,6267
1998-12-21,1195.5,1243.5,1191.5,1239.5,1239.5,52363
1998-12-28,1237.75,1256.75,1231.5,1245.5,1245.5,48733
1999-01-04,1243.25,1291,1226.5,1287,1287,142593
1999-01-11,1286,1294.25,1203.5,1248.6,1248.6,172272
1999-01-19,1248,1283.75,1222,1232,1232,137067
1999-01-25,1230.75,1288.5,1223,1281.5,1281.5,150649
1999-02-01,1280.75,1290.75,1235.75,1243.5,1243.5,173641
1999-02-08,1243.25,1266,1215.25,1238.3,1238.3,161169
1999-02-16,1236.25,1257.5,1223.25,1243.5,1243.5,134751
1999-02-22,1242.5,1287.75,1226.5,1235.5,1235.5,180204
1999-03-01,1236.5,1279.75,1216.75,1278.5,1278.5,180973
1999-03-08,1279.75,1313.5,1272.5,1291.3,1291.3,108331
1999-03-15,1294.5,1338,1290,1331.25,1331.25,36406
1999-03-22,1308,1317,1267.25,1304,1304,178470
1999-03-29,1294.75,1324.5,1291,1302.75,1302.75,94936
1999-04-05,1307.5,1363,1307.5,1355.5,1355.5,186577
1999-04-12,1349.25,1372.75,1315.75,1332,1332,221267
1999-04-19,1324.25,1372.75,1290.75,1369,1369,215596
1999-04-26,1364.5,1380.75,1318.75,1347.5,1347.5,180209
1999-05-03,1338.5,1362.25,1322,1342.25,1342.25,213584
1999-05-10,1351,1382,1329,1375,1375,214798
1999-05-17,1338.25,1356,1325.5,1342.5,1342.5,184716
1999-05-24,1335,1340,1278,1286,1286,228352
1999-06-01,1298.75,1331,1278,1305,1305,161790
1999-06-07,1329,1339,1288.25,1307.5,1307.5,121679
1999-06-14,1294.5,1345,1292.5,1341.5,1341.5,4854
1999-06-21,1355.5,1364.5,1319,1329,1329,196250
1999-06-28,1329.75,1405.9,1329.5,1405.9,1405.9,166064
1999-07-06,1405.25,1417.25,1395.25,1413.7,1413.7,147406
1999-07-12,1414.25,1429.75,1395.75,1427.5,1427.5,196914
1999-07-19,1427.5,1431.75,1357.5,1362.8,1362.8,232146
1999-07-26,1362.75,1378.5,1331,1331.8,1331.8,226042
1999-08-02,1332.5,1354,1291.5,1307,1307,268325
1999-08-09,1305.25,1333.75,1271,1332.9,1332.9,249913
1999-08-16,1333.25,1350.75,1318.5,1340.2,1340.2,211486
1999-08-23,1341,1387.75,1340.25,1351.7,1351.7,224403
1999-08-30,1350.5,1363.25,1304.75,1320.25,1320.25,254598
1999-09-07,1361.75,1365.5,1334.25,1345,1345,110226
1999-09-13,1353.25,1355.75,1299,1326.25,1326.25,5657
1999-09-20,1351.75,1357,1275,1288.5,1288.5,282189
1999-09-27,1290.5,1308.5,1267.5,1293.5,1293.5,298606
1999-10-04,1294,1348.25,1293.5,1346.5,1346.5,262159
1999-10-11,1346.75,1350.5,1252.5,1257.3,1257.3,301539
1999-10-18,1254.5,1318,1241.5,1307.2,1307.2,315527
1999-10-25,1306.25,1383,1276.75,1376.25,1376.25,303831
1999-11-01,1375,1394.75,1352,1384.5,1384.5,282591
