Date,Open,High,Low,Close,Adjusted_close,Volume
1979-12-31,1.5074,1.5081,1.5074,1.5081,1.5081,0
1980-12-31,1.5149,1.5177,1.2913,1.3275,1.3275,0
1981-12-31,1.3154,1.3435,0.9968,1.1046,1.1046,0
1982-12-31,1.1121,1.1121,0.9092,0.9756,0.9756,0
1983-12-31,0.9837,0.9949,0.8079,0.8226,0.8226,0
1984-12-31,0.8137,0.8712,0.7114,0.7114,0.7114,0
1985-12-31,0.7063,0.8902,0.6444,0.8902,0.8902,0
1986-12-31,0.8872,1.0744,0.8767,1.0734,1.0734,0
1987-12-31,1.0807,1.3122,1.0677,1.3113,1.3113,0
1988-12-31,1.2972,1.3113,1.0827,1.1734,1.1734,0
1989-12-31,1.173,1.2039,1.0114,1.1918,1.1918,0
1990-12-31,1.1839,1.4026,1.169,1.367,1.367,0
1991-12-31,1.3773,1.4217,1.1165,1.3369,1.3369,0
1992-12-31,1.3369,1.458,1.2025,1.2047,1.2047,0
1993-12-31,1.204,1.25,1.0817,1.113,1.113,0
1994-12-31,1.113,1.2812,1.101,1.2269,1.2269,0
1995-12-31,1.2269,1.353,1.2159,1.2777,1.2777,0
1996-12-31,1.2769,1.2971,1.219,1.2538,1.2538,0
1997-12-31,1.2527,1.2559,1.0419,1.0991,1.0991,0
1998-12-31,1.0968,1.2293,1.07,1.1723,1.1723,0
1999-12-31,1.1742,1.1909,0.9989,1.0075,1.0075,0
2000-12-31,1.0052,1.0419,0.8227,0.9424,0.9424,0
2001-12-31,0.9422,0.9597,0.8347,0.8909,0.8909,0
2002-12-31,0.8909,1.0507,0.8562,1.0501,1.0501,0
2003-12-31,1.0494,1.2649,1.0334,1.2588,1.2588,0
2004-12-31,1.255,1.3671,1.1762,1.3558,1.3558,0
2005-12-31,1.3547,1.3582,1.1639,1.1843,1.1843,0
2006-12-31,1.1846,1.3369,1.1801,1.3199,1.3199,0
2007-12-31,1.3197,1.4968,1.2866,1.459,1.459,0
2008-12-31,1.4587,1.6039,1.233,1.398,1.398,0
2009-12-31,1.3967,1.5145,1.2456,1.4318,1.4318,268059
2010-12-31,1.4328,1.4584,1.1876,1.3379,1.3379,1095253
2011-12-31,1.3345,1.4942,1.2857,1.2948,1.2948,1774657
2012-12-31,1.2934,1.3489,1.2041,1.3196,1.3196,1417020
2013-12-31,1.3194,1.3893,1.2746,1.3746,1.3746,1024369
2014-12-31,1.3742,1.3993,1.2096,1.2098,1.2098,864297
2015-12-31,1.21,1.2111,1.0459,1.0861,1.0861,2046443
2016-12-31,1.0862,1.1616,1.0352,1.0516,1.0516,2341187
2017-12-31,1.0515,1.2094,1.0341,1.1998,1.1998,1724426
2018-12-31,1.2003,1.2557,1.1214,1.147,1.147,1779161
2019-12-31,1.1466,1.1572,1.0878,1.121,1.121,25732964
2020-12-31,1.1213,1.2311,1.0636,1.2213,1.2213,30016324
2021-12-31,1.2216,1.235,1.1185,1.1368,1.1368,22773461
2022-12-31,1.1357,1.1496,0.9535,1.0702,1.0702,21013772
2023-12-31,1.0699,1.1034,1.0483,1.0729,1.0729,4144270
