Date,Open,High,Low,Close,Adjusted_close,Volume
1984-01-31,997.5,1082.0,993.3,1063.0,1063.0,0
1985-01-31,1060.3,1306.4,978.7,1280.8,1280.8,0
1986-01-31,1272.6,1460.7,1215.4,1435.0,1435.0,0
1987-01-31,1425.1,1817.0,1421.5,1808.3,1808.3,0
1988-01-31,1832.8,2455.2,1515.0,1790.8,1790.8,0
1989-01-31,1776.9,2072.7,1690.0,2051.8,2051.8,0
1990-01-31,2039.7,2479.4,1983.3,2337.3,2337.3,0
1991-01-31,2345.8,2430.6,1974.1,2170.3,2170.3,0
1992-01-31,2168.5,2683.7,2155.6,2571.2,2571.2,0
1993-01-31,2563.7,2870.2,2260.6,2807.2,2807.2,0
1994-01-31,2821.9,3496.1,2772.2,3491.8,3491.8,0
1995-01-31,3511.4,3539.2,2844.7,2991.6,2991.6,0
1996-01-31,3001.8,3767.4,2958.6,3759.3,3759.3,0
1997-01-31,3753.3,4275.8,3612.6,4275.8,4275.8,0
1998-01-31,4272.3,5458.5,4200.5,5458.46,5458.46,0
1999-01-31,5589.9,6195.6,4599.2,5896.0,5896.0,12746070000
2000-01-31,5926.0,6950.6,5697.7,6268.54,6268.54,149964355000
2001-01-31,6268.5,6838.6,5915.2,6297.53,6297.53,254637868000
2002-01-31,6297.5,6309.9,4219.8,5164.78,5164.78,320072073000
2003-01-31,5164.8,5331.6,3391.5,3567.41,3567.41,401373523000
2004-01-31,3567.4,4531.4,3277.5,4390.68,4390.68,417432762784
2005-01-31,4390.7,4879.5,4283.0,4852.31,4852.31,407513811169
2006-01-31,4852.3,5796.1,4773.7,5760.26,5760.26,402739718300
2007-01-31,5760.3,6335.1,5467.4,6203.09,6203.09,410669070022
2008-01-31,6203.1,6754.1,5338.7,5879.78,5879.78,425693063316
2009-01-31,5879.8,6377.0,3665.21,4149.64,4149.64,347534672653
2010-01-31,4149.64,5600.48,3460.71,5188.52,5188.52,285544046381
2011-01-31,5188.52,6090.49,4790.04,5862.94,5862.94,251569752800
2012-01-31,5862.94,6105.77,4791.01,5681.61,5681.61,223914374176
2013-01-31,5681.61,6354.46,5229.76,6276.88,6276.88,197304359422
2014-01-31,6276.88,6875.62,6023.44,6510.44,6510.44,172160855070
2015-01-31,6510.44,6904.86,6072.68,6749.4,6749.4,181693348932
2016-01-31,6749.4,7122.74,5639.88,6083.79,6083.79,194120372953
2017-01-31,6083.79,7354.14,5499.51,7099.15,7099.15,219938786883
2018-01-31,7099.15,7792.56,7093.57,7533.55,7533.55,207472933011
2019-01-31,7533.55,7903.5,6536.53,6968.85,6968.85,205763272803
2020-01-31,6968.85,7727.49,6968.85,7286.01,7286.01,180130926452
2021-01-31,7286.01,7547.65,4898.79,6407.46,6407.46,237677751887
2022-01-31,6407.46,7619.01,6407.46,7464.37,7464.37,186120740094
2023-01-31,7464.37,7875.6001,6707.6001,7771.7002,7771.7002,220901729463
2024-01-31,7771.7002,8047.1001,7546.02,7548.6299,7548.6299,23500240000
