Date,Open,High,Low,Close,Adjusted_close,Volume
1971-02-28,100.0,102.19,99.68,101.34,101.34,0
1972-02-29,101.78,125.38,100.31,125.38,125.38,0
1973-02-28,126.29,136.84,119.8,120.41,120.41,0
1974-02-28,119.53,122.28,88.67,94.35,94.35,0
1975-02-28,94.05,96.53,54.87,73.0,73.0,0
1976-02-29,73.83,92.09,73.78,90.26,90.26,0
1977-02-28,90.25,97.88,86.95,94.57,94.57,0
1978-02-28,95.14,105.05,93.66,101.47,101.47,0
1979-02-28,101.47,139.25,101.47,122.56,122.56,0
1980-02-29,123.33,165.25,123.33,158.03,158.03,0
1981-02-28,156.87,208.15,124.09,198.01,198.01,0
1982-02-28,199.06,223.47,175.03,179.43,179.43,0
1983-02-28,180.13,262.44,159.14,260.67,260.67,0
1984-02-29,261.82,328.91,247.09,252.57,252.57,0
1985-02-28,253.5,289.3,225.3,284.2,284.2,6931640000
1986-02-28,285.1,359.8,275.6,359.5,359.5,21781630000
1987-02-28,360.0,425.0,342.3,425.0,425.0,30158850000
1988-02-29,425.0,456.3,288.5,367.0,367.0,36472370000
1989-02-28,367.4,410.1,362.4,399.7,399.7,31277810000
1990-02-28,401.0,487.5,397.8,425.8,425.8,33719380000
1991-02-28,425.3,470.3,323.0,453.1,453.1,34077870000
1992-02-29,450.6,646.09,450.3,633.47,633.47,44729100000
1993-02-28,634.04,711.28,545.95,670.77,670.77,48814410000
1994-02-28,670.88,800.63,644.71,792.5,792.5,69014060000
1995-02-28,792.1,804.43,690.95,793.73,793.73,74320310000
1996-02-29,794.33,1121.89,790.35,1100.05,1100.05,110547040000
1997-02-28,1098.9399,1400.53,1008.44,1309.0,1309.0,142264170000
1998-02-28,1306.21,1783.74,1194.16,1770.51,1770.51,165972750000
1999-02-28,1778.72,2533.4399,1343.87,2288.03,2288.03,207907110000
2000-02-29,2286.8301,4698.46,2235.1899,4696.6899,4696.6899,296986950000
2001-02-28,4732.8198,5132.52,2127.5,2151.8301,2151.8301,453885110000
2002-02-28,2126.3,2328.05,1387.0601,1731.49,1731.49,452360350000
2003-02-28,1745.49,1946.23,1108.49,1337.52,1337.52,414265540000
2004-02-29,1344.21,2153.8301,1253.22,2029.8199,2029.8199,442553740000
2005-02-28,2036.92,2191.6001,1750.8199,2051.72,2051.72,443788560000
2006-02-28,2057.47,2332.9199,1889.83,2281.3899,2281.3899,435539170000
2007-02-28,2288.1499,2531.4199,2012.78,2416.1499,2416.1499,487145120000
2008-02-29,2377.1799,2861.51,2202.54,2271.48,2271.48,543063640000
2009-02-28,2271.26,2551.47,1295.48,1377.84,1377.84,544788630000
2010-02-28,1356.13,2326.28,1265.52,2238.26,2238.26,555243990000
2011-02-28,2247.3999,2840.51,2061.1399,2782.27,2782.27,540799730000
2012-02-29,2791.0801,3000.1101,2298.8899,2966.8899,2966.8899,492386620000
2013-02-28,2979.1101,3213.6001,2726.6799,3160.1899,3160.1899,433747040000
2014-02-28,3143.54,4342.5898,3129.3999,4308.1201,4308.1201,452328480000
2015-02-28,4261.4199,4989.25,3946.03,4963.5298,4963.5298,480495130000
2016-02-29,4973.4302,5231.9399,4209.7598,4557.9502,4557.9502,489279820000
2017-02-28,4596.0098,5867.8901,4574.25,5825.4399,5825.4399,464442100000
2018-02-28,5874.8599,7505.77,5769.3901,7273.0098,7273.0098,494246040000
2019-02-28,7274.75,8133.2998,6190.1699,7532.5298,7532.5298,564397190000
2020-02-29,7587.4502,9838.3701,7292.2202,8567.3701,8567.3701,548599960000
2021-02-28,8667.1396,14175.1201,6631.4199,13192.3496,13192.3496,1180856550000
2022-02-28,13406.1602,16212.2305,12397.0498,13751.4004,13751.4004,1191047440000
2023-02-28,13716.7002,14646.9004,10088.8301,11455.54,11455.54,1242206980000
2024-02-29,11447.5801,11827.9199,10982.8027,11288.6787,11288.6787,45981191000
