Date,Open,High,Low,Close,Adjusted_close,Volume
2010-06-30,18.9999,30.4191,17.5401,23.8299,1.5887,539665057
2011-06-30,24.9999,36.42,14.9799,29.13,1.942,5397438669
2012-06-30,29.07,39.9501,21.5001,31.29,2.086,4335877301
2013-06-30,31.35,114.9,25.5201,107.3601,7.1573,12718232180
2014-06-30,109.3599,264.9999,104.4999,240.06,16.004,36399832258
2015-06-30,242.46,291.42,181.4001,268.26,17.884,19745318887
2016-06-30,271.11,286.65,141.0501,212.28,14.152,17868145710
2017-06-30,206.1399,386.9901,178.1901,361.6101,24.1073,18963686621
2018-06-30,370.2399,389.61,244.59,342.9501,22.8633,26428802551
2019-06-30,360.0699,387.4599,176.9919,223.4601,14.8973,36869335512
2020-06-30,230.2101,1087.6899,210.9999,1079.8101,71.9873,49253420442
2021-06-30,1083.0,2318.49,329.88,679.7,226.5667,35991607608
2022-06-30,683.92,1243.49,620.46,673.42,224.4733,19247709119
2023-06-30,681.0,944.0001,101.81,174.48,174.48,20278698251
