Date,Open,High,Low,Close,Adjusted_close,Volume
1979-12-31,1.5074,1.5081,1.5074,1.5081,1.5081,0
1980-03-31,1.5149,1.5177,1.3492,1.3492,1.3492,0
1980-06-30,1.3339,1.4808,1.3339,1.4741,1.4741,0
1980-09-30,1.4745,1.4957,1.4325,1.4341,1.4341,0
1980-12-31,1.4366,1.442,1.2913,1.3275,1.3275,0
1981-03-31,1.3154,1.3435,1.1624,1.2235,1.2235,0
1981-06-30,1.2217,1.2217,1.06,1.0719,1.0719,0
1981-09-30,1.0625,1.141,0.9968,1.0967,1.0967,0
1981-12-31,1.0943,1.1425,1.0815,1.1046,1.1046,0
1982-03-31,1.1121,1.1121,1.0072,1.0082,1.0082,0
1982-06-30,1.011,1.0617,0.957,0.9713,0.9713,0
1982-09-30,0.9656,0.9896,0.9338,0.938,0.938,0
1982-12-31,0.9393,0.9797,0.9092,0.9756,0.9756,0
1983-03-31,0.9837,0.9949,0.9319,0.9344,0.9344,0
1983-06-30,0.9369,0.9403,0.8828,0.8908,0.8908,0
1983-09-30,0.8908,0.8908,0.8273,0.8528,0.8528,0
1983-12-31,0.8556,0.87,0.8079,0.8226,0.8226,0
1984-03-31,0.8137,0.8712,0.7893,0.8584,0.8584,0
1984-06-30,0.86,0.86,0.7966,0.803,0.803,0
1984-09-30,0.799,0.799,0.7171,0.7303,0.7303,0
1984-12-31,0.7317,0.7625,0.7114,0.7114,0.7114,0
1985-03-31,0.7063,0.7209,0.6444,0.7209,0.7209,0
1985-06-30,0.7167,0.7476,0.6948,0.7352,0.7352,0
1985-09-30,0.7324,0.8231,0.7293,0.8183,0.8183,0
1985-12-31,0.8223,0.8902,0.8179,0.8902,0.8902,0
1986-03-31,0.8872,0.9851,0.8767,0.9334,0.9334,0
1986-06-30,0.9334,0.9945,0.8983,0.9827,0.9827,0
1986-09-30,0.9799,1.0474,0.97,1.0266,1.0266,0
1986-12-31,1.0332,1.0744,1.0024,1.0734,1.0734,0
1987-03-31,1.0807,1.163,1.0677,1.1474,1.1474,0
1987-06-30,1.1331,1.175,1.1218,1.1342,1.1342,0
1987-09-30,1.1334,1.1584,1.0902,1.1259,1.1259,0
1987-12-31,1.1273,1.3122,1.1227,1.3113,1.3113,0
1988-03-31,1.2972,1.3113,1.196,1.2515,1.2515,0
1988-06-30,1.2529,1.2586,1.1336,1.1429,1.1429,0
1988-09-30,1.1381,1.1459,1.0827,1.1093,1.1093,0
1988-12-31,1.1141,1.2117,1.1089,1.1734,1.1734,0
1989-03-31,1.173,1.1825,1.0937,1.0976,1.0976,0
1989-06-30,1.1106,1.1268,1.0114,1.0588,1.0588,0
1989-09-30,1.0715,1.1219,1.0359,1.1012,1.1012,0
1989-12-31,1.0977,1.2039,1.0682,1.1918,1.1918,0
1990-03-31,1.1839,1.2325,1.169,1.2065,1.2065,0
1990-06-30,1.2018,1.254,1.198,1.2365,1.2365,0
1990-09-30,1.2465,1.3462,1.2396,1.3155,1.3155,0
1990-12-31,1.3285,1.4026,1.3165,1.367,1.367,0
1991-03-31,1.3773,1.4217,1.1977,1.2119,1.2119,0
1991-06-30,1.2119,1.2452,1.1262,1.1355,1.1355,0
1991-09-30,1.1246,1.2342,1.1165,1.2279,1.2279,0
1991-12-31,1.2275,1.3495,1.1905,1.3369,1.3369,0
1992-03-31,1.3369,1.3527,1.2128,1.2431,1.2431,0
1992-06-30,1.2365,1.3529,1.2247,1.3447,1.3447,0
1992-09-30,1.3443,1.458,1.2653,1.386,1.386,0
1992-12-31,1.3855,1.3919,1.2025,1.2047,1.2047,0
1993-03-31,1.204,1.25,1.1608,1.207,1.207,0
1993-06-30,1.2043,1.2485,1.1416,1.1471,1.1471,0
1993-09-30,1.1471,1.1989,1.0817,1.1618,1.1618,0
1993-12-31,1.1618,1.1886,1.113,1.113,1.113,0
1994-03-31,1.113,1.1595,1.101,1.1517,1.1517,0
1994-06-30,1.1507,1.2185,1.1233,1.2052,1.2052,0
1994-09-30,1.206,1.2573,1.1909,1.2324,1.2324,0
1994-12-31,1.2324,1.2812,1.2025,1.2269,1.2269,0
1995-03-31,1.2269,1.3358,1.2159,1.3319,1.3319,0
1995-06-30,1.3275,1.353,1.2655,1.3321,1.3321,0
1995-09-30,1.3323,1.3525,1.2506,1.2971,1.2971,0
1995-12-31,1.2969,1.3213,1.2599,1.2777,1.2777,0
1996-03-31,1.2769,1.2971,1.2243,1.2557,1.2557,0
1996-06-30,1.2545,1.2613,1.219,1.2432,1.2432,0
1996-09-30,1.2433,1.2837,1.2384,1.2504,1.2504,0
1996-12-31,1.2512,1.2862,1.2305,1.2538,1.2538,0
1997-03-31,1.2527,1.2559,1.1293,1.1661,1.1661,0
1997-06-30,1.1625,1.1685,1.1195,1.1267,1.1267,0
1997-09-30,1.126,1.1295,1.0419,1.1122,1.1122,0
1997-12-31,1.1117,1.164,1.098,1.0991,1.0991,0
1998-03-31,1.0968,1.1196,1.0705,1.0768,1.0768,0
1998-06-30,1.0762,1.1248,1.07,1.0952,1.0952,0
1998-09-30,1.0955,1.1831,1.079,1.1795,1.1795,0
1998-12-31,1.1782,1.2293,1.1459,1.1723,1.1723,0
1999-03-31,1.1742,1.1909,1.0683,1.077,1.077,0
1999-06-30,1.0776,1.0886,1.0257,1.0357,1.0357,0
1999-09-30,1.0364,1.0829,1.0109,1.0684,1.0684,0
1999-12-31,1.0678,1.0913,0.9989,1.0075,1.0075,0
2000-03-31,1.0052,1.0419,0.9392,0.9562,0.9562,0
2000-06-30,0.9563,0.9752,0.8845,0.9526,0.9526,0
2000-09-30,0.9524,0.9599,0.8439,0.8839,0.8839,0
2000-12-31,0.8843,0.9427,0.8227,0.9424,0.9424,0
2001-03-31,0.9422,0.9597,0.8752,0.8778,0.8778,0
2001-06-30,0.8745,0.9094,0.841,0.85,0.85,0
2001-09-30,0.8506,0.9335,0.8347,0.9117,0.9117,0
2001-12-31,0.9103,0.9246,0.8735,0.8909,0.8909,0
2002-03-31,0.8909,0.9069,0.8562,0.8718,0.8718,0
2002-06-30,0.8713,0.9992,0.8713,0.9918,0.9918,0
