Date,Open,High,Low,Close,Adjusted_close,Volume
1971-02-28,100.0,102.19,99.68,101.34,101.34,0
1971-05-31,101.78,112.46,101.78,108.25,108.25,0
1971-08-31,108.87,111.24,103.04,108.42,108.42,0
1971-11-30,108.65,110.98,100.31,103.97,103.97,0
1972-02-29,105.0,125.38,105.0,125.38,125.38,0
1972-05-31,126.29,134.1,125.73,132.53,132.53,0
1972-08-31,133.13,133.52,127.09,129.95,129.95,0
1972-11-30,130.7,133.58,125.87,132.96,132.96,0
1973-02-28,133.94,136.84,119.8,120.41,120.41,0
1973-05-31,119.53,122.28,100.76,102.64,102.64,0
1973-08-31,102.3,109.36,99.39,104.87,104.87,0
1973-11-30,105.5,114.1,93.07,93.51,93.51,0
1974-02-28,91.97,95.95,88.67,94.35,94.35,0
1974-05-31,94.05,96.53,79.78,80.2,80.2,0
1974-08-31,81.08,83.92,61.37,62.37,62.37,0
1974-11-30,60.88,66.72,54.87,62.95,62.95,0
1975-02-28,61.66,73.79,57.86,73.0,73.0,0
1975-05-31,73.83,83.1,73.83,83.1,83.1,0
1975-08-31,83.88,88.0,75.52,79.01,79.01,0
1975-11-30,77.89,79.27,73.78,78.8,78.8,0
1976-02-29,78.66,92.09,74.52,90.26,90.26,0
1976-05-31,90.25,91.55,87.78,88.04,88.04,0
1976-08-31,87.81,92.52,86.95,89.7,89.7,0
1976-11-30,90.59,92.44,87.82,91.12,91.12,0
1977-02-28,91.83,97.88,91.83,94.57,94.57,0
1977-05-31,95.14,98.47,93.66,95.59,95.59,0
1977-08-31,95.86,103.11,95.8,100.1,100.1,0
1977-11-30,100.4,104.33,96.49,103.15,103.15,0
1978-02-28,103.68,105.05,99.09,101.47,101.47,0
1978-05-31,101.47,121.93,101.47,120.24,120.24,0
1978-08-31,120.34,135.84,118.82,135.01,135.01,0
1978-11-30,135.35,139.25,110.88,114.69,114.69,0
1979-02-28,116.19,127.04,114.33,122.56,122.56,0
1979-05-31,123.33,134.78,123.33,131.42,131.42,0
1979-08-31,131.76,150.44,131.76,150.44,150.44,0
1979-11-30,148.49,152.29,132.61,144.26,144.26,0
1980-02-29,143.86,165.25,143.86,158.03,158.03,0
1980-05-31,156.87,156.87,124.09,150.45,150.45,0
1980-08-31,150.17,182.39,149.92,181.52,181.52,0
1980-11-30,182.34,208.15,182.34,208.15,208.15,0
1981-02-28,204.91,206.19,188.75,198.01,198.01,0
1981-05-31,199.06,223.47,198.16,223.47,223.47,0
1981-08-31,223.02,223.02,195.75,195.75,195.75,0
1981-11-30,195.17,201.37,175.03,201.37,201.37,0
1982-02-28,201.13,201.13,177.49,179.43,179.43,0
1982-05-31,180.13,188.22,167.92,178.54,178.54,0
1982-08-31,177.36,178.17,159.14,177.71,177.71,0
1982-11-30,177.3,232.61,177.3,232.31,232.31,0
1983-02-28,235.59,262.44,225.6,260.67,260.67,0
1983-05-31,261.82,312.05,261.82,308.73,308.73,0
1983-08-31,307.95,328.91,289.36,292.42,292.42,0
1983-11-30,294.55,304.56,269.57,285.67,285.67,0
1984-02-29,286.07,287.9,247.09,252.57,252.57,0
1984-05-31,253.5,255.54,231.93,232.82,232.82,0
1984-08-31,235.9,254.81,225.3,254.64,254.64,0
1984-11-30,251.39,255.6,242.4,242.4,242.4,2123860000
1985-02-28,241.9,289.3,237.7,284.2,284.2,4807780000
1985-05-31,285.1,294.8,275.6,290.8,290.8,4791030000
1985-08-31,291.4,307.9,286.7,297.7,297.7,4988020000
1985-11-30,297.3,314.0,276.6,314.0,314.0,5034210000
1986-02-28,313.9,359.8,312.3,359.5,359.5,6968370000
1986-05-31,360.0,400.4,359.1,400.2,400.2,7822820000
1986-08-31,400.7,411.3,364.4,382.9,382.9,7081980000
1986-11-30,382.8,384.0,342.3,359.6,359.6,6430840000
1987-02-28,357.4,425.0,347.0,425.0,425.0,8823210000
1987-05-31,425.0,440.0,404.5,416.5,416.5,9115700000
1987-08-31,415.5,455.8,413.5,455.0,455.0,9790400000
1987-11-30,455.5,456.3,288.5,305.2,305.2,9664450000
1988-02-29,306.4,367.0,291.9,367.0,367.0,7901820000
1988-05-31,367.4,384.3,362.4,370.3,370.3,8124460000
1988-08-31,372.7,397.5,372.2,376.6,376.6,8296650000
1988-11-30,374.2,388.9,364.0,371.5,371.5,7126500000
1989-02-28,372.1,410.1,371.2,399.7,399.7,7730200000
1989-05-31,401.0,446.2,397.8,446.2,446.2,8606020000
1989-08-31,446.8,469.4,431.7,469.3,469.3,8571210000
1989-11-30,469.9,487.5,446.8,456.1,456.1,8315670000
1990-02-28,456.6,461.6,410.0,425.8,425.8,8226480000
1990-05-31,425.3,460.0,417.0,459.0,459.0,8945470000
1990-08-31,459.5,470.3,359.7,381.2,381.2,9238870000
1990-11-30,379.0,385.2,323.0,359.1,359.1,7156110000
1991-02-28,361.1,454.2,353.0,453.1,453.1,8737420000
1991-05-31,450.6,512.68,450.3,506.11,506.11,11076910000
1991-08-31,505.84,527.71,470.92,525.68,525.68,9207990000
1991-11-30,526.3,558.16,511.05,523.9,523.9,10986730000
1992-02-29,519.48,646.09,518.63,633.47,633.47,13457470000
1992-05-31,634.04,637.21,557.06,585.31,585.31,11109910000
1992-08-31,583.67,591.07,545.95,563.12,563.12,10264630000
1992-11-30,562.51,652.75,551.72,652.73,652.73,12329090000
1993-02-28,650.58,711.28,647.79,670.77,670.77,15110780000
1993-05-31,670.88,707.05,644.71,700.53,700.53,15112610000
1993-08-31,700.96,742.91,682.89,742.84,742.84,16274670000
1993-11-30,743.65,791.2,724.48,754.39,754.39,18724350000
1994-02-28,759.9,800.63,750.3,792.5,792.5,18902430000
1994-05-31,792.1,804.43,703.4,735.19,735.19,18688530000
1994-08-31,733.18,767.6,690.95,765.62,765.62,18047940000
1994-11-30,763.0,779.58,728.78,750.32,750.32,18778320000
1995-02-28,748.83,796.02,710.94,793.73,793.73,18805520000
1995-05-31,794.33,885.92,790.35,864.58,864.58,22645350000
1995-08-31,865.67,1035.1899,863.84,1020.11,1020.11,27724210000
1995-11-30,1019.42,1070.23,959.36,1059.2,1059.2,28188340000
1996-02-29,1060.66,1121.89,977.79,1100.05,1100.05,31989140000
1996-05-31,1098.9399,1252.8101,1057.87,1243.4301,1243.4301,37151180000
1996-08-31,1242.54,1254.12,1008.44,1141.5,1141.5,32983470000
1996-11-30,1133.3,1293.75,1123.14,1292.61,1292.61,34164410000
1997-02-28,1294.78,1400.53,1251.03,1309.0,1309.0,37965110000
1997-05-31,1306.21,1414.26,1194.16,1400.3199,1400.3199,37192200000
1997-08-31,1407.0699,1638.26,1375.45,1587.3199,1587.3199,40332940000
1997-11-30,1595.0699,1748.78,1465.84,1600.55,1600.55,45218780000
1998-02-28,1608.5601,1783.74,1465.61,1770.51,1770.51,43228830000
1998-05-31,1778.72,1931.83,1708.48,1778.87,1778.87,48643650000
1998-08-31,1770.37,2028.1801,1498.73,1499.25,1499.25,49242900000
1998-11-30,1509.01,2025.04,1343.87,1949.54,1949.54,52979580000
1999-02-28,1928.51,2533.4399,1924.15,2288.03,2288.03,57040980000
1999-05-31,2286.8301,2677.76,2235.1899,2470.52,2470.52,63142110000
1999-08-31,2467.51,2874.9199,2364.5901,2739.3501,2739.3501,60770360000
1999-11-30,2752.3301,3469.3501,2632.01,3336.1599,3336.1599,72772510000
2000-02-29,3341.1001,4698.46,3321.5701,4696.6899,4696.6899,100301970000
2000-05-31,4732.8198,5132.52,3042.6599,3400.9099,3400.9099,109180440000
2000-08-31,3471.95,4289.0601,3459.8501,4206.3501,4206.3501,97491410000
2000-11-30,4252.1499,4259.8701,2523.04,2597.9299,2597.9299,117038250000
2001-02-28,2644.0901,3028.75,2127.5,2151.8301,2151.8301,130175010000
2001-05-31,2126.3,2328.05,1619.58,2110.49,2110.49,128834970000
2001-08-31,2131.1201,2264.5801,1777.11,1805.4301,1805.4301,101827260000
2001-11-30,1802.29,1965.09,1387.0601,1930.58,1930.58,113040070000
2002-02-28,1915.13,2098.8799,1696.55,1731.49,1731.49,108658050000
2002-05-31,1745.49,1946.23,1560.29,1615.73,1615.73,113070690000
2002-08-31,1613.5,1621.5,1192.42,1314.85,1314.85,113366660000
2002-11-30,1302.67,1497.4399,1108.49,1478.78,1478.78,103433490000
2003-02-28,1507.9399,1521.4399,1261.79,1337.52,1337.52,84394700000
2003-05-31,1344.21,1599.92,1253.22,1595.91,1595.91,100321730000
2003-08-31,1612.1,1813.8199,1584.7,1810.45,1810.45,109677620000
2003-11-30,1817.92,1992.27,1783.46,1960.26,1960.26,115193980000
2004-02-29,1972.97,2153.8301,1887.46,2029.8199,2029.8199,117360410000
2004-05-31,2036.92,2079.1201,1865.4,1986.74,1986.74,115303400000
2004-08-31,1978.52,2055.6499,1750.8199,1838.1,1838.1,99137450000
2004-11-30,1833.37,2117.8899,1833.33,2096.8101,2096.8101,105198670000
2005-02-28,2104.5801,2191.6001,2008.6801,2051.72,2051.72,124149040000
2005-05-31,2057.47,2100.5701,1889.83,2068.22,2068.22,111521720000
2005-08-31,2067.23,2219.9099,2039.6899,2152.0901,2152.0901,103643340000
