Date,Open,High,Low,Close,Adjusted_close,Volume
1985-09-30,111.175,111.175,110.62,110.62,110.62,0
1985-12-31,112.14,133.115,106.77,132.295,132.295,0
1986-03-31,131.255,149.205,128.055,148.86,148.86,0
1986-06-30,148.45,163.98,144.83,162.615,162.615,0
1986-09-30,163.325,164.555,133.28,137.495,137.495,0
1986-12-31,138.265,150.85,137.405,141.405,141.405,0
1987-03-31,142.86,191.745,141.405,186.04,186.04,0
1987-06-30,186.075,193.36,177.51,189.24,189.24,0
1987-09-30,189.475,212.165,186.565,205.505,205.505,0
1987-12-31,209.705,214.03,126.25,156.25,156.25,0
1988-03-31,161.81,182.735,151.57,173.26,173.26,0
1988-06-30,171.405,189.345,166.765,189.025,189.025,0
1988-09-30,189.955,192.77,167.17,179.365,179.365,0
1988-12-31,176.79,180.525,162.655,177.41,177.41,0
1989-03-31,174.625,192.995,172.945,185.87,185.87,0
1989-06-30,185.83,220.81,184.45,204.585,204.585,0
1989-09-30,205.465,227.635,203.61,226.415,226.415,0
1989-12-31,228.11,238.845,208.685,223.835,223.835,0
1990-03-31,227.725,228.94,196.685,213.145,213.145,0
1990-06-30,212.67,242.845,202.97,238.46,238.46,0
1990-09-30,238.42,246.815,169.325,177.055,177.055,0
1990-12-31,184.735,203.485,162.55,200.53,200.53,0
1991-03-31,199.765,267.93,190.895,264.905,264.905,0
1991-06-30,264.595,286.05,249.785,254.195,254.195,0
1991-09-30,259.12,290.915,249.995,287.535,287.535,0
1991-12-31,287.535,332.58,276.51,330.855,330.855,0
1992-03-31,330.855,357.7,320.155,323.05,323.05,0
1992-06-30,323.05,326.79,288.01,301.23,301.23,0
1992-09-30,301.23,324.69,287.635,313.185,313.185,0
1992-12-31,313.185,363.205,291.965,360.185,360.185,0
1993-03-31,360.185,384.675,337.145,359.42,359.42,0
1993-06-30,359.42,376.53,326.56,366.125,366.125,0
1993-09-30,366.125,388.33,346.515,382.715,382.715,0
1993-12-31,382.715,401.81,371.825,398.28,398.28,0
1994-03-31,395.67,418.99,372.32,382.96,382.96,0
1994-06-30,382.96,391.94,350.03,360.3,360.3,0
1994-09-30,360.3,407.1,352.74,393.85,393.85,0
1994-12-31,393.85,417.55,376.8,404.27,404.27,0
1995-03-31,404.27,462.99,394.59,447.15,447.15,0
1995-06-30,447.15,546.57,438.38,538.03,538.03,0
1995-09-30,538.03,613.78,530.4,585.08,585.08,0
1995-12-31,585.08,623.53,527.89,576.23,576.23,0
1996-03-31,576.23,647.34,526.8,609.69,609.69,0
1996-06-30,609.69,704.09,597.42,677.3,677.3,0
1996-09-30,677.4,757.83,572.79,737.58,737.58,0
1996-12-31,737.58,873.0,727.14,821.36,821.36,0
1997-03-31,821.36,938.11,784.54,797.06,797.06,0
1997-06-30,797.06,993.16,779.17,957.3,957.3,0
1997-09-30,957.3,1151.82,947.78,1097.17,1097.17,0
1997-12-31,1097.17,1153.89,925.92,990.8,990.8,0
1998-03-31,990.8,1230.92,933.01,1220.66,1220.66,0
1998-06-30,1220.66,1347.44,1157.88,1337.34,1337.34,0
1998-09-30,1337.34,1485.97,1118.12,1345.48,1345.48,0
1998-12-31,1345.48,1848.36,1063.27,1836.01,1836.01,0
1999-03-31,1836.01,2168.69,1833.43,2106.39,2106.39,0
1999-06-30,2106.39,2320.43,1952.36,2296.77,2296.77,0
1999-09-30,2296.77,2551.66,2120.26,2407.9,2407.9,0
1999-12-31,2407.7,3750.41,2299.95,3707.83,3707.83,0
2000-03-31,3755.74,4816.35,3314.75,4397.84,4397.84,0
2000-06-30,4355.7,4355.7,2897.27,3763.79,3763.79,0
2000-09-30,3763.79,4147.19,3341.83,3570.61,3570.61,0
2000-12-31,3613.74,3613.86,2174.76,2341.7,2341.7,0
2001-03-31,2341.28,2771.63,1530.14,1573.25,1573.25,0
2001-06-30,1569.66,2070.61,1348.52,1830.19,1830.19,0
2001-09-30,1831.42,1864.2,1088.96,1168.37,1168.37,0
2001-12-31,1161.74,1734.58,1131.32,1577.05,1577.05,0
2002-03-31,1590.71,1710.23,1329.93,1452.81,1452.81,0
2002-06-30,1440.38,1481.74,979.87,1051.41,1051.41,0
2002-09-30,1044.48,1066.28,825.8,832.52,832.52,0
2002-12-31,841.29,1155.68,795.25,984.36,984.36,0
2003-03-31,995.64,1104.32,938.52,1018.66,1018.66,0
2003-06-30,1025.02,1265.69,1015.46,1201.69,1201.69,0
2003-09-30,1195.3,1406.61,1180.11,1303.7,1303.7,0
2003-12-31,1312.43,1474.24,1306.33,1467.92,1467.92,0
2004-03-31,1474.16,1559.47,1368.08,1438.41,1438.41,0
2004-06-30,1438.91,1523.48,1372.46,1516.64,1516.64,0
2004-09-30,1514.82,1514.82,1301.93,1412.74,1412.74,0
2004-12-31,1426.38,1635.7,1416.29,1621.12,1621.12,0
2005-03-31,1628.75,1635.45,1458.26,1482.53,1482.53,0
2005-06-30,1491.83,1568.96,1394.36,1493.52,1493.52,0
2005-09-30,1497.02,1628.57,1484.18,1601.66,1601.66,0
2005-12-31,1603.47,1716.65,1515.42,1645.2,1645.2,0
2006-03-31,1654.39,1761.46,1633.62,1703.66,1703.66,0
2006-06-30,1715.12,1750.23,1511.53,1575.23,1575.23,9522624322
2006-09-30,1580.63,1666.03,1446.77,1654.13,1654.13,51131151168
2006-12-31,1650.32,1824.21,1623.07,1756.9,1756.9,49304287296
