Date,Open,High,Low,Close,Adjusted_close,Volume
1997-09-30,933.75,972.0,900.5,954.5,954.5,115943
1997-12-31,955.5,992.25,844.0,979.25,979.25,627618
1998-03-31,979.25,1125.25,914.5,1110.5,1110.5,699401
1998-06-30,1109.75,1158.0,1071.5,1143.0,1143.0,836081
1998-09-30,1143.0,1199.75,935.0,1026.0,1026.0,1126853
1998-12-31,1026.5,1256.75,929.25,1245.5,1245.5,1268669
1999-03-31,1243.25,1338.0,1203.5,1293.25,1293.25,1851231
1999-06-30,1292.75,1386.5,1278.0,1381.7,1381.7,2235090
1999-09-30,1381.75,1431.75,1267.5,1298.2,1298.2,2715138
1999-12-31,1297.0,1499.5,1241.5,1484.25,1484.25,2893487
2000-03-31,1489.0,1574.25,1327.5,1515.25,1515.25,3740183
2000-06-30,1514.0,1544.75,1342.25,1468.0,1468.0,4238418
2000-09-30,1472.25,1557.5,1423.5,1453.75,1453.75,4022549
2000-12-31,1453.75,1474.0,1270.25,1335.0,1335.0,5029649
2001-03-31,1331.0,1394.0,1088.0,1169.25,1169.25,6630644
2001-06-30,1173.0,1325.0,1098.5,1231.75,1231.75,7982182
2001-09-30,1233.5,1248.25,939.0,1043.75,1043.75,8912446
2001-12-31,1044.25,1175.25,1028.75,1149.2,1149.2,11578195
2002-03-31,1143.75,1178.5,1073.75,1149.25,1149.25,14017975
2002-06-30,1145.25,1150.0,945.5,990.0,990.0,21411014
2002-09-30,989.0,996.25,771.0,815.0,815.0,33431102
2002-12-31,816.5,955.25,767.25,879.0,879.0,34879759
2003-03-31,883.0,937.0,788.5,847.0,847.0,35890393
2003-06-30,844.5,1016.75,843.0,973.25,973.25,36687585
2003-09-30,972.75,1041.75,958.25,994.0,994.0,36629521
2003-12-31,995.0,1111.5,995.0,1110.5,1110.5,32415454
2004-03-31,1111.0,1163.75,1084.75,1125.0,1125.0,36379733
2004-06-30,1127.25,1154.5,1075.25,1140.5,1140.5,39828241
2004-09-30,1141.5,1143.75,1060.0,1115.0,1115.0,35982871
2004-12-31,1114.75,1219.75,1088.0,1213.75,1213.75,36163208
2005-03-31,1213.5,1229.75,1164.25,1184.0,1184.0,40346977
2005-06-30,1183.75,1225.0,1135.75,1195.5,1195.5,48509030
2005-09-30,1196.0,1248.75,1170.75,1234.25,1234.25,45051911
2005-12-31,1235.25,1281.0,1171.75,1254.75,1254.75,49041774
2006-03-31,1255.25,1321.5,1251.5,1303.25,1303.25,49393997
2006-06-30,1307.0,1331.25,1218.75,1279.5,1279.5,61322173
2006-09-30,1281.75,1350.5,1231.0,1345.4,1345.4,54897956
2006-12-31,1345.75,1444.0,1336.0,1428.5,1428.5,57793405
2007-03-31,1433.25,1464.75,1363.75,1431.25,1431.25,69344935
2007-06-30,1431.75,1554.25,1425.75,1515.5,1515.5,72395991
2007-09-30,1515.25,1566.25,1374.5,1538.0,1538.0,114804164
2007-12-31,1540.5,1586.75,1406.25,1477.25,1477.25,106232657
2008-03-31,1478.75,1482.75,1253.0,1324.0,1324.0,131691439
2008-06-30,1321.25,1441.0,1272.75,1281.0,1281.0,108974432
2008-09-30,1283.0,1313.5,1112.0,1169.0,1169.0,136903097
2008-12-31,1167.5,1174.0,739.0,900.0,900.0,174094730
2009-03-31,900.0,942.75,665.75,794.75,794.75,143936907
2009-06-30,790.5,957.5,779.0,915.5,915.5,129169330
2009-09-30,915.75,1076.5,865.25,1053.0,1053.0,112136029
2009-12-31,1053.5,1128.5,1012.0,1110.75,1110.75,107365315
2010-03-31,1113.75,1176.5,1040.75,1165.25,1165.25,116247907
2010-06-30,1167.0,1216.75,1023.0,1026.5,1026.5,151908305
2010-09-30,1024.5,1153.5,1002.75,1136.75,1136.75,119439575
2010-12-31,1135.75,1258.5,1127.0,1253.0,1253.0,110434671
2011-03-31,1256.0,1343.0,1246.5,1321.0,1321.0,114107885
2011-06-30,1321.25,1373.5,1256.25,1315.5,1315.5,116453388
2011-09-30,1314.75,1354.5,1077.0,1126.0,1126.0,175717792
2011-12-31,1124.0,1289.25,1068.0,1252.5,1252.5,135056981
2012-03-31,1274.75,1419.75,1259.75,1403.25,1403.25,97754376
2012-06-30,1407.25,1417.75,1262.0,1356.5,1356.5,121335672
2012-09-30,1358.75,1474.75,1319.75,1434.25,1434.25,97319661
2012-12-31,1432.75,1466.0,1340.25,1420.0,1420.0,99337059
2013-03-31,1443.0,1565.0,1438.25,1562.75,1562.75,97818937
2013-06-30,1563.0,1685.75,1530.75,1599.25,1599.25,118808321
2013-09-30,1600.25,1733.25,1593.25,1674.25,1674.25,91822748
2013-12-31,1678.5,1846.5,1640.0,1841.0,1841.0,89152777
2014-03-31,1842.95,1893.3,1732.0,1864.5,1864.5,96472276
2014-06-30,1864.5,1970.0,1803.25,1952.5,1952.5,84363241
2014-09-30,1954.5,2022.5,1890.25,1965.5,1965.5,89755408
2014-12-31,1961.0,2088.75,1813.0,2052.5,2052.5,100024652
2015-03-31,2051.65,2117.75,1970.25,2060.75,2060.75,89767723
2015-06-30,2058.0,2134.0,2033.5,2054.5,2054.5,78629148
2015-09-30,2054.5,2126.25,1831.0,1908.75,1908.75,114796428
2015-12-31,1902.5,2110.25,1883.0,2035.5,2035.5,92971468
2016-03-31,2037.75,2064.5,1802.5,2051.5,2051.5,121723599
2016-06-30,2052.75,2119.75,1981.5,2090.25,2090.25,101315954
