Date,Open,High,Low,Close,Adjusted_close,Volume
2010-07-31,0.04951,0.08584,0.04951,0.0627,0.0627,0
2011-01-31,0.06785,0.4799,0.057,0.4799,0.4799,0
2011-07-31,0.52,29.6,0.52,13.53,13.53,0
2012-01-31,13.35,13.35,2.05,5.49,5.49,0
2012-07-31,5.48,9.11,4.22,9.1,9.1,0
2013-01-31,9.35,19.7,8.0,19.7,19.7,0
2013-07-31,20.41,230.0,19.63,106.09,106.09,0
2014-01-31,106.213,1156.14,101.211,829.92,829.92,1293371300
2014-07-31,828.61,853.52,351.272,586.235,586.235,4498867860
2015-01-31,586.202,598.116,171.51,217.464,217.464,4605738660
2015-07-31,216.867,314.394,212.015,284.65,284.65,4540750700
2016-01-31,284.686,495.562,199.567,368.767,368.767,8726849400
2016-07-31,369.35,777.99,367.957,624.681,624.681,16458888500
2017-01-31,624.602,1191.1,531.334,970.403,970.403,18142574000
2017-07-31,970.941,2999.91,903.713,2875.34,2875.34,136272620200
2018-01-31,2871.3,20089.0,2668.59,10221.1,10221.1,1144577694000
2018-07-31,10237.3,11958.5,5826.41,7781.86641402,7781.86641402,1089339239052
2019-01-31,7759.77917818,8114.3570244,3188.30031175,3450.11203517,3450.11203517,738385322108
2019-07-31,3450.05223403,13802.67189351,3377.73303701,10082.23623777,10082.23623777,2444109569181
2020-01-31,10089.60501372,12282.63349832,6479.27436807,9357.2131312,9357.2131312,3013889185763
2020-07-31,9360.49839137,11419.04987237,4232.97114368,11332.06573958,11332.06573958,4646776316990
2021-01-31,11325.84800967,42044.98789795,9926.27862058,33053.67800525,33053.67800525,4866808971542
2021-07-31,33024.53980898,65028.97108592,29207.655285732,41766.483177335,41766.483177335,9215439669032
2022-01-31,41638.050040167,68692.137036932,33286.799472187,38500.785860463,38500.785860463,7275484002971
2022-07-31,38519.893035043,48105.499901482,17708.62371259,23336.895604984,23336.895604984,5648819835512
2023-01-31,23336.71805186,25135.590396069,15599.047175383,23139.283909912,23139.283909912,5432250613058
2023-07-31,23137.835136151,29159.902617866,19628.25430942,28168.089816403,28168.089816403,1665270430591
