Date,Open,High,Low,Close,Adjusted_close,Volume
1984-01-31,997.5,1082.0,993.3,1063.0,1063.0,0
1984-07-31,1060.3,1142.8,978.7,1010.1,1010.1,0
1985-01-31,1018.1,1306.4,1006.2,1280.8,1280.8,0
1985-07-31,1272.6,1344.8,1215.4,1261.7,1261.7,0
1986-01-31,1287.2,1460.7,1269.5,1435.0,1435.0,0
1986-07-31,1425.1,1721.7,1421.5,1558.1,1558.1,0
1987-01-31,1561.8,1817.0,1519.2,1808.3,1808.3,0
1987-07-31,1832.8,2455.2,1821.5,2360.9,2360.9,0
1988-01-31,2334.3,2399.9,1515.0,1790.8,1790.8,0
1988-07-31,1776.9,1892.2,1690.0,1853.6,1853.6,0
1989-01-31,1862.2,2072.7,1717.7,2051.8,2051.8,0
1989-07-31,2039.7,2319.9,1983.3,2297.0,2297.0,0
1990-01-31,2292.3,2479.4,2029.7,2337.3,2337.3,0
1990-07-31,2345.8,2430.6,2084.4,2326.2,2326.2,0
1991-01-31,2339.0,2347.9,1974.1,2170.3,2170.3,0
1991-07-31,2168.5,2612.4,2155.6,2588.8,2588.8,0
1992-01-31,2586.2,2683.7,2327.0,2571.2,2571.2,0
1992-07-31,2563.7,2744.5,2347.4,2399.6,2399.6,0
1993-01-31,2390.8,2870.2,2260.6,2807.2,2807.2,0
1993-07-31,2821.9,2980.9,2772.2,2926.5,2926.5,0
1994-01-31,2920.0,3496.1,2919.5,3491.8,3491.8,0
1994-07-31,3511.4,3539.2,2844.7,3082.6,3082.6,0
1995-01-31,3077.8,3280.0,2938.8,2991.6,2991.6,0
1995-07-31,3001.8,3487.8,2958.6,3463.3,3463.3,0
1996-01-31,3458.7,3767.4,3433.4,3759.3,3759.3,0
1996-07-31,3753.3,3858.9,3612.6,3703.2,3703.2,0
1997-01-31,3709.3,4275.8,3697.7,4275.8,4275.8,0
1997-07-31,4272.3,4998.1,4200.5,4907.5,4907.5,0
1998-01-31,4914.6,5458.5,4382.8,5458.46,5458.46,0
1998-07-31,5589.9,6183.7,5530.8,5837.05,5837.05,0
1999-01-31,5832.2,6195.6,4599.2,5896.0,5896.0,12746070000
1999-07-31,5926.0,6663.8,5697.7,6231.93,6231.93,69514715000
2000-01-31,6228.4,6950.6,5798.3,6268.54,6268.54,80449640000
2000-07-31,6268.5,6770.4,5915.2,6365.26,6365.26,129388753000
2001-01-31,6365.3,6838.6,6017.2,6297.53,6297.53,125249115000
2001-07-31,6297.5,6309.9,5260.5,5529.05,5529.05,154112285000
2002-01-31,5529.1,5644.2,4219.8,5164.78,5164.78,165959788000
2002-07-31,5164.8,5331.6,3625.9,4246.21,4246.21,195583725000
2003-01-31,4246.2,4466.4,3391.5,3567.41,3567.41,205789798000
2003-07-31,3567.4,4218.8,3277.5,4157.02,4157.02,201870782874
2004-01-31,4157.0,4531.4,4044.9,4390.68,4390.68,215561979910
2004-07-31,4390.7,4601.6,4283.2,4413.08,4413.08,216574207168
2005-01-31,4413.1,4879.5,4283.0,4852.31,4852.31,190939604001
2005-07-31,4852.3,5308.6,4773.7,5282.3,5282.3,200057613559
2006-01-31,5282.3,5796.1,5130.9,5760.26,5760.26,202682104741
2006-07-31,5760.3,6137.1,5467.4,5928.33,5928.33,216569040601
2007-01-31,5928.3,6335.1,5752.6,6203.09,6203.09,194100029421
2007-07-31,6203.1,6754.1,5989.6,6360.11,6360.11,223485554614
2008-01-31,6360.1,6751.7,5338.7,5879.78,5879.78,202207508702
2008-07-31,5879.8,6377.0,5071.1,5411.9,5411.9,176295928381
2009-01-31,5411.9,5649.1,3665.21,4149.64,4149.64,171238744272
2009-07-31,4149.64,4646.86,3460.71,4608.36,4608.36,153290207557
2010-01-31,4608.36,5600.48,4595.58,5188.52,5188.52,132253838824
2010-07-31,5188.52,5833.73,4790.04,5258.02,5258.02,147534796912
2011-01-31,5258.02,6090.49,5070.94,5862.94,5862.94,104034955888
2011-07-31,5862.94,6105.77,5591.59,5815.19,5815.19,103589731596
2012-01-31,5815.19,5913.46,4791.01,5681.61,5681.61,120324642580
2012-07-31,5681.61,5989.07,5229.76,5635.28,5635.28,110551618281
2013-01-31,5635.28,6354.46,5605.59,6276.88,6276.88,86752741141
2013-07-31,6276.88,6875.62,6023.44,6621.06,6621.06,90570642577
2014-01-31,6621.06,6867.42,6316.91,6510.44,6510.44,81590212493
2014-07-31,6510.44,6894.88,6416.72,6730.11,6730.11,90815735063
2015-01-31,6730.11,6904.86,6072.68,6749.4,6749.4,90877613869
2015-07-31,6749.4,7122.74,6430.36,6696.28,6696.28,95892434399
2016-01-31,6696.28,6764.82,5639.88,6083.79,6083.79,98227938554
2016-07-31,6083.79,6780.05,5499.51,6724.43,6724.43,112055023629
2017-01-31,6724.43,7354.14,6615.83,7099.15,7099.15,107883763254
2017-07-31,7099.15,7598.99,7093.57,7372.0,7372.0,108938317537
2018-01-31,7372.0,7792.56,7196.58,7533.55,7533.55,98534615474
2018-07-31,7533.55,7903.5,6866.94,7748.76,7748.76,106108587175
2019-01-31,7748.76,7790.17,6536.53,6968.85,6968.85,99654685628
2019-07-31,6968.85,7727.49,6968.85,7586.78,7586.78,87949842117
2020-01-31,7586.78,7689.67,7004.43,7286.01,7286.01,92181084335
2020-07-31,7286.01,7547.65,4898.79,5897.76,5897.76,136707273849
2021-01-31,5897.76,6903.61,5525.52,6407.46,6407.46,100970478038
2021-07-31,6407.46,7217.54,6407.46,7032.3,7032.3,92774923728
2022-01-31,7032.3,7619.01,6828.28,7464.37,7464.37,93345816366
2022-07-31,7464.37,7687.27,6787.98,7423.43,7423.43,118937474329
2023-01-31,7446.01,7875.6001,6707.6001,7771.7002,7771.7002,101964255134
2023-07-31,7771.7002,8047.1001,7546.02,7548.6299,7548.6299,23500240000
