Date,Open,High,Low,Close,Adjusted_close,Volume
1927-12-31,17.66,17.66,17.66,17.66,17.66,0
1928-06-30,17.76,20.44,16.95,19.14,19.14,0
1928-12-31,18.98,24.35,18.7,24.35,24.35,0
1929-06-30,24.81,27.41,24.17,27.41,27.41,0
1929-12-31,27.77,31.86,17.66,21.45,21.45,0
1930-06-30,21.18,25.92,19.39,20.46,20.46,0
1930-12-31,20.24,21.86,14.44,15.34,15.34,0
1931-06-30,15.85,18.17,12.2,14.83,14.83,0
1931-12-31,15.07,15.26,7.72,8.12,8.12,0
1932-06-30,7.56,8.98,4.4,4.43,4.43,0
1932-12-31,4.6,9.31,4.41,6.92,6.92,0
1933-06-30,6.83,10.98,5.53,10.91,10.91,0
1933-12-31,11.62,12.2,8.61,9.97,9.97,0
1934-06-30,10.11,11.82,9.38,9.81,9.81,0
1934-12-31,9.69,9.99,8.36,9.5,9.5,0
1935-06-30,9.51,10.47,8.06,10.24,10.24,0
1935-12-31,10.28,13.46,10.28,13.43,13.43,0
1936-06-30,13.4,15.51,13.4,14.84,14.84,0
1936-12-31,14.9,17.69,14.81,17.18,17.18,0
1937-06-30,16.93,18.67,15.12,15.4,15.4,0
1937-12-31,15.47,17.27,10.17,10.55,10.55,0
1938-06-30,10.52,11.95,8.5,11.56,11.56,0
1938-12-31,11.91,13.91,10.99,13.14,13.14,0
1939-06-30,13.08,13.23,10.42,10.86,10.86,0
1939-12-31,11.0,13.21,10.86,12.46,12.46,0
1940-06-30,12.63,12.77,8.99,9.98,9.98,0
1940-12-31,9.87,11.39,9.84,10.58,10.58,0
1941-06-30,10.48,10.86,9.3,9.85,9.85,0
1941-12-31,9.82,10.47,8.37,8.69,8.69,0
1942-06-30,8.89,9.09,7.47,8.3,8.3,0
1942-12-31,8.23,9.77,8.23,9.77,9.77,0
1943-06-30,9.92,12.35,9.89,12.35,12.35,0
1943-12-31,12.36,12.64,10.99,11.67,11.67,0
1944-06-30,11.66,13.02,11.56,12.98,12.98,0
1944-12-31,13.11,13.28,12.35,13.28,13.28,0
1945-06-30,13.33,15.37,13.21,14.87,14.87,0
1945-12-31,15.03,17.68,14.38,17.36,17.36,0
1946-06-30,17.25,19.25,16.81,18.43,18.43,0
1946-12-31,18.54,18.54,14.12,15.3,15.3,0
1947-06-30,15.2,16.14,13.77,15.21,15.21,0
1947-12-31,15.46,16.12,14.63,15.3,15.3,0
1948-06-30,15.34,17.06,13.84,16.74,16.74,0
1948-12-31,16.7,16.92,14.75,15.2,15.2,0
1949-06-30,14.95,15.61,13.55,14.16,14.16,0
1949-12-31,14.26,16.79,14.26,16.79,16.79,0
1950-06-30,16.66,19.4,16.66,17.69,17.69,236940000
1950-12-31,17.64,20.43,16.68,20.43,20.43,263360000
