Date,Open,High,Low,Close,Adjusted_close,Volume
2020-01-02,312,313.46,309.55,312,312,0
2020-01-03,321,327.17,318.93,323.07,323.07,0
2020-01-06,330.93,333.15,322.98,324.53,324.53,0
2020-01-07,320.01,323.68,318.78,321.52,321.52,0
2020-01-08,324.77,326.98,305.88,308.19,308.19,0
2020-01-09,310.47,310.8,304.07,307.81,307.81,0
2020-01-10,307.04,309.06,305.36,305.96,305.96,0
2020-01-13,306.04,307.22,301.19,302.36,302.36,0
2020-01-14,303.22,305.91,301.1,303.45,303.45,0
2020-01-15,302.72,304.02,299.45,301.04,301.04,0
2020-01-16,302.97,305.13,300.56,303.78,303.78,0
2020-01-17,303.73,305.8,303.11,304.5,304.5,0
2020-01-21,304.41,305.27,300.8,303.59,303.59,0
2020-01-22,302.77,302.82,295.94,297.05,297.05,0
2020-01-23,293.54,294.21,288.15,291.47,291.47,0
2020-01-24,291.28,293.35,282.96,284.64,284.64,0
2020-01-27,278.25,280.41,274.59,278.92,278.92,0
2020-01-28,277.38,282.86,276.42,280.17,280.17,0
2020-01-29,283.15,284.93,278.25,280.6,280.6,0
2020-01-30,277.62,278.1,271.37,274.11,274.11,0
2020-01-31,278.63,279.45,268.48,271.32,271.32,0
2020-02-03,269.06,272.19,261.56,262.62,262.62,0
2020-02-04,264.06,268.24,259.92,260.31,260.31,0
2020-02-05,263.87,271.85,261.08,266.56,266.56,0
2020-02-06,271.13,272.76,262.33,265.74,265.74,0
2020-02-07,267.23,267.81,262.43,263.53,263.53,0
2020-02-10,264.11,264.25,256.9,257.62,257.62,0
2020-02-11,260.98,263.77,259.73,260.69,260.69,0
2020-02-12,265.12,270.99,264.45,268.87,268.87,0
2020-02-13,269.45,273.1,265.21,271.13,271.13,0
2020-02-14,270.89,276.08,270.6,275.07,275.07,0
2020-02-18,273.53,276.85,270.12,276.56,276.56,0
2020-02-19,277.14,283.87,277.04,282.38,282.38,0
2020-02-20,282.33,286.18,281.32,282.77,282.77,0
2020-02-21,281.23,281.42,275.31,278.63,278.63,0
2020-02-24,270.99,272.52,262.57,268.2,268.2,0
2020-02-25,269.4,271.08,259.92,260.93,260.93,0
2020-02-26,262.47,263.29,251.94,253.96,253.96,0
2020-02-27,250.98,252.23,242.37,248.77,248.77,0
2020-02-28,244.49,244.92,235.4,238.86,238.86,0
2020-03-02,247.18,251.7,240.16,249.59,249.59,0
2020-03-03,255.36,258.72,246.46,249.39,249.39,0
2020-03-04,252.71,254.97,245.55,245.88,245.88,0
2020-03-05,249.63,250.16,239.78,240.4,240.4,0
2020-03-06,237.85,238.96,217.37,217.7,217.7,0
2020-03-09,163.76,180.57,151.45,166.21,166.21,0
2020-03-10,176.01,184.39,169.73,180.17,180.17,0
2020-03-11,188.03,188.03,173.95,175.8,175.8,0
2020-03-12,166.98,171.52,163.25,167.59,167.59,0
2020-03-13,163.7,176.87,163.61,168.05,168.05,0
2020-03-16,164.66,165.17,149.95,151.55,151.55,0
2020-03-17,154.93,157.17,144.97,145.93,145.93,0
2020-03-18,147.11,148.3,128.1,129.38,129.38,0
2020-03-19,137.33,147.94,129.93,145.38,145.38,0
2020-03-20,145.61,157.4,139.39,139.98,139.98,0
2020-03-23,138.2,143.6,135.78,142.64,142.64,0
2020-03-24,150.63,150.77,143.5,145.97,145.97,0
2020-03-25,150.13,151.04,141.95,148.81,148.81,0
2020-03-26,147.53,149.03,141.68,143,143,0
2020-03-27,144.23,145.01,138.25,141.26,141.26,0
2020-03-30,137.06,138.43,131.21,136.1,136.1,0
2020-03-31,138.93,141.63,134.55,135.55,135.55,0
2020-04-01,134.55,134.55,127.87,128.15,128.15,0
2020-04-02,131.62,171.84,131.3,146.7,146.7,0
2020-04-03,144.6,165.58,140.44,162.15,162.15,0
2020-04-06,157.95,162.79,154.84,159.45,159.45,0
2020-04-07,163.52,164.3,156.71,157.63,157.63,0
2020-04-08,160.96,163.52,156.3,160.5,160.5,0
2020-04-09,163.84,173.62,155.89,156.21,156.21,0
2020-04-13,162.88,163.48,153.1,159.55,159.55,0
2020-04-14,162.15,162.7,152.42,153.42,153.42,0
2020-04-15,155.39,155.52,142,143.69,143.69,0
2020-04-16,148.26,148.81,140.85,144.19,144.19,0
2020-04-17,147.57,148.12,142.91,144.33,144.33,0
2020-04-20,143.69,144.55,132.99,133.49,133.49,0
2020-04-21,134.18,135.09,101,105.66,105.66,0
2020-04-22,108.04,118.64,91.36,109.96,109.96,0
2020-04-23,114.03,123.21,111.33,113.29,113.29,0
2020-04-24,115.44,119.42,109.46,113.39,113.39,0
2020-04-27,111.15,112.65,102.87,105.43,105.43,0
2020-04-28,103.56,108.68,100.18,103.93,103.93,0
2020-04-29,107.54,114.99,103.93,110.74,110.74,0
2020-04-30,114.94,123.3,112.93,121.02,121.02,0
2020-05-01,122.39,124.08,117.73,120.84,120.84,0
2020-05-04,117.96,125.22,116.77,124.31,124.31,0
2020-05-05,129.06,142.09,128.56,141.54,141.54,0
