Date,Open,High,Low,Close,Adjusted_close,Volume
2020-01-02,174.63,175.88,174.38,175.2,175.2,0
2020-01-03,176.67,178.15,176.6,177.99,177.99,0
2020-01-06,181.15,181.37,179.2,179.87,179.87,0
2020-01-07,178.94,180.56,178.84,180.5,180.5,0
2020-01-08,181.96,183.07,178.2,178.88,178.88,0
2020-01-09,179.03,179.03,176.71,178.21,178.21,0
2020-01-10,177.69,179.08,177.34,178.87,178.87,0
2020-01-13,178.53,178.6,177.44,177.79,177.79,0
2020-01-14,176.64,177.41,176.21,177.1,177.1,0
2020-01-15,178,178.55,177.39,178.15,178.15,0
2020-01-16,178.39,178.54,177.46,177.74,177.74,0
2020-01-17,178.12,178.97,178.07,178.88,178.88,0
2020-01-21,179.66,179.72,177.28,178.6,178.6,0
2020-01-22,177.82,178.72,177.74,178.47,178.47,0
2020-01-23,178.33,179.68,177.87,179.46,179.46,0
2020-01-24,178.98,180.56,178.39,180.21,180.21,0
2020-01-27,181.29,181.8,180.64,180.84,180.84,0
2020-01-28,181.16,181.27,179.55,179.94,179.94,0
2020-01-29,179.27,180.32,179.07,179.96,179.96,0
2020-01-30,180.95,181.63,180.11,181.47,181.47,0
2020-01-31,180.04,181.98,179.96,181.32,181.32,0
2020-02-03,181.27,181.33,179.83,180.69,180.69,0
2020-02-04,180.5,180.58,177.33,177.62,177.62,0
2020-02-05,178,178.82,177.13,178.46,178.46,0
2020-02-06,177.95,179.47,177.69,179.28,179.28,0
2020-02-07,179.42,180.13,178.74,179.67,179.67,0
2020-02-10,179.64,180.48,179.57,180.36,180.36,0
2020-02-11,179.42,180.11,178.75,179.29,179.29,0
2020-02-12,179.37,179.69,178.72,179.46,179.46,0
2020-02-13,179.77,180.57,179.73,180.28,180.28,0
2020-02-14,180.12,181.24,180,181.15,181.15,0
2020-02-18,181.53,183.62,181.32,183.11,183.11,0
2020-02-19,183.33,184.31,183.18,184.05,184.05,0
2020-02-20,184.07,185.7,183.48,185.04,185.04,0
2020-02-21,185.71,188.62,185.71,188.28,188.28,0
2020-02-24,190.13,193.13,189.74,191.45,191.45,0
2020-02-25,189.52,189.61,186.77,188.41,188.41,0
2020-02-26,187.49,189.2,185.86,187.63,187.63,0
2020-02-27,188.5,189.76,187.27,187.56,187.56,0
2020-02-28,187.76,188.07,178.59,178.9,178.9,0
2020-03-02,182.25,184.06,181.8,182.11,182.11,0
2020-03-03,182.65,188.42,182.05,187.77,187.77,0
2020-03-04,187.95,188.41,186.47,187.61,187.61,0
2020-03-05,187.19,190.65,187.02,190.47,190.47,0
2020-03-06,190.82,193.06,188.14,190.97,190.97,0
2020-03-09,193.37,193.41,189.4,191.33,191.33,0
2020-03-10,190.62,190.77,188.39,189.58,189.58,0
2020-03-11,189.36,190.82,187.49,187.53,187.53,0
2020-03-12,186.7,187.85,178.2,181.58,181.58,0
2020-03-13,177.51,182.37,171.8,173.18,173.18,0
2020-03-16,175.13,177,165.68,169.66,169.66,0
2020-03-17,170.39,177.37,167.41,174.16,174.16,0
2020-03-18,175.24,175.35,168.49,168.75,168.75,0
2020-03-19,169.68,170.97,167.35,168.94,168.94,0
2020-03-20,169.56,173.47,169.25,169.6,169.6,0
