Date,Open,High,Low,Close,Adjusted_close,Volume
2023-01-17,4.2195,4.2704,4.1735,4.2114,4.2114,0
2023-01-18,4.2114,4.2535,4.0807,4.0975,4.0975,0
2023-01-19,4.0975,4.1521,4.0341,4.1394,4.1394,0
2023-01-20,4.1394,4.232,4.1216,4.1939,4.1939,0
2023-01-23,4.1939,4.2405,4.1556,4.2235,4.2235,0
2023-01-24,4.2235,4.2659,4.1725,4.2106,4.2106,0
2023-01-25,4.2106,4.2276,4.1084,4.1288,4.1288,0
2023-01-26,4.1288,4.2025,4.1207,4.182,4.182,0
2023-01-27,4.182,4.2359,4.1329,4.1989,4.1989,0
2023-01-30,4.1989,4.298,4.1989,4.2526,4.2526,0
2023-01-31,4.2526,4.2527,4.1908,4.2114,4.2114,0
2023-02-01,4.2114,4.2611,4.0919,4.129,4.129,0
2023-02-02,4.129,4.129,4.0383,4.1083,4.1083,0
2023-02-03,4.1083,4.3281,4.0791,4.3031,4.3031,0
2023-02-06,4.3031,4.4828,4.3031,4.4828,4.4828,0
2023-02-07,4.4828,4.5042,4.4079,4.4707,4.4707,0
2023-02-08,4.4707,4.4879,4.4166,4.4292,4.4292,0
2023-02-09,4.4292,4.5303,4.4002,4.4925,4.4925,0
2023-02-10,4.4925,4.5276,4.4685,4.5107,4.5107,0
2023-02-13,4.5107,4.5661,4.4938,4.5365,4.5365,0
