Date,Open,High,Low,Close,Adjusted_close,Volume
1979-12-27,1.5074,1.5081,1.5074,1.5081,1.5081,0
1980-01-02,1.5149,1.5177,1.4945,1.4945,1.4945,0
1980-02-01,1.4919,1.5011,1.4689,1.4689,1.4689,0
1980-03-03,1.4628,1.4628,1.3492,1.3492,1.3492,0
1980-04-01,1.3339,1.4461,1.3339,1.4426,1.4426,0
1980-05-01,1.443,1.4725,1.431,1.4646,1.4646,0
1980-06-02,1.4631,1.4808,1.4631,1.4741,1.4741,0
1980-07-01,1.4745,1.4957,1.4605,1.4605,1.4605,0
1980-08-01,1.4531,1.4693,1.4405,1.4465,1.4465,0
1980-09-01,1.452,1.4613,1.4325,1.4341,1.4341,0
1980-10-01,1.4366,1.442,1.3734,1.3734,1.3734,0
1980-11-03,1.3635,1.3826,1.3383,1.3499,1.3499,0
1980-12-01,1.3425,1.3425,1.2913,1.3275,1.3275,0
1981-01-02,1.3154,1.3435,1.2349,1.2349,1.2349,0
1981-02-02,1.2318,1.2424,1.1624,1.2117,1.2117,0
1981-03-02,1.197,1.2549,1.1925,1.2235,1.2235,0
1981-04-01,1.2217,1.2217,1.162,1.162,1.162,0
1981-05-01,1.1621,1.1621,1.0958,1.1019,1.1019,0
1981-06-01,1.1028,1.1028,1.06,1.0719,1.0719,0
1981-07-01,1.0625,1.0654,1.0408,1.041,1.041,0
1981-08-03,1.0223,1.0429,0.9968,1.0424,1.0424,0
1981-09-01,1.0419,1.141,1.0419,1.0967,1.0967,0
1981-10-01,1.0943,1.1425,1.0815,1.1056,1.1056,0
1981-11-02,1.1207,1.1289,1.1079,1.1274,1.1274,0
1981-12-01,1.1172,1.1191,1.0826,1.1046,1.1046,0
1982-01-04,1.1121,1.1121,1.0613,1.0728,1.0728,0
1982-02-01,1.0592,1.0628,1.0324,1.0324,1.0324,0
1982-03-01,1.0317,1.0484,1.0072,1.0082,1.0082,0
1982-04-01,1.011,1.04,1.0022,1.04,1.04,0
1982-05-04,1.0354,1.0617,1.0339,1.0339,1.0339,0
1982-06-01,1.0226,1.0272,0.957,0.9713,0.9713,0
1982-07-01,0.9656,0.9896,0.9469,0.9679,0.9679,0
1982-08-02,0.9753,0.9809,0.9449,0.9521,0.9521,0
1982-09-01,0.9527,0.9606,0.9338,0.938,0.938,0
1982-10-01,0.9393,0.9481,0.9207,0.9207,0.9207,0
1982-11-01,0.9231,0.9438,0.9092,0.9438,0.9438,0
1982-12-01,0.9525,0.9797,0.9408,0.9756,0.9756,0
1983-01-04,0.9837,0.9949,0.9412,0.9471,0.9471,0
1983-02-01,0.9454,0.9689,0.9357,0.9527,0.9527,0
1983-03-01,0.9487,0.971,0.9319,0.9344,0.9344,0
1983-04-05,0.9369,0.9403,0.9205,0.9228,0.9228,0
1983-05-03,0.9231,0.9295,0.8998,0.8998,0.8998,0
1983-06-01,0.8911,0.8981,0.8828,0.8908,0.8908,0
1983-07-01,0.8908,0.8908,0.8564,0.8564,0.8564,0
1983-08-01,0.8467,0.8605,0.8273,0.8379,0.8379,0
1983-09-01,0.8387,0.8528,0.8387,0.8528,0.8528,0
1983-10-03,0.8556,0.87,0.8525,0.8525,0.8525,0
1983-11-01,0.8466,0.8466,0.8252,0.8325,0.8325,0
1983-12-01,0.8307,0.8307,0.8079,0.8226,0.8226,0
1984-01-03,0.8137,0.8137,0.7893,0.7957,0.7957,0
1984-02-01,0.7993,0.8574,0.7993,0.8574,0.8574,0
1984-03-01,0.8531,0.8712,0.8412,0.8584,0.8584,0
1984-04-02,0.86,0.86,0.8218,0.8218,0.8218,0
