Date,Open,High,Low,Close,Adjusted_close,Volume
1927-12-30,17.66,17.66,17.66,17.66,17.66,0
1928-01-03,17.76,17.76,17.26,17.57,17.57,0
1928-02-01,17.53,17.63,16.95,17.26,17.26,0
1928-03-01,17.3,19.28,17.3,19.28,19.28,0
1928-04-02,18.91,19.75,18.91,19.75,19.75,0
1928-05-01,19.78,20.44,19.36,20,20,0
1928-06-01,20.07,20.07,18.34,19.14,19.14,0
1928-07-02,18.98,19.48,18.7,19.43,19.43,0
1928-08-01,19.42,20.87,19.13,20.87,20.87,0
1928-09-04,20.97,21.43,20.92,21.14,21.14,0
1928-10-01,21.36,22,21.11,21.68,21.68,0
1928-11-01,21.99,24.28,21.95,24.28,24.28,0
1928-12-03,23.85,24.35,22.31,24.35,24.35,0
1929-01-02,24.81,25.74,24.17,25.74,25.74,0
1929-02-01,25.84,25.84,24.35,25.59,25.59,0
1929-03-01,25.83,26.08,24.35,25.53,25.53,0
1929-04-01,24.88,25.94,24.63,25.94,25.94,0
1929-05-01,25.99,26.37,24.2,24.83,24.83,0
1929-06-03,25.27,27.41,25.27,27.41,27.41,0
1929-07-01,27.77,28.88,27.77,28.88,28.88,0
1929-08-01,29.08,31.71,28.38,31.71,31.71,0
1929-09-03,31.82,31.86,30.16,30.16,30.16,0
1929-10-01,29.98,30.81,20.43,24.15,24.15,0
1929-11-04,22.88,22.88,17.66,20.92,20.92,0
1929-12-02,20.95,22.57,20.16,21.45,21.45,0
1930-01-02,21.18,22.79,21.18,22.79,22.79,0
1930-02-03,22.74,23.36,22.64,23.28,23.28,0
1930-03-03,23.36,24.85,23.36,24.15,24.15,0
1930-04-01,25.37,25.92,24.73,24.9,24.9,0
1930-05-01,24.3,24.57,22.98,24.49,24.49,0
1930-06-02,24.4,24.4,19.39,20.46,20.46,0
1930-07-01,20.24,21.82,19.83,21.21,21.21,0
1930-08-01,21.11,21.52,19.88,21.37,21.37,0
1930-09-02,21.38,21.86,18.59,18.59,18.59,0
1930-10-01,19.42,19.42,16.9,16.94,16.94,0
1930-11-03,17.13,17.2,15.54,16.38,16.38,0
1930-12-01,16.8,16.96,14.44,15.34,15.34,0
1931-01-02,15.85,16.42,15.09,16.19,16.19,0
1931-02-02,16.16,18.17,16.16,18.03,18.03,0
1931-03-02,17.52,18.06,16.66,16.69,16.69,0
1931-04-01,16.52,16.72,14.37,15.09,15.09,0
1931-05-01,14.65,15.44,13.02,13.02,13.02,0
1931-06-01,12.4,15.35,12.2,14.83,14.83,0
1931-07-01,15.07,15.26,13.73,13.73,13.73,0
1931-08-03,13.93,14.29,13.55,13.86,13.86,0
1931-09-01,13.92,13.92,9.71,9.71,9.71,0
1931-10-01,9.53,10.96,8.82,10.43,10.43,0
1931-11-02,10.5,11.52,9.31,9.5,9.5,0
1931-12-01,9.38,9.38,7.72,8.12,8.12,0
1932-01-04,7.56,8.92,7.55,7.94,7.94,0
1932-02-01,8.23,8.84,7.5,8.29,8.29,0
1932-03-01,8.35,8.98,7.31,7.31,7.31,0
1932-04-01,7.18,7.18,5.83,5.83,5.83,0
1932-05-02,5.74,6.09,4.47,4.47,4.47,0
1932-06-01,4.4,5.12,4.4,4.43,4.43,0
1932-07-01,4.6,6.03,4.41,6.03,6.03,0
1932-08-01,6.11,8.58,5.87,8.39,8.39,0
1932-09-01,8.47,9.31,7.34,8.08,8.08,0
1932-10-03,8.06,8.06,6.42,6.96,6.96,0
1932-11-01,6.76,7.68,6.48,6.55,6.55,0
1932-12-01,6.73,7.12,6.47,6.92,6.92,0
1933-01-03,6.83,7.34,6.83,6.94,6.94,0
1933-02-01,6.67,6.76,5.53,5.66,5.66,0
1933-03-01,5.77,6.93,5.65,5.85,5.85,0
1933-04-03,5.87,7.91,5.87,7.83,7.83,0
1933-05-01,8.43,9.78,8.34,9.64,9.64,0
1933-06-01,9.74,10.98,9.74,10.91,10.91,0
1933-07-03,11.62,12.2,9.65,9.95,9.95,0
1933-08-01,10.25,11.28,10.05,11.09,11.09,0
1933-09-01,11.23,11.23,9.65,9.72,9.72,0
1933-10-02,9.62,10.32,8.61,8.96,8.96,0
1933-11-01,9.12,10.23,9.12,9.88,9.88,0
1933-12-01,9.91,10.31,9.55,9.97,9.97,0
1934-01-02,10.11,11.33,9.76,11.17,11.17,0
1934-02-01,11.46,11.82,10.69,10.76,10.76,0
1934-03-01,10.72,11.07,10.42,10.62,10.62,0
1934-04-02,10.76,11.16,10.46,10.46,10.46,0
1934-05-01,10.46,10.46,9.45,9.61,9.61,0
1934-06-01,9.38,10.37,9.38,9.81,9.81,0
1934-07-02,9.69,9.99,8.36,8.68,8.68,0
1934-08-01,8.95,9.52,8.69,9.15,9.15,0
1934-09-04,9.06,9.21,8.45,9.08,9.08,0
1934-10-01,8.83,9.19,8.76,8.81,8.81,0
1934-11-01,8.77,9.54,8.77,9.54,9.54,0
1934-12-03,9.41,9.56,9.02,9.5,9.5,0
1935-01-02,9.51,9.58,8.96,9.1,9.1,0
1935-02-01,9.05,9.34,8.74,8.74,8.74,0
1935-03-01,8.79,8.79,8.06,8.45,8.45,0
1935-04-01,8.54,9.44,8.22,9.28,9.28,0
1935-05-01,9.23,10.07,9.15,9.58,9.58,0
1935-06-03,9.67,10.47,9.67,10.24,10.24,0
1935-07-01,10.28,11.08,10.28,11.08,11.08,0
1935-08-01,11.04,11.67,10.62,11.24,11.24,0
1935-09-03,11.21,11.92,11.21,11.59,11.59,0
1935-10-01,11.48,12.46,11.1,12.46,12.46,0
1935-11-01,12.61,13.46,12.61,12.94,12.94,0
1935-12-02,12.75,13.43,12.75,13.43,13.43,0
1936-01-02,13.4,14.31,13.4,14.31,14.31,0
1936-02-03,14.44,14.87,14.32,14.6,14.6,0
1936-03-02,14.77,15.1,14.24,14.92,14.92,0
1936-04-01,15.19,15.51,13.53,13.77,13.77,0
1936-05-01,13.87,14.45,13.82,14.4,14.4,0
1936-06-01,14.39,15.16,14.12,14.84,14.84,0
1936-07-01,14.9,16.15,14.81,15.85,15.85,0
1936-08-03,15.91,16.2,15.32,15.99,15.99,0
1936-09-01,15.95,16.29,15,16.01,16.01,0
1936-10-01,16.04,17.23,16.04,17.23,17.23,0
1936-11-02,17.17,17.69,16.89,17.28,17.28,0
1936-12-01,17.14,17.32,16.65,17.18,17.18,0
1937-01-04,16.93,17.96,16.93,17.77,17.77,0
1937-02-01,17.88,18.37,17.86,18.06,18.06,0
1937-03-01,18.09,18.67,17.22,17.92,17.92,0
1937-04-01,17.71,17.71,15.99,16.43,16.43,0
1937-05-03,16.47,16.73,15.62,16.26,16.26,0
1937-06-01,15.96,16.28,15.12,15.4,15.4,0
1937-07-01,15.47,17.06,15.47,16.77,16.77,0
1937-08-02,17.07,17.27,15.88,16.04,16.04,0
1937-09-01,15.61,15.61,13.2,13.76,13.76,0
1937-10-01,13.72,13.72,10.76,12.35,12.35,0
1937-11-01,12.08,12.08,10.17,11.11,11.11,0
1937-12-01,10.97,11.42,10.31,10.55,10.55,0
1938-01-03,10.52,11.95,10.52,10.69,10.69,0
1938-02-01,10.89,11.68,10.34,11.34,11.34,0
1938-03-01,11.46,11.46,8.5,8.5,8.5,0
1938-04-01,8.91,10.45,8.91,9.78,9.78,0
1938-05-02,9.59,10.63,9.27,9.27,9.27,0
1938-06-01,9.57,11.72,9.42,11.56,11.56,0
1938-07-01,11.91,12.8,11.73,12.33,12.33,0
1938-08-01,12.25,12.73,11.85,12.06,12.06,0
1938-09-01,11.92,12.41,10.99,12.24,12.24,0
1938-10-03,12.52,13.91,12.48,13.17,13.17,0
1938-11-01,13.1,13.79,12.37,12.73,12.73,0
1938-12-01,12.61,13.14,12.32,13.14,13.14,0
1939-01-03,13.08,13.23,11.53,12.3,12.3,0
1939-02-01,12.12,12.7,12.12,12.7,12.7,0
1939-03-01,12.7,13.1,10.98,10.98,10.98,0
1939-04-03,11.26,11.26,10.42,10.93,10.93,0
1939-05-01,10.86,11.65,10.86,11.6,11.6,0
1939-06-01,11.42,11.8,10.79,10.86,10.86,0
1939-07-03,11,12.18,11,12.04,12.04,0
1939-08-01,12.04,12.16,10.86,11.18,11.18,0
1939-09-01,11.3,13.17,11.3,12.79,12.79,0
