Date,Open,High,Low,Close,Adjusted_close,Volume
1971-02-05,100,102.19,99.68,101.34,101.34,0
1971-03-01,101.78,105.97,101.78,105.97,105.97,0
1971-04-01,106.34,112.46,106.34,112.3,112.3,0
1971-05-03,111.35,111.77,107.5,108.25,108.25,0
1971-06-01,108.87,110.76,105.49,107.8,107.8,0
1971-07-01,108.47,111.24,105.27,105.27,105.27,0
1971-08-02,105.59,109.3,103.04,108.42,108.42,0
1971-09-01,108.65,110.58,108.18,109.03,109.03,0
1971-10-01,109.58,110.98,104.28,105.1,105.1,0
1971-11-01,103.69,105.72,100.31,103.97,103.97,0
1971-12-01,105,114.12,105,114.12,114.12,0
1972-01-03,113.65,118.87,113.65,118.87,118.87,0
1972-02-01,119.58,125.38,119.58,125.38,125.38,0
1972-03-01,126.29,128.85,125.73,128.14,128.14,0
1972-04-03,128.06,134.1,128.06,131.33,131.33,0
1972-05-01,130.16,133.95,125.78,132.53,132.53,0
1972-06-01,133.13,133.52,129.31,130.08,130.08,0
1972-07-03,130.59,131.86,127.09,127.75,127.75,0
1972-08-01,128.45,131.7,128.45,129.95,129.95,0
1972-09-01,130.7,130.7,126.82,129.61,129.61,0
1972-10-02,129.3,130.24,125.87,130.24,130.24,0
1972-11-01,131.59,133.58,131.59,132.96,132.96,0
1972-12-01,133.94,135.15,131.08,133.73,133.73,0
1973-01-02,134.63,136.84,128.22,128.4,128.4,0
1973-02-01,126.94,127.19,119.8,120.41,120.41,0
1973-03-01,119.53,122.28,115.47,117.46,117.46,0
1973-04-02,115.79,115.79,107.85,107.85,107.85,0
1973-05-01,107.96,110.89,100.76,102.64,102.64,0
1973-06-01,102.3,104.79,99.43,100.98,100.98,0
1973-07-02,100.15,109.36,99.39,108.64,108.64,0
1973-08-01,107.13,107.3,101.34,104.87,104.87,0
1973-09-04,105.5,111.27,105.33,111.2,111.2,0
1973-10-01,110.97,114.1,110.17,110.17,110.17,0
1973-11-01,109.62,109.62,93.07,93.51,93.51,0
1973-12-03,91.97,93.54,88.67,92.19,92.19,0
1974-01-02,92.53,95.95,91.42,94.93,94.93,0
1974-02-01,94.15,94.35,90.08,94.35,94.35,0
1974-03-01,94.05,96.53,92.27,92.27,92.27,0
1974-04-01,91.9,92.13,86.04,86.86,86.86,0
1974-05-01,87.63,87.97,79.78,80.2,80.2,0
1974-06-03,81.08,83.92,75.96,75.96,75.96,0
1974-07-01,75.39,75.39,69.82,69.99,69.99,0
1974-08-01,69.63,71.68,61.37,62.37,62.37,0
1974-09-03,60.88,60.88,55.67,55.67,55.67,0
1974-10-01,55.48,65.23,54.87,65.23,65.23,0
1974-11-01,65.06,66.72,60.75,62.95,62.95,0
1974-12-02,61.66,61.66,57.86,59.82,59.82,0
1975-01-02,60.7,69.78,60.7,69.78,69.78,0
1975-02-03,70.73,73.79,70.13,73,73,0
1975-03-03,73.83,76.27,73.83,75.66,75.66,0
1975-04-01,75.42,79.08,74.34,78.54,78.54,0
1975-05-01,79.27,83.1,79.27,83.1,83.1,0
1975-06-02,83.88,87.02,82.99,87.02,87.02,0
1975-07-01,86.33,88,82.67,83.19,83.19,0
1975-08-01,81.62,81.62,75.52,79.01,79.01,0
1975-09-02,77.89,78.13,73.78,74.33,74.33,0
1975-10-01,73.8,78.91,73.8,76.99,76.99,0
1975-11-03,76.62,79.27,76.62,78.8,78.8,0
1975-12-01,78.66,78.66,74.52,77.62,77.62,0
1976-01-02,78.06,87.05,78.06,87.05,87.05,0
1976-02-02,87.28,92.09,87.25,90.26,90.26,0
1976-03-01,90.25,91.21,89.47,90.62,90.62,0
1976-04-01,90.44,91.55,88.6,90.08,90.08,0
1976-05-03,89.05,90.64,87.78,88.04,88.04,0
1976-06-01,87.81,90.32,86.95,90.32,90.32,0
1976-07-01,90.28,92.52,90.28,91.29,91.29,0
1976-08-02,91.27,92.01,89.13,89.7,89.7,0
1976-09-01,90.59,92.44,90.53,91.26,91.26,0
1976-10-01,90.44,90.46,88.73,90.35,90.35,0
1976-11-01,90.39,91.42,87.82,91.12,91.12,0
1976-12-01,91.83,97.88,91.83,97.88,97.88,0
1977-01-03,97.69,97.69,95.54,95.54,95.54,0
1977-02-01,96.3,96.74,94.57,94.57,94.57,0
1977-03-01,95.14,96.58,94.13,94.13,94.13,0
