Date,Open,High,Low,Close,Adjusted_close,Volume
1986-03-13,27.9936,29.7504,25.504,27.504,0.0596,1855756686
1986-04-01,27.2448,35.1232,26.7552,32.256,0.0699,545817600
1986-05-01,31.7536,35.4976,31.0048,34.7488,0.0753,281606384
1986-06-02,34,35.008,29.5072,30.7456,0.0667,293788782
1986-07-01,30.7456,31.5072,26.0064,28.4992,0.0618,460799988
1986-08-01,28.2528,30.7456,27.2448,28.4992,0.0618,265391985
1986-09-02,27.7504,31.5072,26.2528,28.2528,0.0612,284659187
1986-10-01,27.9936,40.2496,27.504,38.752,0.084,1565711938
1986-11-03,39.5008,51.2512,38.9952,49.7536,0.1079,1053964768
1986-12-01,48.7456,49.9968,45.2448,48.256,0.1046,721526356
1987-01-02,47.7504,77.5008,47.5072,73.1232,0.1585,1961567938
1987-02-02,72.9952,79.504,66.4992,76.752,0.1664,1762271921
1987-03-02,74.5056,99.0016,73.4976,96.7552,0.2098,1782316778
1987-04-01,90.9952,108.9952,90.5056,103.9968,0.2255,2117577474
1987-05-01,105.0048,128.2464,102.7456,115.2448,0.2499,2192630294
1987-06-01,112.9984,115.2448,96.2496,101.9968,0.2211,1729353496
1987-07-01,102.4992,105.7536,88.5024,94.0032,0.2038,1813823890
1987-08-03,91.7568,121.248,91.2544,118.7584,0.2575,2034921478
1987-09-01,113.5008,119.9968,53.0016,66.2496,0.2873,1554926363
1987-10-01,68.5024,79.2544,37.2544,49.7536,0.2157,3557289412
1987-11-02,50.2528,52,40.5024,44.752,0.194,1551787119
1987-12-01,43.7472,56.0032,40.0032,54.256,0.2352,1744919908
1988-01-04,56.0032,61.7472,52.5024,55.7536,0.2417,1970510309
1988-02-01,55.2544,60.7552,49.7536,59.3824,0.2575,1403683199
1988-03-01,58.9984,65.5008,54.256,56.5024,0.245,2115662386
1988-04-04,55.2544,58.752,52.7488,54.4992,0.2363,1155095971
1988-05-02,55.0048,59.2512,53.5072,58.0032,0.2515,1030852750
1988-06-01,59.2512,67.504,57.7536,67.0048,0.2905,1198598401
1988-07-01,67.9968,70.5024,56.752,59.5008,0.258,1401854316
1988-08-01,58.5024,60,47.7504,49.9968,0.2168,1864180715
1988-09-01,48.8736,55.2544,48.0064,52.2528,0.2266,1217087941
1988-10-03,51.376,54,47.7504,49.0048,0.2125,1532102319
1988-11-01,48.7552,50.5024,45.2544,47.2576,0.2049,1558929534
1988-12-01,49.0048,54.256,47.0016,53.2512,0.2309,1030463982
1989-01-03,53.6256,60.2496,50.2528,59.6256,0.2585,1380556744
1989-02-01,59.2512,64.752,58.5024,59.5008,0.258,1802145532
1989-03-01,59.2512,62.2528,45.7504,49.8784,0.2163,3052943813
1989-04-03,50.2528,56.5024,47.5008,55.872,0.2423,1137571172
1989-05-01,54.6304,60.9984,51.0016,60.5056,0.2623,1259121538
1989-06-01,60,60.7552,51.2512,53.0016,0.2298,1072583993
1989-07-03,54.256,57.0048,51.504,54.7488,0.2374,1220687965
1989-08-01,54.256,60.5056,54,58.752,0.2548,1380729529
1989-09-01,59.8752,69.504,57.7536,68.5024,0.297,1284494322
1989-10-02,69.6256,85.9968,67.9968,81.7504,0.3545,2608991899
1989-11-01,82.1248,89.2512,76.0032,87.0016,0.3772,1836086317
1989-12-01,85.0048,88.2528,75.0048,87.0016,0.3772,1460951956
1990-01-02,88.7488,96,84.0064,92.5024,0.4011,2380967912
1990-02-01,93.7536,100.4992,92.256,98.752,0.4282,1429343943
1990-03-01,100.0032,117.0016,98.5056,110.752,0.4802,1708660725
1990-04-02,111.5008,121.9968,55.6288,58,0.503,1200859169
1990-05-01,57.1264,78.7488,56.752,72.9984,0.6331,1634767114
1990-06-01,75.1264,77.7504,71.0016,76,0.6591,1165960744
1990-07-02,73.7536,80.752,65.7504,66.4992,0.5767,1548835134
1990-08-01,66.7488,67.248,50.752,61.504,0.5334,1986350278
1990-09-04,62.2528,63.5008,54.4992,63.0016,0.5464,1271527165
1990-10-01,67.1232,68.5024,53.5008,63.7504,0.5529,2198116695
1990-11-01,63.5008,74.2528,62.752,72.2496,0.6266,1253152744
1990-12-03,73.8784,76.752,70.5024,75.2512,0.6526,960508764
1991-01-02,74.752,99.5008,72.9984,98.128,0.851,2219752664
1991-02-01,99.7504,108.9984,97.248,103.7536,0.8998,1785275895
1991-03-01,105.7504,113.0016,93.0016,106.1248,0.9204,1932674281
1991-04-01,106.752,117.5008,96,99.0016,0.8586,1985745478
1991-05-01,100.752,112.5024,96.624,109.7536,0.9518,1462701574
1991-06-03,112,114.7488,65.5008,68.1248,0.8862,1297303201
1991-07-01,71.376,74,60.4992,73.5008,0.9561,1587513558
1991-08-01,73.2512,86.7488,71.7504,85.2512,1.109,1281158361
1991-09-03,83.1264,90,80,88.9984,1.1578,834172772
1991-10-01,88.8736,95.2512,86.2496,93.8752,1.2212,1061927972
1991-11-01,92.624,101.7504,90.7488,97.2512,1.2651,887236783
1991-12-02,96.2496,112,96,111.2512,1.4472,808627175
1992-01-02,110.7488,133.2512,109.5008,120.2496,1.5643,1469121544
1992-02-03,118.2496,129.0016,113.0016,123.5008,1.6066,1394020763
1992-03-02,123.7504,130.2496,116.7488,118.4992,1.5415,1204271973
1992-04-01,117.2512,129.2512,107.0016,110.2496,1.4342,2139110383
1992-05-01,110.4992,122.2496,109.2512,121.0016,1.574,1069233562
1992-06-01,120.4992,124.4992,65.7504,70,1.3659,1576631980
1992-07-01,70.2496,74.7504,65.5008,72.7504,1.4196,1245529600
1992-08-03,72.7504,75,68,74.5008,1.4537,922598400
1992-09-01,74,82,73.2496,80.5008,1.5708,1002921600
1992-10-01,80,90.2496,75.7504,88.7504,1.7318,1147321600
1992-11-02,89,95,87.2496,93.1248,1.8171,1227388800
1992-12-01,92.7504,94,85.2496,85.3744,1.6659,1133024000
1993-01-04,85,94,84.5008,86.5008,1.6879,1411276800
1993-02-01,86.2496,90.2496,76.7504,83.3744,1.6269,1547667200
1993-03-01,83.7504,94.2496,81.2496,92.5008,1.8049,1197753600
1993-04-01,92.5008,94.7504,79.7504,85.5008,1.6683,1298636800
1993-05-03,85.5008,95.5008,84.5008,92.6256,1.8074,1304230400
1993-06-01,93,98,86.7504,88,1.7171,1216211200
1993-07-01,88.2496,88.5008,72,74,1.444,1953372800
1993-08-02,74.7504,79.2496,70.3744,75.1248,1.4659,1873449600
1993-09-01,75.2496,84.2496,73.2496,82.5008,1.6098,1162204800
1993-10-01,82.5008,85.7504,78,80.1248,1.5635,1370592000
1993-11-01,80.2496,83,76,80,1.561,966515200
1993-12-01,80.5008,86.5008,79.2496,80.6256,1.5732,934787200
1994-01-03,80.5008,87,79.2496,85.1248,1.661,1234064000
1994-02-01,85,85.7504,78,82.5008,1.6098,1368720000
1994-03-01,83,89.2496,79.7504,84.7504,1.6537,1377542400
1994-04-04,82.5008,95.2496,82.2496,92.5008,1.8049,1871452800
1994-05-02,92.7504,99.2496,48.5,53.7504,2.0976,1629796800
1994-06-01,53.5,54.6248,49.2504,51.6248,2.0147,2439212800
1994-07-01,51.6248,51.7504,46.8752,51.5,2.0098,1527924800
1994-08-01,51.6248,59.2504,51.5,58.1248,2.2684,1291444800
1994-09-01,57,58.2504,54.8752,56.1248,2.1903,964220800
1994-10-03,56.1248,63.7504,53.8752,63,2.4586,1207137600
1994-11-01,62.7504,65.1248,60.7504,62.8752,2.4537,1024281600
1994-12-01,62.6248,64.2504,58.7504,61.1248,2.3854,1059436800
1995-01-03,61.5,65.2504,58.2504,59.3752,2.3172,1111588800
1995-02-01,59.3752,63.2504,58.3752,63,2.4586,998876800
1995-03-01,63.1248,74.1248,62.7504,71.1248,2.7757,1415676800
1995-04-03,71,82.1248,68.7504,81.7504,3.1904,1299625600
1995-05-01,81.8752,89.5,78.8752,84.6872,3.305,1333324800
1995-06-01,85,92.3752,81.7504,90.3752,3.5269,1270217600
1995-07-03,90.8752,109.2504,88.5,90.5,3.5318,2330796816
1995-08-01,90.7504,100.7504,87,92.5,3.6099,2130713600
1995-09-01,91.7504,97.8752,85,90.5,3.5318,1622318400
1995-10-02,90.5,103.3752,80.3752,100,3.9026,2228446400
1995-11-01,100.1248,101,84.2504,87.1248,3.4001,1870920000
1995-12-01,87.1248,94.7504,85.1248,87.7504,3.4245,1653614400
1996-01-02,87.8752,93.2504,79.8752,92.5,3.6099,2056761600
1996-02-01,92.2504,103.6248,92,98.6872,3.8513,1636897600
1996-03-01,98.3752,107.0624,94.6248,103.1248,4.0245,1698950400
1996-04-01,103.1408,113.8752,99.6248,113.2504,4.4197,1344980800
1996-05-01,112.8752,120,109.6248,118.7504,4.6343,1207328000
1996-06-03,118.7504,125.8752,116.2504,120.1248,4.688,1280102400
1996-07-01,120.2504,122.8752,107.5,117.8752,4.6002,2173636800
1996-08-01,117.8752,126.1248,117.3752,122.5,4.7806,1143864000
1996-09-03,122,138.6248,120.6248,131.8752,5.1465,1299435200
1996-10-01,131.7504,139.1248,130.8752,137.2504,5.3563,1340640000
1996-11-01,137.2504,158,136.5,156.8752,6.1222,1620968000
1996-12-02,157.5,159.5,76.3752,82.6252,6.449,1459043200
1997-01-02,83.1252,103.25,80.75,102,7.9612,1565761600
1997-02-03,102.6252,103.5,94,97.5,7.61,1297157600
1997-03-03,97,101,87.5,91.6876,7.1563,1477635200
1997-04-01,90.1252,122.6252,89.75,121.5,9.4832,1907602400
1997-05-01,122,129.0624,114.8752,124,9.6784,1297826400
1997-06-02,125,134.9376,118.25,126.3752,9.8637,970070400
1997-07-01,126.4376,150.75,123.25,141.3752,11.0345,1693698400
1997-08-01,141.3752,144.6252,131,132.1876,10.3174,1167606400
1997-09-02,133.1252,140.25,130.6252,132.3124,10.3272,1153624800
1997-10-01,132.5,139.6252,123.5,130,10.1467,1533095192
1997-11-03,131.6252,142.25,129,141.5,11.0443,915970400
1997-12-01,141.9376,146.6252,118,129.25,10.0881,1437223992
1998-01-02,129.6252,150.1252,124.3752,149.1876,11.6443,1486153600
1998-02-02,151.75,160.0624,79.375,84.75,13.2297,1402020800
1998-03-02,85.875,90.9376,78.875,89.5,13.9712,1099834800
1998-04-01,89.8126,99.125,86.625,90.125,14.0688,1019281996
1998-05-01,90.1876,91,81.875,84.8126,13.2395,1095811196
1998-06-01,83.875,108.5626,83.125,108.375,16.9176,1233133192
1998-07-01,109.125,119.625,105.375,109.9376,17.1615,1229259208
1998-08-03,109.125,113.75,95.75,95.9376,14.9761,1350004408
1998-09-01,95.25,114.625,94.5,110.0626,17.1811,1192284008
1998-10-01,108.0626,110.125,87.75,105.875,16.5274,1642898000
1998-11-02,106.375,130.2656,104.75,122,19.0445,1162701604
1998-12-01,120.25,144,120.125,138.6876,21.6495,1101438804
1999-01-04,139.6094,175.125,136,175,27.318,1472488808
1999-02-01,175.4376,175.9376,143.9844,150.125,23.4349,1599089600
1999-03-01,149.5626,180.375,87.875,89.625,27.9814,1569376408
1999-04-01,91.25,95.625,79.875,81.3125,25.3862,1163540202
1999-05-03,81.4375,81.8125,75.5,80.6875,25.1911,1124227618
1999-06-01,80.625,90.25,76.125,90.1875,28.157,887452198
1999-07-01,89.875,100.75,85.5,85.8125,26.7911,1144764796
1999-08-02,85.6875,96.375,81.625,92.5625,28.8985,1347990400
1999-09-01,92.3125,97.875,88.8125,90.5625,28.2741,977272396
1999-10-01,90.1875,95.25,85.0625,92.5625,28.8985,1062267590
1999-11-01,93.25,94.5,84.375,91.0469,28.4253,1465197400
1999-12-01,91.0625,119.9375,90.875,116.75,36.45,1260085412
2000-01-03,117.375,118.625,94.875,97.875,30.5571,1274581602
2000-02-01,98.5,110,88.125,89.375,27.9034,1333838196
2000-03-01,89.625,115,88.9375,106.25,33.1718,2027475612
2000-04-03,94.4375,96.5,65,69.75,21.7763,2259251206
2000-05-01,72.875,74,60.375,62.5625,19.5324,1343953806
2000-06-01,64.375,82.1875,63.8125,80,24.9764,1464431806
2000-07-03,79.6875,82.875,67.25,69.8125,21.7959,1232816206
2000-08-01,69.9375,74.875,68.125,69.8125,21.7959,1218432994
2000-09-01,70,72.0625,58.625,60.3125,18.8299,1424543376
2000-10-02,60.5,70.125,48.4375,68.875,21.5032,2464840248
2000-11-01,68.5,72.375,57,57.375,17.9128,1978052024
2000-12-01,58.0625,60.625,40.25,43.375,13.5419,2240094032
2001-01-02,44.125,64.75,42.875,61.0625,19.0641,1991435220
2001-02-01,60.8125,65.0625,53.875,59,18.4201,1541101010
2001-03-01,58.5625,61.125,49.75,54.6875,17.0737,1895009588
2001-04-02,54.8125,71.1,51.0625,67.75,21.1519,2079176226
2001-05-01,67.66,72.15,67.25,69.18,21.5984,1777557396
2001-06-01,69.6,76.15,66.01,73,22.791,1448226588
2001-07-02,72.05,73.15,64.2,66.19,20.6649,1453667996
2001-08-01,66.8,67.54,56.3,57.05,17.8113,1153907004
2001-09-04,57.19,59.08,47.5,51.17,15.9756,1510867618
2001-10-01,50.94,63.63,50.41,58.15,18.1548,1750114784
2001-11-01,60.08,68.34,59.6,64.21,20.0467,1330903400
2001-12-03,63.83,69.8906,63.8,66.25,20.6836,977009000
2002-01-02,66.65,70.62,61.33,63.71,19.8906,1359111408
2002-02-01,64.15,64.501,57.15,58.34,18.2141,1130596388
2002-03-01,59.05,65,58.31,60.31,18.8291,1064742402
2002-04-01,59.83,60.4,51.44,52.26,16.3159,1415803994
2002-05-01,52.16,56.44,48.353,50.91,15.8944,1419621604
2002-06-03,50.99,56.44,49.17,54.7,17.0776,1833450026
2002-07-01,54.12,54.93,41.41,47.98,14.9796,2434326382
2002-08-01,47.58,53.45,43.8,49.08,15.323,1720153700
2002-09-03,48.52,51.1,43.117,43.74,13.6559,1698969676
2002-10-01,44.25,54.07,43.19,53.47,16.6936,2479299436
2002-11-01,52.43,58.64,51.9,57.68,18.008,1560737266
2002-12-02,58.65,58.96,51.26,51.7,16.141,1270667226
2003-01-02,52.3,57.32,47.03,47.46,14.8173,1724172274
2003-02-03,47.93,49.1,23.3,23.7,14.8414,1351320350
2003-03-03,24.02,26.9,22.55,24.21,15.1607,1370755191
2003-04-01,24.46,26.43,23.95,25.56,16.0061,1251335376
2003-05-01,25.54,26.501,23.89,24.61,15.4112,1312532264
2003-06-02,24.98,26.51,23.5999,25.64,16.0562,1574945296
2003-07-01,25.59,27.81,25.39,26.41,16.5384,1293848577
2003-08-01,26.33,26.95,25.43,26.52,16.6073,967695908
2003-09-02,26.72,30,26.47,27.8,17.4088,1253923137
2003-10-01,28.03,29.46,25.91,26.14,16.4612,1401618855
2003-11-03,26.35,26.75,24.84,25.71,16.1904,1443632329
2003-12-01,25.85,27.55,25.5,27.37,17.2357,1476760081
2004-01-02,27.58,28.83,27.26,27.65,17.4121,1232684045
2004-02-02,27.63,27.8,26.35,26.53,16.7068,1032087083
2004-03-01,26.65,26.72,24.01,24.93,15.6992,1702628801
2004-04-01,24.95,27.72,24.85,26.13,16.4549,1558939169
2004-05-03,26.22,26.6,25.42,26.23,16.5178,1141724350
2004-06-01,26.11,28.8,25.86,28.56,17.9851,1540053569
2004-07-01,28.68,29.89,27.25,28.49,17.941,1550847545
2004-08-02,28.27,28.55,25.95,27.3,17.2373,1094282005
2004-09-01,27.22,27.79,26.74,27.65,17.4583,1142100501
2004-10-01,27.83,28.89,27.42,27.97,17.6603,1301395942
2004-11-01,28.15,30.2,24.86,26.81,18.8668,1742734223
2004-12-01,26.95,27.44,26.679,26.72,18.8035,1827099676
2005-01-03,26.82,27.1,25.64,26.28,18.4938,1524913230
2005-02-01,26.25,26.5,25.1296,25.16,17.7603,1364081646
2005-03-01,25.19,25.79,23.82,24.17,17.0615,1553926097
2005-04-01,24.26,25.45,23.94,25.3,17.8591,1524567493
2005-05-02,25.23,26.09,24.31,25.8,18.2698,1273697014
2005-06-01,25.73,26,24.82,24.84,17.59,1313236538
2005-07-01,24.86,26.48,24.5,25.61,18.1353,1328231869
2005-08-01,25.81,27.94,25.76,27.38,19.4462,1448173374
2005-09-01,27.34,27.39,25.12,25.73,18.2743,1346726991
2005-10-03,25.72,25.8,24.25,25.7,18.253,1440753643
2005-11-01,25.62,28.25,25.61,27.68,19.717,1442178879
2005-12-01,27.75,28.101,26.1,26.15,18.6271,1267687971
2006-01-03,26.25,28.38,26.1,28.15,20.0517,1388239836
2006-02-01,28.02,28.07,26.34,26.87,19.2048,1046674703
2006-03-01,26.96,28.22,26.62,27.21,19.4478,1434190349
2006-04-03,27.67,27.941,24,24.15,17.2608,1441877373
2006-05-01,24.325,25,22.45,22.65,16.2518,2306924746
2006-06-01,22.74,23.65,21.4599,23.3,16.7182,1960736396
2006-07-03,23.535,24.6,22.23,24.06,17.2635,1330167190
2006-08-01,24.02,26.2501,23.85,25.7,18.5081,1130988264
2006-09-01,25.89,27.52,25.39,27.35,19.6964,1097013459
2006-10-02,27.32,28.8501,27.15,28.71,20.6758,1289116353
2006-11-01,28.78,30.0001,28.58,29.36,21.2162,1237668279
2006-12-01,29.23,30.26,28.8,29.86,21.5775,1135034806
2007-01-03,29.915,31.48,29.4,30.86,22.3001,1321003696
2007-02-01,30.84,30.94,27.79,28.17,20.4269,1287948809
2007-03-01,27.82,28.55,26.6,27.87,20.2093,1269646913
2007-04-02,27.89,30.74,27.56,29.94,21.7103,959692843
2007-05-01,29.94,31.16,29.9,30.6901,22.3264,1327060092
2007-06-01,30.79,30.9,29.04,29.47,21.4388,1180085097
2007-07-02,29.67,31.84,28.95,28.99,21.0896,1288434074
2007-08-01,28.95,30.1,27.51,28.73,20.9737,1221350513
2007-09-04,28.5,29.85,28.27,29.46,21.5066,1112842633
2007-10-01,29.46,37,29.29,36.81,26.8723,1763582326
2007-11-01,36.53,37.5,32.68,33.6,24.6092,1814102051
2007-12-03,33.5,36.72,32.63,35.6,26.074,1059736468
2008-01-02,35.79,35.96,31.04,32.6,23.8768,1944178852
2008-02-01,31.055,33.25,27.02,27.1999,19.999,2319127555
2008-03-03,27.24,29.59,26.87,28.38,20.8667,1443805316
2008-04-01,28.83,32.1,27.93,28.52,20.9697,1445548784
2008-05-01,28.5,30.53,27.95,28.32,20.8993,1405245078
2008-06-02,28.24,29.57,27.11,27.51,20.3015,1565585235
2008-07-01,27.265,27.91,24.87,25.72,18.9805,1637565427
2008-08-01,25.92,28.5,25.07,27.29,20.2195,1207028200
2008-09-02,27.665,27.76,23.5,26.69,19.7749,1928443111
2008-10-01,26.38,27.47,20.65,22.33,16.5446,3046714563
2008-11-03,22.48,23.66,17.5,20.22,15.0827,1798548158
2008-12-01,19.875,21.25,18.47,19.44,14.5009,1549801384
2009-01-02,19.533,21,16.75,17.1,12.7554,1565598317
2009-02-02,17.03,19.93,16.1,16.15,12.1294,1456270401
2009-03-02,15.96,18.88,14.87,18.37,13.7967,1626225386
2009-04-01,18.23,21.2,18.18,20.26,15.2162,1562427598
2009-05-01,20.19,20.94,19.01,20.89,15.789,1101595348
2009-06-01,21,24.34,20.86,23.77,17.9657,1411203030
2009-07-01,24.05,25.72,22,23.52,17.7768,1517498875
2009-08-03,23.82,25.49,23.03,24.65,18.7356,993305766
2009-09-01,24.35,26.25,23.76,25.72,19.5489,1039017930
2009-10-01,25.405,29.35,24.43,27.73,21.0766,1523468245
2009-11-02,27.7,30.14,27.41,29.41,22.4523,1018302440
2009-12-01,29.52,31.5,29.25,30.48,23.2692,920649374
2010-01-04,30.62,31.24,27.66,28.18,21.5133,1359725057
2010-02-01,28.39,29.03,27.57,28.67,21.9897,1074678044
2010-03-01,28.77,30.57,28.24,29.2875,22.4634,1110339425
2010-04-01,29.35,31.58,28.62,30.535,23.4202,1319076706
2010-05-03,30.67,31.0606,24.56,25.8,19.8778,1720357040
2010-06-01,25.53,26.93,22.95,23.01,17.7282,1671888957
2010-07-01,23.09,26.41,22.73,25.81,19.8855,1410632258
2010-08-02,25.99,26.38,23.32,23.465,18.1752,1279579993
2010-09-01,23.67,25.53,23.54,24.49,18.9691,1273584008
2010-10-01,24.77,27.2,23.78,26.665,20.6538,1281541660
2010-11-01,26.88,27.49,24.93,25.2575,19.6838,1361330987
2010-12-01,25.57,28.4,25.56,27.91,21.751,1033857231
2011-01-03,28.05,29.46,27.42,27.725,21.6068,1361327166
2011-02-01,27.8,28.34,26.43,26.58,20.8369,1114409237
2011-03-01,26.6,26.78,24.68,25.39,19.904,1311032085
2011-04-01,25.53,26.87,24.72,25.92,20.3195,1313887199
2011-05-02,25.94,26.25,24.03,25.01,19.7346,1364179093
2011-06-01,24.99,26,23.65,26,20.5158,1297830116
2011-07-01,25.93,28.145,25.84,27.4,21.6205,1259395480
2011-08-01,27.51,27.685,23.79,26.6,21.1217,1719389997
2011-09-01,26.46,27.5,24.6,24.89,19.7639,1279992373
2011-10-03,24.72,27.5,24.26,26.63,21.1455,1218183060
2011-11-01,26.19,27.2,24.3,25.58,20.4647,1046244355
2011-12-01,25.56,26.19,25.16,25.96,20.7688,1007182089
2012-01-03,26.55,29.95,26.39,29.53,23.6249,1354912503
2012-02-01,29.79,32,29.71,31.74,25.5601,984398310
2012-03-01,31.93,32.95,31.49,32.255,25.9748,942419638
2012-04-02,32.22,32.89,30.23,32.015,25.7815,940768769
2012-05-01,32.05,32.335,28.64,29.19,23.6608,1014429321
2012-06-01,28.76,31.14,28.32,30.59,24.7956,973170920
2012-07-02,30.62,31.05,28.54,29.47,23.8878,846663550
2012-08-01,29.59,30.96,28.97,30.82,25.1476,671795468
2012-09-04,30.45,31.61,29.74,29.76,24.2827,893165317
2012-10-01,29.81,30.25,27.76,28.54,23.2872,1105487004
2012-11-01,28.84,30.2,26.3449,26.615,21.8911,1310567468
2012-12-03,26.78,27.73,26.26,26.7097,21.969,947413476
2013-01-02,27.25,28.23,26.28,27.45,22.5779,1145115127
2013-02-01,27.67,28.2,27.1,27.8,23.0551,780654273
2013-03-01,27.72,28.66,27.52,28.605,23.7227,845032620
2013-04-01,28.64,33.11,28.11,33.1,27.4505,1465815439
2013-05-01,32.93,35.28,32.32,34.9,29.1463,1071952431
2013-06-03,34.92,35.78,32.57,34.545,28.8498,945223684
2013-07-01,34.75,36.4299,31.02,31.84,26.5908,1111194593
2013-08-01,32.06,35.2,30.84,33.4,28.0901,1051312134
2013-09-03,31.75,33.75,30.95,33.28,27.9892,1245168686
2013-10-01,33.35,36.29,32.8,35.405,29.7764,965360139
2013-11-01,35.67,38.29,35.39,38.13,32.3114,800462934
2013-12-02,38.09,38.98,35.53,37.41,31.7012,826638259
2014-01-02,37.35,37.89,34.63,37.84,32.0656,932088061
2014-02-03,37.74,38.46,35.69,38.31,32.7073,718232100
2014-03-03,37.92,41.5,37.495,40.99,34.9954,778550232
2014-04-01,41.15,41.66,38.9,40.4,34.4917,746148706
2014-05-01,40.24,40.97,38.51,40.94,35.1993,574399733
