Date,Open,High,Low,Close,Adjusted_close,Volume
1985-09-25,111.175,111.175,110.62,110.62,110.62,0
1985-10-01,112.14,116.125,106.77,115.48,115.48,0
1985-11-01,116.275,126.435,115.48,126.06,126.06,0
1985-12-02,125.185,133.115,124.72,132.295,132.295,0
1986-01-02,131.255,134.13,128.055,132.925,132.925,0
1986-02-03,134.24,141.83,132.925,140.425,140.425,0
1986-03-03,139.74,149.205,139.565,148.86,148.86,0
1986-04-01,148.45,160.94,144.83,154.91,154.91,0
1986-05-01,154.205,163.62,153.725,163.16,163.16,0
1986-06-02,162.03,163.98,156.865,162.615,162.615,0
1986-07-01,163.325,164.555,142.73,144.705,144.705,0
1986-08-01,144.19,152.555,140.18,151.7,151.7,0
1986-09-02,149.34,152.07,133.28,137.495,137.495,0
1986-10-01,138.265,145.18,137.405,144.48,144.48,0
1986-11-03,144.81,147.96,138.955,147.94,147.94,0
1986-12-01,146.855,150.85,140.945,141.405,141.405,0
1987-01-02,142.86,170.275,141.405,166.675,166.675,0
1987-02-02,170.305,184.73,166.58,182.75,182.75,0
1987-03-02,181.065,191.745,179.865,186.04,186.04,0
1987-04-01,186.075,192.46,177.51,184.83,184.83,0
1987-05-01,185.83,191.7,179.735,188.77,188.77,0
1987-06-01,185.86,193.36,184.44,189.24,189.24,0
1987-07-01,189.475,197.305,186.565,196.35,196.35,0
1987-08-03,195.24,212.165,194.095,209.575,209.575,0
1987-09-01,206.89,210.78,196.135,205.505,205.505,0
1987-10-01,209.705,214.03,126.25,150.07,150.07,0
1987-11-02,152.195,154.12,133.14,137.125,137.125,0
1987-12-01,137.16,158.42,129.465,156.25,156.25,0
1988-01-04,161.81,169.14,151.57,159.13,159.13,0
1988-02-01,158.615,174.05,156.095,172.64,172.64,0
1988-03-01,172.635,182.735,170.525,173.26,173.26,0
1988-04-04,171.405,180.91,170.14,175.92,175.92,0
1988-05-02,176.745,180.105,166.765,173.345,173.345,0
1988-06-01,176.675,189.345,173.485,189.025,189.025,0
1988-07-01,189.955,192.77,176.38,181.16,181.16,0
1988-08-01,181.44,182.19,168.85,170.995,170.995,0
1988-09-01,168.22,180.31,167.17,179.365,179.365,0
1988-10-03,176.79,180.525,172.81,174.78,174.78,0
1988-11-01,174.595,175.62,162.655,169.185,169.185,0
1988-12-01,171.33,177.86,168.735,177.41,177.41,0
1989-01-03,174.625,186.69,172.945,186.47,186.47,0
1989-02-01,188.37,192.995,183.23,183.79,183.79,0
1989-03-01,183.6,187.685,178.965,185.87,185.87,0
1989-04-03,185.83,200.495,184.45,200.47,200.47,0
1989-05-01,200.75,215.185,199.145,214.545,214.545,0
1989-06-01,215.59,220.81,201.99,204.585,204.585,0
1989-07-03,205.465,214.335,203.61,214.275,214.275,0
1989-08-01,212.835,222.15,211.635,222.005,222.005,0
1989-09-01,223.515,227.635,219.795,226.415,226.415,0
1989-10-02,228.11,238.845,213.605,222.615,222.615,0
1989-11-01,223.31,225.76,214.655,224.445,224.445,0
1989-12-01,225.315,227.855,208.685,223.835,223.835,0
1990-01-02,227.725,228.94,196.685,201.94,201.94,0
1990-02-01,203.045,210.435,200.405,207.915,207.915,0
1990-03-01,209.105,220.135,206.525,213.145,213.145,0
1990-04-02,212.67,218.25,202.97,205.815,205.815,0
1990-05-01,207.04,237.925,205.815,236.15,236.15,0
1990-06-01,237.885,242.845,231.76,238.46,238.46,0
1990-07-02,238.42,246.815,221.36,223.385,223.385,0
1990-08-01,223.115,224.625,177.055,193.615,193.615,0
1990-09-04,194.745,195.875,169.325,177.055,177.055,0
1990-10-01,184.735,189.055,162.55,172.555,172.555,0
1990-11-01,172.885,193.055,170.88,192.655,192.655,0
1990-12-03,194.525,203.485,192.655,200.53,200.53,0
1991-01-02,199.765,232.675,190.895,232.425,232.425,0
1991-02-01,234.45,252.85,231.275,250.115,250.115,0
1991-03-01,252.39,267.93,247.795,264.905,264.905,0
1991-04-01,264.595,286.05,259.35,263.655,263.655,0
1991-05-01,264.22,279,256.545,279,279,0
1991-06-03,280.935,281.42,249.785,254.195,254.195,0
1991-07-01,259.12,272.345,249.995,272.155,272.155,0
1991-08-01,274.24,290.915,263.55,287.405,287.405,0
1991-09-03,287.405,290.435,276.325,287.535,287.535,0
1991-10-01,287.535,297.765,276.51,292.505,292.505,0
1991-11-01,292.505,304.55,277.9,284.79,284.79,0
1991-12-02,284.79,332.58,281.095,330.855,330.855,0
1992-01-02,330.855,357.7,322.56,338.315,338.315,0
1992-02-03,338.315,356.28,332.975,345.88,345.88,0
1992-03-02,345.88,348.395,320.155,323.05,323.05,0
1992-04-01,323.05,326.79,291.355,307.86,307.86,0
1992-05-01,307.86,317.265,300.535,315.295,315.295,0
1992-06-01,315.295,319.225,288.01,301.23,301.23,0
1992-07-01,301.23,311.755,292.8,310.895,310.895,0
1992-08-03,310.895,313.485,287.635,299.26,299.26,0
1992-09-01,299.26,324.69,298.105,313.185,313.185,0
1992-10-01,313.185,332.465,291.965,329.155,329.155,0
1992-11-02,329.155,351.29,324.98,350.96,350.96,0
1992-12-01,350.96,363.205,344.795,360.185,360.185,0
1993-01-04,360.185,384.675,355.36,370.56,370.56,0
1993-02-01,370.56,379.26,337.145,351.14,351.14,0
1993-03-01,351.14,366.535,345.43,359.42,359.42,0
