Date,Open,High,Low,Close,Adjusted_close,Volume
1980-12-12,28.7392,28.8736,28.7392,28.7392,0.0997,469033600
1980-12-15,27.3728,28.3808,25.2448,28.2464,0.098,490134400
1980-12-22,29.6352,35.616,29.6352,35.504,0.1232,187891200
1980-12-29,35.9968,36.1312,34.1152,34.496,0.1197,219452800
1981-01-05,33.8688,33.8688,30.24,31.8752,0.1106,197904000
1981-01-12,31.8752,31.8752,30.5088,31.0016,0.1075,88502400
1981-01-19,32.8832,33.1296,31.8752,32.7488,0.1136,134332800
1981-01-26,32.368,32.368,28.2464,28.2464,0.098,166588800
1981-02-02,26.7456,28.8736,26.6336,28.7392,0.0997,92579200
1981-02-09,27.5072,27.5072,25.4912,25.4912,0.0884,74659200
1981-02-17,26.1184,27.5072,24.2592,24.2592,0.0842,78198400
1981-02-23,24.6176,26.7456,23.744,26.4992,0.0919,76182400
1981-03-02,26.6336,26.7456,25.6256,25.6256,0.0889,58620800
1981-03-09,23.744,23.744,21.616,22.2432,0.0772,364112000
1981-03-16,23.1168,26.0064,23.1168,25.76,0.0894,170329600
1981-03-23,26.7456,26.992,24.752,24.752,0.0859,81760000
1981-03-30,24.752,26.6336,24.2592,26.4992,0.0919,107856000
1981-04-06,26.1184,28,25.76,27.8656,0.0967,101404800
1981-04-13,27.8656,28,24.9984,24.9984,0.0867,80640000
1981-04-20,25.76,29.3664,25.76,29.008,0.1006,175952000
1981-04-27,28.8736,28.8736,27.8656,28.3808,0.0985,113523200
1981-05-04,28.3808,28.3808,27.3728,28,0.0971,68208000
1981-05-11,27.5072,27.8656,26.88,27.5072,0.0954,30934400
1981-05-18,28,31.6288,27.5072,31.3824,0.1089,106512000
1981-05-26,31.3824,33.2416,31.248,33.1296,0.1149,368211200
1981-06-01,33.1296,33.2416,31.4944,31.6288,0.1097,244876800
1981-06-08,30.6208,32.9952,30.5088,32.5024,0.1128,303094400
1981-06-15,32.5024,32.5024,30.24,30.24,0.1049,259145600
1981-06-22,29.2544,29.8816,28.8736,29.12,0.101,96947200
1981-06-29,28.3808,28.3808,25.76,25.76,0.0894,247251200
1981-07-06,25.1328,26.2528,22.2432,22.2432,0.0772,137043200
1981-07-13,22.7584,26.0064,22.7584,25.872,0.0898,111529600
1981-07-20,24.2592,24.2592,22.624,23.9904,0.0832,141568000
1981-07-27,24.9984,25.1328,23.744,24.9984,0.0867,76540800
1981-08-03,24.9984,26.0064,24.752,25.2448,0.0876,81334400
1981-08-10,25.2448,25.2448,22.8704,22.8704,0.0793,149408000
1981-08-17,22.3776,22.3776,20.1152,20.1152,0.0698,115606400
1981-08-24,18.9952,20.2496,18.8832,20.1152,0.0698,161324800
1981-08-31,20.1152,21.8848,20.1152,20.384,0.0707,150080000
1981-09-08,19.8688,20.0032,19.6224,19.6224,0.0681,108326400
1981-09-14,19.1296,19.1296,17.6288,17.7408,0.0615,112246400
1981-09-21,17.8752,18.0096,14.2464,14.2464,0.0494,177564800
1981-09-28,14.3808,16.6208,14.3808,16.5088,0.0573,342585600
1981-10-05,17.0016,18.8832,16.8672,18.6144,0.0646,195910400
1981-10-12,19.2416,19.5104,18.1216,18.256,0.0633,168425600
1981-10-19,18.6144,19.7568,18.6144,18.9952,0.0659,193401600
1981-10-26,18.9952,20.1152,18.9952,20.0032,0.0694,240262400
1981-11-02,20.0032,20.1152,17.8752,18.0096,0.0625,137065600
1981-11-09,18.256,19.6224,18.1216,18.1216,0.0629,125507200
1981-11-16,18.0096,19.1296,17.8752,18.9952,0.0659,165222400
1981-11-23,18.368,18.9952,18.0096,18.8832,0.0655,134915200
1981-11-30,18.7488,19.1296,18.5024,18.9952,0.0659,242502400
1981-12-07,19.1296,19.2416,18.7488,18.7488,0.065,257689600
