Date,Open,High,Low,Close,Adjusted_close,Volume
1950-01-02,199.39,201.94,198.89,201.94,201.94,0
1950-01-09,201.98,201.98,196.81,196.92,196.92,0
1950-01-16,197.17,200.97,197.17,200.97,200.97,0
1950-01-23,200.42,200.42,198.39,200.08,200.08,0
1950-01-30,201.39,205.03,201.39,205.03,205.03,0
1950-02-06,204.59,204.59,202.71,203.36,203.36,0
1950-02-13,203.8,204.87,201.69,203.97,203.97,0
1950-02-20,203.47,204.15,202.55,204.15,204.15,0
1950-02-27,204.33,204.71,203.44,204.71,204.71,0
1950-03-06,204.88,204.88,202.33,202.96,202.96,0
1950-03-13,203.09,208.09,203.09,208.09,208.09,0
1950-03-20,207.78,210.62,207.78,210.62,210.62,0
1950-03-27,209.1,209.5,206.05,206.37,206.37,0
1950-04-03,208.44,212.68,208.44,212.55,212.55,0
1950-04-10,212.29,215.31,211.47,214.48,214.48,0
1950-04-17,214.41,215.21,213.72,213.9,213.9,0
1950-04-24,212.58,214.33,211.72,214.33,214.33,0
1950-05-01,215.81,217.03,214.87,217.03,217.03,0
1950-05-08,216.71,218.72,216.71,217.78,217.78,0
1950-05-15,218.04,222.41,218.04,222.41,222.41,0
1950-05-22,221.55,222.57,221.55,221.71,221.71,0
1950-05-29,222.47,223.71,221.16,223.71,223.71,0
1950-06-05,221.76,226.86,221.76,226.86,226.86,0
1950-06-12,228.38,228.38,222.46,222.71,222.71,0
1950-06-19,222.09,224.51,220.72,224.35,224.35,0
1950-06-26,213.91,214.68,206.72,209.11,209.11,0
1950-07-03,208.35,210.85,205.92,208.59,208.59,0
1950-07-10,208.09,208.09,197.46,199.83,199.83,0
1950-07-17,197.63,207.73,197.63,207.65,207.65,0
1950-07-24,206.95,208.21,203.83,208.21,208.21,0
1950-07-31,209.4,212.66,209.4,212.66,212.66,0
1950-08-07,215.82,216.97,215.03,215.03,215.03,0
1950-08-14,215.31,219.23,215.31,219.23,219.23,0
1950-08-21,220.21,221.51,218.1,218.1,218.1,0
1950-08-28,218.55,218.55,216.87,218.42,218.42,0
1950-09-04,217.12,220.03,217.12,220.03,220.03,0
1950-09-11,218.1,225.85,218.1,225.85,225.85,0
1950-09-18,226.78,226.78,224.33,226.64,226.64,0
1950-09-25,226.06,226.36,222.84,226.36,226.36,0
1950-10-02,228.94,231.81,228.89,231.81,231.81,0
1950-10-09,230.02,230.02,226.59,227.63,227.63,0
1950-10-16,227.5,230.88,227.5,230.88,230.88,0
1950-10-23,230.62,231.49,226.65,228.56,228.56,0
1950-10-30,226.42,228.1,225.01,227.42,227.42,0
1950-11-06,222.52,229.29,220.59,229.29,229.29,0
1950-11-13,229.44,231.64,228.94,231.64,231.64,0
1950-11-20,231.53,235.47,230.37,235.06,235.06,0
1950-11-27,234.96,234.96,226.42,227.55,227.55,0
1950-12-04,222.33,227.3,222.33,227.3,227.3,0
1950-12-11,229.19,229.27,224.7,228.34,228.34,0
1950-12-18,231.01,231.54,230.43,231.54,231.54,0
1950-12-25,230.43,235.42,229.65,235.41,235.41,0
1951-01-01,235.34,240.96,233.63,240.68,240.68,0
1951-01-08,242.29,244.72,240.4,243.61,243.61,0
1951-01-15,245.02,248.01,245.02,246.91,246.91,0
1951-01-22,244.33,247.36,242.22,247.36,247.36,0
1951-01-29,248.64,253.92,248.64,253.92,253.92,0
1951-02-05,255.17,255.17,252.7,254.8,254.8,0
