Date,Open,High,Low,Close,Adjusted_close,Volume
1971-02-05,100,100,100,100,100,0
1971-02-08,100.84,102.05,100.69,102.05,102.05,0
1971-02-16,102.19,102.19,100.7,100.7,100.7,0
1971-02-22,99.68,101.34,99.68,101.34,101.34,0
1971-03-01,101.78,103,101.78,103,103,0
1971-03-08,104.23,104.5,104.14,104.5,104.5,0
1971-03-15,105.13,105.88,105.13,105.77,105.77,0
1971-03-22,105.37,105.37,104.6,105.07,105.07,0
1971-03-29,105.2,106.86,105.2,106.86,106.86,0
1971-04-05,107.17,108.38,107.17,108.38,108.38,0
1971-04-12,108.87,109.96,108.85,109.96,109.96,0
1971-04-19,110.16,110.69,109.52,110.69,110.69,0
1971-04-26,111.13,112.46,111.13,112.3,112.3,0
1971-05-03,111.35,111.77,110.66,110.66,110.66,0
1971-05-10,110.15,110.74,110.15,110.74,110.74,0
1971-05-17,109.15,109.15,108.33,108.85,108.85,0
1971-05-24,108.42,108.42,107.5,108.25,108.25,0
1971-06-01,108.87,110.66,108.87,110.66,110.66,0
1971-06-07,110.76,110.76,109.79,110.2,110.2,0
1971-06-14,109.57,109.57,108.16,108.16,108.16,0
1971-06-21,106.5,106.56,105.49,106.56,106.56,0
1971-06-28,106.45,108.77,106.45,108.77,108.77,0
1971-07-06,109.23,110.91,109.23,110.91,110.91,0
1971-07-12,111.24,111.24,109.98,109.98,109.98,0
1971-07-19,109.37,109.79,109.37,109.63,109.63,0
1971-07-26,109.35,109.35,105.27,105.27,105.27,0
1971-08-02,105.59,105.59,103.11,103.78,103.78,0
1971-08-09,103.18,105.44,103.04,105.44,105.44,0
1971-08-16,107.86,108.93,107.86,107.89,107.89,0
1971-08-23,108.26,109.3,108.26,109.3,109.3,0
1971-08-30,108.71,109.98,108.42,109.98,109.98,0
1971-09-07,110.53,110.58,110.42,110.42,110.42,0
1971-09-13,110.22,110.22,109.77,110.1,110.1,0
1971-09-20,109.99,109.99,108.8,108.88,108.88,0
1971-09-27,108.18,109.58,108.18,109.58,109.58,0
1971-10-04,109.96,110.98,109.96,110.74,110.74,0
1971-10-11,110.71,110.91,109.6,109.6,109.6,0
1971-10-18,109.06,109.06,106.58,106.8,106.8,0
1971-10-25,106.29,106.29,104.28,105.1,105.1,0
1971-11-01,103.69,105.56,103.54,105.46,105.46,0
1971-11-08,105.43,105.72,103.74,103.91,103.91,0
1971-11-15,103.44,103.71,102.95,102.95,102.95,0
1971-11-22,101.79,101.79,100.31,101.64,101.64,0
1971-11-29,103.08,107.26,103.08,107.26,107.26,0
1971-12-06,106.92,108.81,106.92,108.81,108.81,0
1971-12-13,109.16,110.52,109.07,110.52,110.52,0
1971-12-20,111.5,111.97,111.5,111.94,111.94,0
1971-12-27,111.7,114.12,111.7,114.12,114.12,0
1972-01-03,113.65,116.05,113.65,116.05,116.05,0
1972-01-10,116.1,116.9,116.1,116.74,116.74,0
1972-01-17,116.93,117.66,116.93,117.21,117.21,0
1972-01-24,116.49,118.44,116.3,118.44,118.44,0
1972-01-31,118.87,121.24,118.87,121.24,121.24,0
1972-02-07,121.14,122.86,121.14,122.86,122.86,0
1972-02-14,122.26,123.44,122.26,123.4,123.4,0
1972-02-22,123.3,124.83,123.3,124.83,124.83,0
1972-02-28,124.94,127.19,124.94,127.19,127.19,0
1972-03-06,127.88,128.85,127.83,128.55,128.55,0
1972-03-13,127.34,128.14,127.34,128.01,128.01,0
1972-03-20,127.53,127.55,125.73,127.55,127.55,0
1972-03-27,127.56,128.14,127.53,128.14,128.14,0
1972-04-03,128.06,131.8,128.06,131.8,131.8,0
1972-04-10,131.76,133.88,131.76,133.88,133.88,0
1972-04-17,133.74,134.1,132.68,133.01,133.01,0
1972-04-24,131.9,131.9,130.84,131.33,131.33,0
1972-05-01,130.16,130.16,128.77,129.43,129.43,0
1972-05-08,128.62,129.44,125.78,129.44,129.44,0
1972-05-15,130.34,132.16,129.76,132.16,132.16,0
1972-05-22,132.38,133.95,132.38,133.95,133.95,0
1972-05-30,133.45,133.52,132.53,133.52,133.52,0
1972-06-05,132.74,132.74,130.57,130.57,130.57,0
1972-06-12,130.38,131.45,130.38,131.28,131.28,0
1972-06-19,130.76,131.38,130.22,130.22,130.22,0
1972-06-26,129.31,130.08,129.31,130.08,130.08,0
1972-07-03,130.59,131.86,130.59,131.5,131.5,0
1972-07-10,130.85,130.85,129.03,129.38,129.38,0
1972-07-17,128.4,128.4,127.09,127.63,127.63,0
1972-07-24,128.77,128.77,128.15,128.15,128.15,0
1972-07-31,127.75,130.94,127.75,130.94,130.94,0
1972-08-07,130.97,131.68,130.61,131.68,131.68,0
1972-08-14,131.7,131.7,130.89,131.43,131.43,0
1972-08-21,131.29,131.29,130.31,130.31,130.31,0
1972-08-28,129.77,130.7,129.44,130.7,130.7,0
1972-09-05,130.33,130.33,129.13,129.13,129.13,0
1972-09-11,128.26,128.26,127.18,127.67,127.67,0
1972-09-18,127.61,127.61,127.3,127.46,127.46,0
1972-09-25,126.82,129.61,126.82,129.61,129.61,0
1972-10-02,129.3,129.48,128.01,128.13,128.13,0
1972-10-09,128.51,129.02,127.19,127.19,127.19,0
1972-10-16,125.87,128,125.87,128,128,0
1972-10-23,128.66,129.53,128.66,129.53,129.53,0
1972-10-30,129.46,133.34,129.46,133.34,133.34,0
1972-11-06,133.58,133.58,132.82,133.12,133.12,0
1972-11-13,132.77,132.9,132.33,132.33,132.33,0
1972-11-20,132.12,133.02,132.12,133.02,133.02,0
1972-11-27,132.57,133.94,132.57,133.94,133.94,0
1972-12-04,134.14,135.15,134.14,135.15,135.15,0
1972-12-11,134.83,134.83,133.33,133.53,133.53,0
1972-12-18,132.54,132.54,131.08,131.28,131.28,0
1972-12-26,131.18,133.73,131.18,133.73,133.73,0
1973-01-02,134.63,135.91,134.63,135.91,135.91,0
1973-01-08,136.02,136.84,135.99,136.01,136.01,0
1973-01-15,134.6,134.6,133.87,133.87,133.87,0
1973-01-22,133.15,133.15,129.76,129.76,129.76,0
1973-01-29,128.46,128.46,126.48,126.48,126.48,0
1973-02-05,126,126.27,123.97,125.86,125.86,0
