Date,Open,High,Low,Close,Adjusted_close,Volume
1985-09-25,111.175,111.175,110.64,110.64,110.64,0
1985-09-30,110.62,112.14,109.93,110.075,110.075,0
1985-10-07,108.2,111.12,106.77,111.05,111.05,0
1985-10-14,113.185,115.34,111.05,114.32,114.32,0
1985-10-21,113.68,116.105,113.425,113.91,113.91,0
1985-10-28,113.82,116.775,113.205,116.275,116.275,0
1985-11-04,116.04,119.28,115.825,119.26,119.26,0
1985-11-11,120.4,123.075,119.235,122.175,122.175,0
1985-11-18,121.955,124.305,121.745,123.97,123.97,0
1985-11-25,123.135,126.435,122.83,126.06,126.06,0
1985-12-02,125.185,129.855,124.72,126.955,126.955,0
1985-12-09,127.485,132.17,126.83,132.125,132.125,0
1985-12-16,132.61,133.115,130.715,132.26,132.26,0
1985-12-23,130.725,132.26,129.305,131.485,131.485,0
1985-12-30,131.945,132.66,130,130.55,130.55,0
1986-01-06,130.355,133.885,128.055,129.565,129.565,0
1986-01-13,129.095,133.545,128.63,132.77,132.77,0
1986-01-20,131.605,132.77,128.46,130.2,130.2,0
1986-01-27,130.795,134.13,129.795,132.925,132.925,0
1986-02-03,134.24,137.445,132.925,137.42,137.42,0
1986-02-10,138.125,140.63,137.305,140.16,140.16,0
1986-02-18,140.735,141.235,138.965,141.145,141.145,0
1986-02-24,140.2,141.83,138.675,140.425,140.425,0
1986-03-03,139.74,141.77,139.565,140.71,140.71,0
1986-03-10,142.435,147.45,140.71,147,147,0
1986-03-17,146.365,148.785,145.57,148.005,148.005,0
1986-03-24,147.09,149.06,146.205,148.375,148.375,0
1986-03-31,148.86,149.935,146.94,147.035,147.035,0
1986-04-07,146.055,153.54,144.83,152.665,152.665,0
1986-04-14,153.925,159.85,152.53,157.66,157.66,0
1986-04-21,158.525,160.625,156.65,160.46,160.46,0
1986-04-28,159.9,160.94,153.725,155.01,155.01,0
1986-05-05,157.14,158.09,155.01,157.915,157.915,0
1986-05-12,157.75,158.255,154.39,154.995,154.995,0
1986-05-19,155.31,160.39,154.875,160.165,160.165,0
1986-05-27,161.175,163.62,159.94,163.16,163.16,0
1986-06-02,162.03,163.98,161.37,161.885,161.885,0
1986-06-09,158.61,162.465,157.175,162.355,162.355,0
1986-06-16,160.8,162.925,156.865,159.585,159.585,0
1986-06-23,159.555,162.505,159.355,161.615,161.615,0
1986-06-30,162.615,164.555,161.535,163.96,163.96,0
1986-07-07,157.625,164.525,152.43,152.855,152.855,0
1986-07-14,149.285,152.925,145.32,147.76,147.76,0
1986-07-21,147.075,148.415,146.585,148.26,148.26,0
1986-07-28,145.505,148.735,142.73,144.19,144.19,0
1986-08-04,142.525,144.19,140.18,142.295,142.295,0
1986-08-11,145.44,150.3,142.295,149.575,149.575,0
1986-08-18,149.07,151.255,147.98,150.945,150.945,0
1986-08-25,149.91,152.555,149.775,151.7,151.7,0
1986-09-02,149.34,152.07,148.595,149.67,149.67,0
1986-09-08,146.55,149.67,134.845,135.035,135.035,0
1986-09-15,134.94,138.57,133.28,138.455,138.455,0
1986-09-22,140.12,141.06,136.49,137.585,137.585,0
1986-09-29,135.535,139.37,134.815,138.555,138.555,0
1986-10-06,139.115,140.215,137.545,139.87,139.87,0
1986-10-13,140.675,142.48,139.625,141.195,141.195,0
1986-10-20,140.1,142.75,139.38,141.965,141.965,0
1986-10-27,141.76,145.18,141.26,144.48,144.48,0
1986-11-03,144.81,146.685,144.12,144.91,144.91,0
