Date,Open,High,Low,Close,Adjusted_close,Volume
2010-06-29,18.9999,30.4191,17.5401,19.2,1.28,740240099
2010-07-06,20.0001,20.0001,14.9799,17.4,1.16,383735322
2010-07-12,17.9499,21.5001,16.8999,20.64,1.376,231693695
2010-07-19,21.3699,22.2501,19.5,21.2901,1.4193,107723335
2010-07-26,21.5001,21.5001,19.5501,19.9401,1.3293,45780764
2010-08-02,20.4999,22.1799,19.5201,19.59,1.306,66141627
2010-08-09,19.8999,19.98,17.3901,18.3201,1.2213,63260787
2010-08-16,18.45,19.59,18.2616,19.1001,1.2733,36180075
2010-08-23,19.0899,20.3892,18.5601,19.7001,1.3133,46166549
2010-08-30,19.7001,21.3,19.3299,21.0501,1.4033,35268660
2010-09-07,20.61,21.0501,19.7601,20.1699,1.3447,19417275
2010-09-13,20.8899,23.16,19.8,20.2299,1.3487,83766417
2010-09-20,20.67,21.5499,19.5,20.1,1.34,59300307
2010-09-27,20.4,22.1499,20.0499,20.6001,1.3733,95973222
2010-10-04,20.43,21.2799,20.3001,20.43,1.362,25473255
2010-10-11,20.4399,21.03,20.0301,20.5401,1.3693,19726605
2010-10-18,20.52,20.9499,20.0001,20.7201,1.3813,19489800
2010-10-25,20.94,21.87,20.5101,21.84,1.456,24612405
2010-11-01,21.9399,25.3299,21.0501,24.4401,1.6293,60572923
2010-11-08,24.5001,30.5001,24.03,29.8401,1.9893,138037869
2010-11-15,30.2199,32.9394,28.4199,30.99,2.066,102449200
2010-11-22,31.5699,36,31.5,35.3199,2.3547,73253322
2010-11-29,35.412,36.42,30.87,31.4901,2.0993,117526540
2010-12-06,31.35,32.9199,29.5599,31.5201,2.1013,61234003
2010-12-13,31.6401,31.77,27.7611,31.3599,2.0907,67860417
2010-12-20,31.6401,32.8599,29.9199,30.09,2.006,55370682
2010-12-27,28.02,28.5801,24.9999,26.6301,1.7753,302058917
2011-01-03,26.8401,28.5801,25.8999,28.2399,1.8827,123461710
2011-01-10,28.17,28.71,25.6101,25.7499,1.7167,89017976
2011-01-18,25.4799,25.6401,22.3701,23.04,1.536,112383775
2011-01-24,23.5299,25.08,23.2299,24.0099,1.6007,89116180
2011-01-31,24.0501,24.7299,23.1501,23.46,1.564,47472329
2011-02-07,23.2599,25.2501,22.7901,23.25,1.55,127636164
2011-02-14,23.64,25.4901,22.56,23.1801,1.5453,170261586
2011-02-22,22.8801,23.85,21.1101,23.61,1.574,91094321
2011-02-28,23.7399,24.99,23.4999,24.9501,1.6633,75614847
2011-03-07,24.93,25.4001,23.5299,24.0699,1.6047,94589155
2011-03-14,23.82,24,21.8001,22.9599,1.5307,78972641
2011-03-21,23.0499,23.0499,21.7701,22.7499,1.5167,36710070
2011-03-28,22.7001,28.71,22.5501,26.6601,1.7773,261373683
2011-04-04,26.8299,27.9399,25.23,26.49,1.766,177545527
2011-04-11,26.4699,26.5299,24.2001,25.5801,1.7053,88018165
2011-04-18,25.1301,26.9799,24.36,26.7399,1.7827,57091287
2011-04-25,26.7,27.87,25.9701,27.6,1.84,83121296
2011-05-02,27.6,27.8001,25.7499,27.12,1.808,74201230
2011-05-09,27,28.95,26.6499,27.5499,1.8367,70563162
2011-05-16,27.99,28.44,25.5201,27.9699,1.8647,93256286
2011-05-23,27.6201,29.76,26.1699,29.55,1.97,167924873
2011-05-31,29.6901,31.5,28.38,30.1299,2.0087,180261307
2011-06-06,30.0999,30.1299,27.0201,27.8601,1.8573,126323304
2011-06-13,28.0701,29.7,25.74,26.4999,1.7667,122846080
2011-06-20,26.2899,28.2501,25.5,27.5649,1.8377,139329789
2011-06-27,27.7299,29.6001,27.3099,29.0199,1.9347,89425495
2011-07-05,29.0199,30,28.5501,28.8099,1.9207,67369181
2011-07-11,28.4001,29.0901,27.2499,27.5799,1.8387,74327036
2011-07-18,27.3399,30.4401,26.6301,29.2899,1.9527,97839490
2011-07-25,29.01,29.25,27.5001,28.17,1.878,64225227
2011-08-01,28.6701,29.1999,22.83,24.24,1.616,143181639
2011-08-08,23.1,27.1401,23.1,26.31,1.754,110274069
2011-08-15,26.6199,26.7501,21.9999,22.2999,1.4867,65278168
2011-08-22,23.1099,23.9499,21.5001,23.73,1.582,59720293
2011-08-29,24.2199,25.5,22.68,23.07,1.538,54181676
2011-09-06,22.5,24.03,22.29,22.9701,1.5313,36658589
2011-09-12,22.5,25.8399,22.4499,25.8,1.72,61558423
2011-09-19,24.9501,26.9499,23.82,26.3799,1.7587,78864100
2011-09-26,26.52,26.9901,23.49,24.39,1.626,68969232
2011-10-03,24.9501,27.6,22.9299,26.9901,1.7993,97999975
2011-10-10,27.3099,28.5501,27,28.05,1.87,76005971
2011-10-17,27.8601,28.4274,26.7099,28.0299,1.8687,70337636
2011-10-24,27.87,30,27.3999,29.8701,1.9913,63595917
2011-10-31,29.4999,32.49,27.9999,32.31,2.154,122834619
2011-11-07,31.6401,34.5,30.3,33.6399,2.2427,120152259
2011-11-14,33,35.0001,32.5401,32.6001,2.1733,94525360
2011-11-21,32.4399,32.79,31.05,31.6599,2.1107,36831749
2011-11-28,32.0001,33.99,31.6299,33.3,2.22,57989533
2011-12-05,33.5301,35.0001,29.61,31.0401,2.0693,109972390
2011-12-12,30.4401,30.93,27.9801,27.9999,1.8667,69695667
2011-12-19,28.0899,28.5,26.0301,27.9,1.86,77074976
2011-12-27,27.66,29.34,27.6399,28.56,1.904,32708264
2012-01-03,28.9401,29.4999,26.4099,26.91,1.794,53247102
2012-01-09,27,28.62,22.6401,22.7901,1.5193,127149895
2012-01-17,26.6199,27.7401,26.25,26.6001,1.7733,117316195
